method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,0,0,,,,1,0.0,0.188765,2684.0,71.747368,,original,5.0,0.05,2,,279,279,,0.835714,0.0,0.848915,2050,0.992211,36.380925,,0.02291,0.416792,0.001263,0.0,0.0,41.848929
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.332183,1987.15571,59.063158,,original,5.0,0.05,2,,199,199,,0.84631,0.0,0.794041,2775,0.947789,31.92565,,0.033892,0.427111,0.041158,0.0,0.0,42.397919
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.223994,2980.0,68.631579,,original,5.0,0.05,2,,563,563,,0.797619,0.0,0.824799,1575,0.991895,33.827223,,0.01835,0.397993,0.0,0.0,0.0,41.862576
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.324209,2149.95721,59.768421,,original,5.0,0.05,2,,0,0,,0.753929,0.0,0.836683,1500,0.990947,33.464316,,0.020907,0.371787,0.005474,0.0,0.0,23.427474
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.198524,2766.0,70.884211,,original,5.0,0.05,2,,321,321,,0.808929,0.0,0.842455,2175,0.991684,37.849155,,0.020606,0.407304,0.000947,0.0,0.0,19.380407
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.361104,1467.372868,56.505263,,original,5.0,0.05,2,,123,123,,0.83,0.0,0.855079,1550,0.961895,33.482855,,0.033355,0.408319,0.026842,0.0,0.0,18.337319
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.14568,2322.0,75.557895,,original,5.0,0.05,2,,531,531,,0.8325,0.0,0.837545,2525,0.983474,39.001561,,0.019923,0.400156,0.010842,0.0,0.0,21.88753
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.305522,3157.08848,61.421053,,original,5.0,0.05,2,,416,416,,0.820119,0.0,0.830017,2000,0.976421,32.607545,,0.024172,0.391203,0.007368,0.0,0.0,21.845273
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.24399,3148.0,66.863158,,original,5.0,0.05,2,,158,158,,0.849405,0.0,0.885734,875,0.992737,37.395316,,0.020533,0.423457,0.0,0.0,0.0,20.112758
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.221257,2957.0,68.873684,,original,5.0,0.05,2,,217,217,,0.789762,0.0,0.817271,3225,0.981263,35.059377,,0.01892,0.387811,0.015789,0.0,0.0,22.954734
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.227327,3008.0,68.336842,,original,5.0,0.05,2,,122,122,,0.794881,0.0,0.754046,2225,0.994,33.603381,,0.020437,0.393299,0.000316,0.0,0.0,41.981417
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.139491,2270.0,76.105263,,original,5.0,0.05,2,,271,271,,0.814405,0.0,0.825042,2625,0.997368,39.068815,,0.01752,0.398513,0.000526,0.0,0.0,42.325816
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.22328,2974.0,68.694737,,original,5.0,0.05,2,,374,374,,0.822976,0.0,0.828088,2175,0.956737,35.540301,,0.020617,0.417007,0.040211,0.0,0.0,41.987335
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.240538,3119.0,67.168421,,original,5.0,0.05,2,,46,46,,0.77631,0.0,0.877349,1400,0.994526,37.097054,,0.020631,0.398884,0.001579,0.0,0.0,40.856542
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.319924,2439.012371,60.147368,,original,5.0,0.05,2,,80,80,,0.817143,0.0,0.827305,2025,0.984526,33.036494,,0.032873,0.412218,0.002947,0.0,0.0,41.769866
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.184956,2652.0,72.084211,,original,5.0,0.05,2,,385,385,,0.855714,0.0,0.854377,1900,0.986526,36.662759,,0.024424,0.422188,0.007158,0.0,0.0,43.371694
