method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.258084,1966.0,75.425,,original,5.0,0.2,3,,199,199,cluster,0.0,,0.637638,0.0,0.812929,1325,0.996,40.317087,,0.01805,0.308596,0.00025,0.0,0.0,,29.740093
Coverage-U,comm_limited,0,0,,,,1,0.0,0.320915,2427.868622,69.0375,,original,5.0,0.2,3,,171,171,cluster,0.0,,0.567036,0.0,0.794468,1075,0.9945,40.477523,,0.015743,0.279777,0.0005,0.0,0.0,,30.237137
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.273454,2091.0,73.8625,,original,5.0,0.2,3,,131,131,cluster,0.0,,0.674908,0.0,0.685261,2450,0.964625,37.257025,,0.020505,0.324842,0.01725,0.0,0.0,,30.396848
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.260421,1985.0,75.1875,,original,5.0,0.2,3,,454,450,cluster,0.0,,0.669373,0.0,0.725463,2025,0.994,38.966458,,0.01898,0.309423,0.001375,0.0,0.0,,30.506467
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.329645,2548.0,68.15,,original,5.0,0.2,3,,81,81,cluster,0.0,,0.630012,0.0,0.801696,1150,0.974,38.140694,,0.020235,0.294763,0.020125,0.0,0.0,,30.60013
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.261773,1996.0,75.05,,original,5.0,0.2,3,,807,672,cluster,0.0,,0.666175,0.0,0.774681,1550,0.991375,41.745044,,0.016678,0.308668,0.00425,0.0,0.0,,31.681828
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.3985,1646.530522,61.15,,original,5.0,0.2,3,,163,163,cluster,0.0,,0.568266,0.0,0.780672,1200,0.977125,34.489246,,0.023352,0.261952,0.00575,0.0,0.0,,29.32452
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.315505,2433.0,69.5875,,original,5.0,0.2,3,,234,234,cluster,0.0,,0.567282,0.0,0.813783,1175,0.995375,38.045563,,0.017881,0.268085,0.0005,0.0,0.0,,30.052253
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.382639,2540.392573,62.7625,,original,5.0,0.2,3,,207,207,cluster,0.0,,0.57294,0.0,0.718165,1875,0.964625,38.979894,,0.026513,0.292865,0.025,0.0,0.0,,30.738226
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.311324,2399.0,70.0125,,original,5.0,0.2,3,,59,59,cluster,0.0,,0.557688,0.0,0.753242,1800,0.99575,37.470613,,0.018136,0.267235,0.0,0.0,0.0,,30.279415
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.360507,2209.602829,65.0125,,original,5.0,0.2,3,,147,147,cluster,0.0,,0.612177,0.0,0.70162,2375,0.9625,35.404963,,0.022782,0.292991,0.030125,0.0,0.0,,30.882265
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.261527,1994.0,75.075,,original,5.0,0.2,3,,197,197,cluster,0.0,,0.675769,0.0,0.745845,1425,0.92025,41.52985,,0.01993,0.317678,0.073625,0.0,0.0,,30.402795
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.179639,1328.0,83.4,,original,5.0,0.2,3,,663,628,cluster,0.0,,0.703813,0.0,0.830767,975,0.994875,42.998669,,0.016233,0.323805,0.000875,0.0,0.0,,30.355073
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.282921,2168.0,72.9,,original,5.0,0.2,3,,249,249,cluster,0.0,,0.568389,0.0,0.777628,1850,0.99125,37.931174,,0.017156,0.272933,0.002375,0.0,0.0,,30.029733
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.308004,2372.0,70.35,,original,5.0,0.2,3,,497,485,cluster,0.0,,0.606027,0.0,0.728856,1550,0.964875,38.376755,,0.020162,0.273079,0.02575,0.0,0.0,,29.874016
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.33444,2587.0,67.6625,,original,5.0,0.2,3,,157,157,cluster,0.0,,0.583026,0.0,0.820346,1000,0.99125,41.024004,,0.020554,0.279399,0.005125,0.0,0.0,,29.730959
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.242592,1840.0,77.0,,original,5.0,0.2,3,,325,312,cluster,0.0,,0.635424,0.0,0.752009,1950,0.987875,40.868512,,0.016562,0.29021,0.0065,0.0,0.0,,29.460379
Coverage-U,comm_limited,17,17000,,,,1,0.0,0.319562,2466.0,69.175,,original,5.0,0.2,3,,277,277,cluster,0.0,,0.649446,0.0,0.705257,2550,0.964,38.962249,,0.021553,0.321575,0.026125,0.0,0.0,,30.26052
Coverage-U,comm_limited,19,19000,,,,1,0.0,0.380057,2365.57966,63.025,,original,5.0,0.2,3,,91,91,cluster,0.0,,0.580935,0.0,0.751988,1500,0.97425,36.63581,,0.020783,0.268403,0.016625,0.0,0.0,,31.44276
Coverage-U,comm_limited,18,18000,,,,1,0.0,0.39518,1558.481276,61.4875,,original,5.0,0.2,3,,162,162,cluster,0.0,,0.616482,0.0,0.625054,,0.8675,34.893289,,0.026621,0.29657,0.1155,0.0,0.0,,32.16474
Coverage-U,comm_limited,21,21000,,,,1,0.0,0.278249,2130.0,73.375,,original,5.0,0.2,3,,387,383,cluster,0.0,,0.57417,0.0,0.723614,2100,0.992375,37.246192,,0.016865,0.277242,0.001375,0.0,0.0,,33.059828
Coverage-U,comm_limited,20,20000,,,,1,0.0,0.291037,2234.0,72.075,,original,5.0,0.2,3,,468,462,cluster,0.0,,0.618081,0.0,0.753476,2025,0.972125,36.901548,,0.019464,0.28543,0.015875,0.0,0.0,,33.614207
Coverage-U,comm_limited,22,22000,,,,1,0.0,0.196606,1466.0,81.675,,original,5.0,0.2,3,,362,361,cluster,0.0,,0.669742,0.0,0.736907,1700,0.997375,42.440182,,0.014625,0.313299,0.00025,0.0,0.0,,33.075434
Coverage-U,comm_limited,23,23000,,,,1,0.0,0.268536,2051.0,74.3625,,original,5.0,0.2,3,,115,115,cluster,0.0,,0.610086,0.0,0.772482,1450,0.987125,40.537818,,0.020117,0.31061,0.003125,0.0,0.0,,32.948141
Coverage-U,comm_limited,25,25000,,,,1,0.0,0.381163,2432.082209,62.9125,,original,5.0,0.2,3,,51,51,cluster,0.0,,0.519311,0.0,0.765002,1800,0.988375,30.080369,,0.017893,0.265964,0.006625,0.0,0.0,,29.105139
Coverage-U,comm_limited,24,24000,,,,1,0.0,0.335178,2593.0,67.5875,,original,5.0,0.2,3,,61,61,cluster,0.0,,0.578598,0.0,0.806398,1250,0.993,41.545175,,0.020881,0.269963,0.001875,0.0,0.0,,30.412948
Coverage-U,comm_limited,28,28000,,,,1,0.0,0.279602,2141.0,73.2375,,original,5.0,0.2,3,,152,152,cluster,0.0,,0.630504,0.0,0.753867,2500,0.98475,37.848796,,0.026134,0.297488,0.004625,0.0,0.0,,29.384086
Coverage-U,comm_limited,26,26000,,,,1,0.0,0.220829,1663.0,79.2125,,original,5.0,0.2,3,,377,377,cluster,0.0,,0.628413,0.0,0.842532,850,0.994,40.740558,,0.016061,0.312621,0.001,0.0,0.0,,30.768309
Coverage-U,comm_limited,27,27000,,,,1,0.0,0.259437,1977.0,75.2875,,original,5.0,0.2,3,,228,200,cluster,0.0,,0.660271,0.0,0.758724,1750,0.985625,39.46679,,0.017937,0.300206,0.007375,0.0,0.0,,30.575117
Coverage-U,comm_limited,29,29000,,,,1,0.0,0.223165,1682.0,78.975,,original,5.0,0.2,3,,381,371,cluster,0.0,,0.670726,0.0,0.797203,975,0.992625,39.453808,,0.016795,0.308094,0.001625,0.0,0.0,,30.479717
Coverage-U,comm_limited,31,31000,,,,1,0.0,0.303455,2335.0,70.8125,,original,5.0,0.2,3,,192,192,cluster,0.0,,0.65818,0.0,0.692789,2475,0.95825,41.107703,,0.01906,0.30666,0.03225,0.0,0.0,,29.72205
Coverage-U,comm_limited,30,30000,,,,1,0.0,0.242223,1837.0,77.0375,,original,5.0,0.2,3,,656,420,cluster,0.0,,0.642066,0.0,0.747061,2250,0.99325,41.182348,,0.016366,0.29974,0.0025,0.0,0.0,,33.334128
Coverage-U,comm_limited,34,34000,,,,1,0.0,0.367146,2853.0,64.3375,,original,5.0,0.2,3,,129,75,cluster,0.0,,0.668512,0.0,0.702376,2625,0.913625,35.43726,,0.029894,0.32096,0.075375,0.0,0.0,,30.287769
Coverage-U,comm_limited,35,35000,,,,1,0.0,0.357925,2778.0,65.275,,original,5.0,0.2,3,,31,31,cluster,0.0,,0.638622,0.0,0.77994,1600,0.964625,39.954975,,0.025614,0.304755,0.023,0.0,0.0,,29.272257
Coverage-U,comm_limited,32,32000,,,,1,0.0,0.198697,1483.0,81.4625,,original,5.0,0.2,3,,667,585,cluster,0.0,,0.65818,0.0,0.778249,1225,0.996875,41.071361,,0.0145,0.311921,0.000625,0.0,0.0,,31.847534
Coverage-U,comm_limited,33,33000,,,,1,0.0,0.249477,1896.0,76.3,,original,5.0,0.2,3,,503,503,cluster,0.0,,0.692866,0.0,0.755017,2300,0.9955,42.668941,,0.017984,0.32842,0.000125,0.0,0.0,,31.023956
Coverage-U,comm_limited,36,36000,,,,1,0.0,0.226485,1709.0,78.6375,,original,5.0,0.2,3,,323,295,cluster,0.0,,0.69631,0.0,0.77889,1725,0.994,42.841052,,0.016196,0.329316,0.0005,0.0,0.0,,24.600262
Coverage-U,comm_limited,37,37000,,,,1,0.0,0.307759,2370.0,70.375,,original,5.0,0.2,3,,240,240,cluster,0.0,,0.67909,0.0,0.731269,1875,0.954875,38.700943,,0.024837,0.314377,0.035875,0.0,0.0,,22.961343
Coverage-U,comm_limited,39,39000,,,,1,0.0,0.293865,2257.0,71.7875,,original,5.0,0.2,3,,353,331,cluster,0.0,,0.658426,0.0,0.781576,1375,0.983,37.740978,,0.01975,0.310818,0.008125,0.0,0.0,,23.130011
Coverage-U,comm_limited,38,38000,,,,1,0.0,0.323743,2500.0,68.75,,original,5.0,0.2,3,,221,195,cluster,0.0,,0.580197,0.0,0.737166,1900,0.990625,35.678632,,0.017984,0.307891,0.00075,0.0,0.0,,23.414711
