method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.36358,1756.504592,64.7,,original,5.0,0.2,3,,46,46,cluster,0.0,,0.577245,0.0,0.723573,1900,0.92875,36.582682,,0.022006,0.274829,0.065,0.0,0.0,,28.185951
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.304316,2342.0,70.725,,original,5.0,0.2,3,,79,79,cluster,0.0,,0.663469,0.0,0.715178,2400,0.9455,35.579679,,0.025518,0.316318,0.04275,0.0,0.0,,28.469515
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.208656,1564.0,80.45,,original,5.0,0.2,3,,267,267,cluster,0.0,,0.661747,0.0,0.817321,1000,0.993625,43.290477,,0.017325,0.30344,0.0015,0.0,0.0,,29.034489
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.275175,2105.0,73.6875,,original,5.0,0.2,3,,275,275,cluster,0.0,,0.61353,0.0,0.812325,1000,0.988875,38.90203,,0.019316,0.304677,0.005625,0.0,0.0,,29.512451
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.268536,2051.0,74.3625,,original,5.0,0.2,3,,200,200,cluster,0.0,,0.62952,0.0,0.793994,1250,0.977375,40.687551,,0.017031,0.320349,0.0175,0.0,0.0,,30.415821
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.304931,2347.0,70.6625,,original,5.0,0.2,3,,409,393,cluster,0.0,,0.677983,0.0,0.664727,2025,0.925875,37.94512,,0.022616,0.319889,0.0655,0.0,0.0,,30.607716
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.338866,2488.13812,67.2125,,original,5.0,0.2,3,,183,169,cluster,0.0,,0.623247,0.0,0.685822,1950,0.991,37.033602,,0.019559,0.2971,0.002375,0.0,0.0,,30.378589
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.29657,2279.0,71.5125,,original,5.0,0.2,3,,259,253,cluster,0.0,,0.609471,0.0,0.787939,1575,0.959625,37.004815,,0.023301,0.314416,0.031375,0.0,0.0,,30.576977
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.237059,1795.0,77.5625,,original,5.0,0.2,3,,150,150,cluster,0.0,,0.622632,0.0,0.71779,1775,0.995375,40.759488,,0.015605,0.302698,0.00125,0.0,0.0,,30.60927
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.310832,2395.0,70.0625,,original,5.0,0.2,3,,756,616,cluster,0.0,,0.631857,0.0,0.729384,1875,0.969375,37.875858,,0.019948,0.293191,0.022375,0.0,0.0,,32.105268
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.306529,2360.0,70.5,,original,5.0,0.2,3,,174,174,cluster,0.0,,0.689299,0.0,0.76897,1675,0.92375,39.343107,,0.022271,0.327107,0.06875,0.0,0.0,,30.970752
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.262142,1999.0,75.0125,,original,5.0,0.2,3,,339,339,cluster,0.0,,0.661255,0.0,0.721167,2625,0.965,38.916536,,0.02396,0.307186,0.02675,0.0,0.0,,31.198291
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.295217,2268.0,71.65,,original,5.0,0.2,3,,162,162,cluster,0.0,,0.688561,0.0,0.732774,2475,0.937875,41.747793,,0.026005,0.318898,0.055,0.0,0.0,,29.129035
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.158367,1155.0,85.5625,,original,5.0,0.2,3,,644,644,cluster,0.0,,0.713899,0.0,0.814841,1150,0.997,45.369889,,0.015262,0.332572,0.0,0.0,0.0,,29.991818
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.27788,2127.0,73.4125,,original,5.0,0.2,3,,194,194,cluster,0.0,,0.671833,0.0,0.745347,1275,0.967125,40.341979,,0.020186,0.31282,0.028125,0.0,0.0,,29.522023
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.313783,2419.0,69.7625,,original,5.0,0.2,3,,704,606,cluster,0.0,,0.65326,0.0,0.761565,1375,0.976625,35.804193,,0.022356,0.304287,0.016375,0.0,0.0,,31.237951
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.263863,2013.0,74.8375,,original,5.0,0.2,3,,915,832,cluster,0.0,,0.686962,0.0,0.830066,850,0.9965,39.142892,,0.018148,0.317663,0.0005,0.0,0.0,,32.048255
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.218616,1645.0,79.4375,,original,5.0,0.2,3,,366,323,cluster,0.0,,0.667159,0.0,0.758198,1725,0.997625,42.173911,,0.014487,0.314306,0.0,0.0,0.0,,30.852069
Frontier-Bounded,comm_limited,19,19000,,,,1,0.0,0.37686,2409.799511,63.35,,original,5.0,0.2,3,,250,250,cluster,0.0,,0.699631,0.0,0.71824,1500,0.9595,36.662968,,0.030505,0.338242,0.025625,0.0,0.0,,28.536872
Frontier-Bounded,comm_limited,20,20000,,,,1,0.0,0.370835,1976.199732,63.9625,,original,5.0,0.2,3,,169,169,cluster,0.0,,0.511562,0.0,0.766693,1450,0.99025,37.447117,,0.02047,0.241056,0.004125,0.0,0.0,,29.302426
Frontier-Bounded,comm_limited,18,18000,,,,1,0.0,0.305545,2352.0,70.6,,original,5.0,0.2,3,,364,237,cluster,0.0,,0.655474,0.0,0.824119,950,0.978125,38.448462,,0.020918,0.309091,0.013375,0.0,0.0,,31.930637
Frontier-Bounded,comm_limited,21,21000,,,,1,0.0,0.29325,2252.0,71.85,,original,5.0,0.2,3,,310,281,cluster,0.0,,0.648708,0.0,0.687365,1950,0.98625,38.601861,,0.018262,0.318664,0.006625,0.0,0.0,,29.62567
Frontier-Bounded,comm_limited,22,22000,,,,1,0.0,0.263863,2013.0,74.8375,,original,5.0,0.2,3,,175,175,cluster,0.0,,0.700492,0.0,0.818269,1000,0.965125,42.2603,,0.020007,0.327586,0.028625,0.0,0.0,,30.013533
Frontier-Bounded,comm_limited,23,23000,,,,1,0.0,0.268044,2047.0,74.4125,,original,5.0,0.2,3,,422,422,cluster,0.0,,0.688315,0.0,0.678835,2125,0.918625,39.134096,,0.022749,0.322953,0.073,0.0,0.0,,30.570083
Frontier-Bounded,comm_limited,24,24000,,,,1,0.0,0.273454,2091.0,73.8625,,original,5.0,0.2,3,,169,169,cluster,0.0,,0.622632,0.0,0.838652,1025,0.9965,40.04053,,0.016712,0.301605,0.0005,0.0,0.0,,30.260011
Frontier-Bounded,comm_limited,27,27000,,,,1,0.0,0.225501,1701.0,78.7375,,original,5.0,0.2,3,,385,385,cluster,0.0,,0.640098,0.0,0.799212,1875,0.995375,41.140932,,0.015457,0.305441,0.0,0.0,0.0,,28.982732
Frontier-Bounded,comm_limited,25,25000,,,,1,0.0,0.299398,2302.0,71.225,,original,5.0,0.2,3,,94,94,cluster,0.0,,0.636408,0.0,0.798021,1725,0.9885,40.390833,,0.019908,0.321743,0.004125,0.0,0.0,,29.734496
Frontier-Bounded,comm_limited,28,28000,,,,1,0.0,0.316488,2441.0,69.4875,,original,5.0,0.2,3,,103,103,cluster,0.0,,0.653998,0.0,0.75451,1925,0.98125,38.094659,,0.024622,0.287822,0.0105,0.0,0.0,,29.03447
Frontier-Bounded,comm_limited,29,29000,,,,1,0.0,0.330505,2555.0,68.0625,,original,5.0,0.2,3,,315,315,cluster,0.0,,0.674785,0.0,0.783681,1775,0.973125,37.0953,,0.023711,0.298651,0.020625,0.0,0.0,,29.378857
Frontier-Bounded,comm_limited,26,26000,,,,1,0.0,0.162671,1190.0,85.125,,original,5.0,0.2,3,,757,590,cluster,0.0,,0.689668,0.0,0.836751,925,0.9945,45.097765,,0.015438,0.327682,0.00075,0.0,0.0,,32.61562
Frontier-Bounded,comm_limited,30,30000,,,,1,0.0,0.242469,1839.0,77.0125,,original,5.0,0.2,3,,307,307,cluster,0.0,,0.69385,0.0,0.801545,1675,0.964125,42.190886,,0.017769,0.332937,0.03175,0.0,0.0,,30.443651
Frontier-Bounded,comm_limited,31,31000,,,,1,0.0,0.231403,1749.0,78.1375,,original,5.0,0.2,3,,160,160,cluster,0.0,,0.661255,0.0,0.769284,1700,0.995625,42.910429,,0.018527,0.322257,0.0,0.0,0.0,,30.073526
Frontier-Bounded,comm_limited,32,32000,,,,1,0.0,0.311078,2397.0,70.0375,,original,5.0,0.2,3,,242,242,cluster,0.0,,0.661255,0.0,0.730014,2400,0.935375,38.313054,,0.022343,0.322271,0.0585,0.0,0.0,,30.097393
Frontier-Bounded,comm_limited,33,33000,,,,1,0.0,0.273577,2092.0,73.85,,original,5.0,0.2,3,,132,132,cluster,0.0,,0.653014,0.0,0.727497,1675,0.973875,39.999767,,0.022383,0.309591,0.017625,0.0,0.0,,30.484715
Frontier-Bounded,comm_limited,34,34000,,,,1,0.0,0.300381,2310.0,71.125,,original,5.0,0.2,3,,419,409,cluster,0.0,,0.657319,0.0,0.78459,1400,0.961625,40.127631,,0.02464,0.311087,0.031,0.0,0.0,,30.182572
Frontier-Bounded,comm_limited,35,35000,,,,1,0.0,0.25415,1934.0,75.825,,original,5.0,0.2,3,,156,156,cluster,0.0,,0.674662,0.0,0.799876,1275,0.9895,41.718402,,0.017576,0.324061,0.00625,0.0,0.0,,30.839077
Frontier-Bounded,comm_limited,36,36000,,,,1,0.0,0.259683,1979.0,75.2625,,original,5.0,0.2,3,,145,145,cluster,0.0,,0.601845,0.0,0.79067,1425,0.972125,39.818127,,0.01896,0.292647,0.0245,0.0,0.0,,23.533179
Frontier-Bounded,comm_limited,38,38000,,,,1,0.0,0.285258,2187.0,72.6625,,original,5.0,0.2,3,,247,242,cluster,0.0,,0.632841,0.0,0.700461,2325,0.9925,37.34554,,0.023077,0.314872,0.000625,0.0,0.0,,23.047911
Frontier-Bounded,comm_limited,37,37000,,,,1,0.0,0.273454,2091.0,73.8625,,original,5.0,0.2,3,,200,200,cluster,0.0,,0.567405,0.0,0.825154,1025,0.996,37.946185,,0.016595,0.287025,0.000625,0.0,0.0,,23.546594
Frontier-Bounded,comm_limited,39,39000,,,,1,0.0,0.25501,1941.0,75.7375,,original,5.0,0.2,3,,437,382,cluster,0.0,,0.673309,0.0,0.775209,1825,0.995625,39.730577,,0.017037,0.329055,0.000875,0.0,0.0,,23.01524
