method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.312431,2408.0,69.9,,original,5.0,0.2,3,,240,240,cluster,0.0,,0.573432,0.0,0.702363,1775,0.99675,35.066654,,0.017298,0.266134,0.00025,0.0,0.0,,49.856064
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.308742,2378.0,70.275,,original,5.0,0.2,3,,193,193,cluster,0.0,,0.550062,0.0,0.778688,1325,0.99425,38.232548,,0.017838,0.273868,0.0015,0.0,0.0,,50.416878
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.27788,2127.0,73.4125,,original,5.0,0.2,3,,129,129,cluster,0.0,,0.646986,0.0,0.846026,775,0.992375,41.492611,,0.016323,0.314017,0.0005,0.0,0.0,,50.755281
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.260052,1982.0,75.225,,original,5.0,0.2,3,,442,442,cluster,0.0,,0.666544,0.0,0.830969,1150,0.992,41.363895,,0.016632,0.312429,0.001125,0.0,0.0,,50.788168
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.311201,2398.0,70.025,,original,5.0,0.2,3,,314,306,cluster,0.0,,0.601107,0.0,0.768391,2275,0.97875,37.589393,,0.017387,0.294988,0.0125,0.0,0.0,,51.158453
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.311078,2397.0,70.0375,,original,5.0,0.2,3,,354,354,cluster,0.0,,0.681181,0.0,0.832851,800,0.973375,40.522468,,0.023202,0.314364,0.020125,0.0,0.0,,51.517145
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.333702,2581.0,67.7375,,original,5.0,0.2,3,,288,288,cluster,0.0,,0.605904,0.0,0.800563,1150,0.971625,35.674207,,0.02624,0.293248,0.01875,0.0,0.0,,49.899965
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.332227,2569.0,67.8875,,original,5.0,0.2,3,,65,65,cluster,0.0,,0.508979,0.0,0.848615,850,0.994625,38.904922,,0.016206,0.26266,0.000375,0.0,0.0,,50.201648
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.282676,2166.0,72.925,,original,5.0,0.2,3,,91,91,cluster,0.0,,0.590406,0.0,0.800792,1175,0.99625,38.105685,,0.01614,0.292833,0.00025,0.0,0.0,,50.666413
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.336161,2393.484296,67.4875,,original,5.0,0.2,3,,234,234,cluster,0.0,,0.559164,0.0,0.803843,1275,0.9805,39.546734,,0.019409,0.27931,0.0105,0.0,0.0,,50.808595
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.282798,2167.0,72.9125,,original,5.0,0.2,3,,600,593,cluster,0.0,,0.572079,0.0,0.848531,800,0.99475,37.536047,,0.018153,0.270956,0.000875,0.0,0.0,,51.615424
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.326325,2521.0,68.4875,,original,5.0,0.2,3,,480,392,cluster,0.0,,0.601599,0.0,0.708041,2050,0.9935,35.189839,,0.019534,0.282524,0.001375,0.0,0.0,,51.702578
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.384237,2992.0,62.6,,original,5.0,0.2,3,,182,182,cluster,0.0,,0.633825,0.0,0.76141,2550,0.97275,34.027691,,0.026333,0.318588,0.01475,0.0,0.0,,52.007722
