method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
CentralOracle-CRLB-local,comm_limited,1,1000,,,,1,0.0,0.546808,1246.788772,45.810526,,original,5.0,0.05,3,,4000,2736,,0.831042,0.0,0.843719,825,0.913684,27.160265,,0.039535,0.400262,0.067368,0.0,0.0,58.95691
CentralOracle-CRLB-local,comm_limited,2,2000,,,,1,0.0,0.541289,2205.026401,46.368421,,original,5.0,0.05,3,,4462,2326,,0.828646,0.0,0.76121,2400,0.950105,26.068329,,0.036335,0.397942,0.035263,0.0,0.0,63.648165
CentralOracle-CRLB-local,comm_limited,3,3000,,,,1,0.0,0.574404,1376.000516,43.021053,,original,5.0,0.05,3,,5056,2689,,0.872396,0.0,0.819957,,0.880105,24.684569,,0.048863,0.408091,0.098421,0.0,0.0,66.456159
CentralOracle-CRLB-local,comm_limited,0,0,,,,1,0.0,0.584297,1327.594371,42.021053,,original,5.0,0.05,3,,5632,2656,,0.874271,0.0,0.751803,,0.811158,23.894123,,0.036235,0.401881,0.170737,0.0,0.0,68.294116
CentralOracle-CRLB-local,comm_limited,4,4000,,,,1,0.0,0.590545,1405.633495,41.389474,,original,5.0,0.05,3,,5494,2606,,0.857604,0.0,0.802113,,0.873053,24.665044,,0.042344,0.399451,0.109053,0.0,0.0,80.086459
CentralOracle-CRLB-local,comm_limited,5,5000,,,,1,0.0,0.563782,1810.326901,44.094737,,original,5.0,0.05,3,,4965,2455,,0.826562,0.0,0.863529,625,0.932421,27.131609,,0.035232,0.386475,0.061684,0.0,0.0,79.515592
CentralOracle-CRLB-local,comm_limited,7,7000,,,,1,0.0,0.542226,1946.3645,46.273684,,original,5.0,0.05,3,,4331,2278,,0.834063,0.0,0.868798,550,0.947263,28.051926,,0.035556,0.397982,0.030526,0.0,0.0,75.496756
CentralOracle-CRLB-local,comm_limited,6,6000,,,,1,0.0,0.612205,1947.79375,39.2,,original,5.0,0.05,3,,6721,2680,,0.863229,0.0,0.857684,500,0.934105,24.645367,,0.044683,0.403472,0.046316,0.0,0.0,92.787765
CentralOracle-CRLB-local,comm_limited,8,8000,,,,1,0.0,0.567739,1519.566879,43.694737,,original,5.0,0.05,3,,4925,2586,,0.846146,0.0,0.813579,,0.868421,26.11352,,0.029434,0.397031,0.122947,0.0,0.0,83.077613
CentralOracle-CRLB-local,comm_limited,10,10000,,,,1,0.0,0.561908,1461.540252,44.284211,,original,5.0,0.05,3,,4653,2532,,0.868333,0.0,0.687808,,0.83,23.865039,,0.038048,0.411038,0.158632,0.0,0.0,78.897781
CentralOracle-CRLB-local,comm_limited,9,9000,,,,1,0.0,0.56649,1366.233463,43.821053,,original,5.0,0.05,3,,5026,2638,,0.861042,0.0,0.877266,450,0.950105,26.603062,,0.041063,0.409716,0.026316,0.0,0.0,88.334623
CentralOracle-CRLB-local,comm_limited,11,11000,,,,1,0.0,0.616266,1455.228616,38.789474,,original,5.0,0.05,3,,6345,2768,,0.868854,0.0,0.88124,400,0.940842,23.751628,,0.048575,0.403606,0.036632,0.0,0.0,115.663081
CentralOracle-CRLB-local,comm_limited,13,13000,,,,1,0.0,0.545975,1880.167164,45.894737,,original,5.0,0.05,3,,4540,2525,,0.826771,0.0,0.906698,475,0.980842,26.671992,,0.027762,0.387116,0.011684,0.0,0.0,114.466401
CentralOracle-CRLB-local,comm_limited,12,12000,,,,1,0.0,0.535145,3004.166261,46.989474,,original,5.0,0.05,3,,4684,2280,,0.793125,0.0,0.923126,575,0.996105,29.316127,,0.026098,0.374107,0.000632,0.0,0.0,118.289644
CentralOracle-CRLB-local,comm_limited,14,14000,,,,1,0.0,0.590128,1719.092847,41.431579,,original,5.0,0.05,3,,5913,2634,,0.864583,0.0,0.890502,425,0.955684,25.964531,,0.043682,0.404707,0.030737,0.0,0.0,121.71429
CentralOracle-CRLB-local,comm_limited,15,15000,,,,1,0.0,0.607414,1138.101978,39.684211,,original,5.0,0.05,3,,5968,2849,,0.888646,0.0,0.737122,,0.813158,23.274873,,0.041198,0.407338,0.175895,0.0,0.0,99.765122
CentralOracle-CRLB-local,comm_limited,17,17000,,,,1,0.0,0.554722,1332.771194,45.010526,,original,5.0,0.05,3,,4705,2570,,0.848854,0.0,0.828946,,0.889474,26.806729,,0.040072,0.399488,0.099368,0.0,0.0,78.99705
CentralOracle-CRLB-local,comm_limited,16,16000,,,,1,0.0,0.586171,2240.503726,41.831579,,original,5.0,0.05,3,,5738,2464,,0.811875,0.0,0.896699,500,0.954211,26.827827,,0.031647,0.380822,0.037474,0.0,0.0,96.560685
CentralOracle-CRLB-local,comm_limited,18,18000,,,,1,0.0,0.567114,1826.0,43.757895,,original,5.0,0.05,3,,5446,2756,,0.820104,0.0,0.890316,525,0.961684,27.031997,,0.030915,0.378164,0.029368,0.0,0.0,90.687857
CentralOracle-CRLB-local,comm_limited,19,19000,,,,1,0.0,0.534729,1976.254261,47.031579,,original,5.0,0.05,3,,4424,2514,,0.815833,0.0,0.913424,475,0.992842,28.550758,,0.028168,0.382928,0.0,0.0,0.0,86.460243
CentralOracle-CRLB-local,comm_limited,20,20000,,,,1,0.0,0.578361,1273.726108,42.621053,,original,5.0,0.05,3,,5190,2543,,0.859062,0.0,0.748255,,0.833263,23.903766,,0.036459,0.394308,0.149158,0.0,0.0,87.400283
CentralOracle-CRLB-local,comm_limited,22,22000,,,,1,0.0,0.556493,1545.911025,44.831579,,original,5.0,0.05,3,,4637,2541,,0.852812,0.0,0.775786,,0.894211,26.142224,,0.036991,0.402462,0.089474,0.0,0.0,78.904407
CentralOracle-CRLB-local,comm_limited,21,21000,,,,1,0.0,0.580235,1826.016667,42.431579,,original,5.0,0.05,3,,6093,2613,,0.834271,0.0,0.878327,500,0.946842,25.761842,,0.041998,0.386324,0.042,0.0,0.0,98.315385
CentralOracle-CRLB-local,comm_limited,23,23000,,,,1,0.0,0.533792,2549.570815,47.126316,,original,5.0,0.05,3,,4766,2475,,0.829792,0.0,0.812584,2650,0.973474,27.23849,,0.027827,0.390492,0.018316,0.0,0.0,82.08603
CentralOracle-CRLB-local,comm_limited,24,24000,,,,1,0.0,0.58815,1614.009864,41.631579,,original,5.0,0.05,3,,5714,2675,,0.859375,0.0,0.660007,3200,0.919579,22.686967,,0.041263,0.41166,0.062,0.0,0.0,83.526188
CentralOracle-CRLB-local,comm_limited,26,26000,,,,1,0.0,0.618244,1151.793304,38.589474,,original,5.0,0.05,3,,6646,2842,,0.892813,0.0,0.719085,,0.759789,22.703199,,0.037234,0.419706,0.228947,0.0,0.0,86.941959
CentralOracle-CRLB-local,comm_limited,25,25000,,,,1,0.0,0.622097,1402.473498,38.2,,original,5.0,0.05,3,,6764,2802,,0.867396,0.0,0.846456,2650,0.911263,22.597382,,0.042242,0.39078,0.070526,0.0,0.0,96.370598
CentralOracle-CRLB-local,comm_limited,27,27000,,,,1,0.0,0.589295,1918.711773,41.515789,,original,5.0,0.05,3,,5451,2552,,0.814479,0.0,0.895181,475,0.962105,25.304561,,0.038022,0.384464,0.026632,0.0,0.0,83.622148
CentralOracle-CRLB-local,comm_limited,28,28000,,,,1,0.0,0.591169,1646.123529,41.326316,,original,5.0,0.05,3,,5517,2609,,0.889375,0.0,0.783046,,0.846421,24.414824,,0.045126,0.41505,0.135684,0.0,0.0,76.74321
CentralOracle-CRLB-local,comm_limited,30,30000,,,,1,0.0,0.550661,2052.965517,45.421053,,original,5.0,0.05,3,,4739,2505,,0.873854,0.0,0.729081,,0.892947,25.273276,,0.037249,0.408887,0.091895,0.0,0.0,70.096555
CentralOracle-CRLB-local,comm_limited,31,31000,,,,1,0.0,0.515985,2186.67182,48.926316,,original,5.0,0.05,3,,3963,2323,,0.8175,0.0,0.87053,825,0.956947,29.085998,,0.031816,0.37853,0.031684,0.0,0.0,68.256924
CentralOracle-CRLB-local,comm_limited,29,29000,,,,1,0.0,0.579402,1328.666479,42.515789,,original,5.0,0.05,3,,5587,2729,,0.887917,0.0,0.798272,,0.853053,24.050878,,0.040949,0.411524,0.128316,0.0,0.0,76.352935
CentralOracle-CRLB-local,comm_limited,32,32000,,,,1,0.0,0.589087,1198.948408,41.536842,,original,5.0,0.05,3,,5871,2923,,0.868646,0.0,0.766755,,0.896211,23.737265,,0.041982,0.404094,0.087158,0.0,0.0,78.698296
CentralOracle-CRLB-local,comm_limited,34,34000,,,,1,0.0,0.501718,2062.271507,50.368421,,original,5.0,0.05,3,,3199,1987,,0.772292,0.0,0.877489,625,0.950632,30.330161,,0.027144,0.374573,0.045053,0.0,0.0,63.931772
CentralOracle-CRLB-local,comm_limited,33,33000,,,,1,0.0,0.574404,2348.065441,43.021053,,original,5.0,0.05,3,,5762,2595,,0.848125,0.0,0.907824,450,0.978316,26.386049,,0.034326,0.390623,0.006105,0.0,0.0,86.062515
CentralOracle-CRLB-local,comm_limited,35,35000,,,,1,0.0,0.560971,3194.640282,44.378947,,original,5.0,0.05,3,,5787,2480,,0.814896,0.0,0.822548,2200,0.973263,26.162554,,0.027872,0.381809,0.020211,0.0,0.0,84.09595
CentralOracle-CRLB-local,comm_limited,36,36000,,,,1,0.0,0.54837,2686.849116,45.652632,,original,5.0,0.05,3,,5042,2428,,0.799479,0.0,0.898178,450,0.970526,28.229563,,0.029528,0.37952,0.026105,0.0,0.0,77.925855
CentralOracle-CRLB-local,comm_limited,37,37000,,,,1,0.0,0.568572,1792.733655,43.610526,,original,5.0,0.05,3,,5348,2664,,0.828646,0.0,0.855369,550,0.913368,27.435987,,0.031493,0.387726,0.079789,0.0,0.0,82.932561
CentralOracle-CRLB-local,comm_limited,38,38000,,,,1,0.0,0.558784,1834.008686,44.6,,original,5.0,0.05,3,,4626,2453,,0.850729,0.0,0.845344,1675,0.903789,27.139806,,0.036554,0.391793,0.079684,0.0,0.0,82.234511
CentralOracle-CRLB-local,comm_limited,39,39000,,,,1,0.0,0.564199,1700.814332,44.052632,,original,5.0,0.05,3,,5258,2594,,0.864688,0.0,0.776189,,0.882632,24.905543,,0.039882,0.398776,0.101789,0.0,0.0,86.109605
