method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
CentralOracle-CRLB,comm_limited,3,3000,,,,1,0.0,0.576799,1237.188583,42.778947,,original,5.0,0.05,3,,5023,2620,,0.896875,0.0,0.823246,,0.872421,24.928357,,0.045645,0.414128,0.104316,0.0,0.0,90.023846
CentralOracle-CRLB,comm_limited,1,1000,,,,1,0.0,0.577528,1889.88764,42.705263,,original,5.0,0.05,3,,5311,2436,,0.890625,0.0,0.826845,,0.886421,24.556618,,0.042434,0.401338,0.090842,0.0,0.0,97.955757
CentralOracle-CRLB,comm_limited,2,2000,,,,1,0.0,0.607935,1596.893601,39.631579,,original,5.0,0.05,3,,6204,2691,,0.897083,0.0,0.855172,1300,0.909684,23.36047,,0.052178,0.407779,0.070632,0.0,0.0,104.121551
CentralOracle-CRLB,comm_limited,0,0,,,,1,0.0,0.607414,1698.323758,39.684211,,original,5.0,0.05,3,,6541,2716,,0.904375,0.0,0.786075,,0.844105,23.010535,,0.037745,0.409822,0.132526,0.0,0.0,107.283748
CentralOracle-CRLB,comm_limited,6,6000,,,,1,0.0,0.581797,1242.321047,42.273684,,original,5.0,0.05,3,,5250,2675,,0.892292,0.0,0.799776,,0.860737,24.176581,,0.05298,0.413658,0.113579,0.0,0.0,57.148867
CentralOracle-CRLB,comm_limited,7,7000,,,,1,0.0,0.559721,2014.381828,44.505263,,original,5.0,0.05,3,,5150,2433,,0.903438,0.0,0.823471,,0.883368,26.38439,,0.041102,0.411095,0.095474,0.0,0.0,60.681134
CentralOracle-CRLB,comm_limited,4,4000,,,,1,0.0,0.597417,1433.507853,40.694737,,original,5.0,0.05,3,,5949,2717,,0.90375,0.0,0.770631,,0.819053,25.048433,,0.041415,0.420127,0.167368,0.0,0.0,61.974785
CentralOracle-CRLB,comm_limited,5,5000,,,,1,0.0,0.58086,1505.059899,42.368421,,original,5.0,0.05,3,,5526,2649,,0.899167,0.0,0.850685,2575,0.927053,24.720586,,0.048179,0.40569,0.050526,0.0,0.0,62.5797
CentralOracle-CRLB,comm_limited,8,8000,,,,1,0.0,0.569926,1655.282946,43.473684,,original,5.0,0.05,3,,5511,2738,,0.887917,0.0,0.776941,2525,0.932105,23.088706,,0.044663,0.402404,0.050316,0.0,0.0,67.672922
CentralOracle-CRLB,comm_limited,9,9000,,,,1,0.0,0.564303,1153.917955,44.042105,,original,5.0,0.05,3,,4856,2780,,0.894583,0.0,0.874185,625,0.950737,25.561597,,0.049292,0.404807,0.023263,0.0,0.0,68.504779
CentralOracle-CRLB,comm_limited,10,10000,,,,1,0.0,0.600958,1351.570293,40.336842,,original,5.0,0.05,3,,5715,2784,,0.915729,0.0,0.706801,,0.754632,23.279673,,0.04404,0.412405,0.227684,0.0,0.0,71.54482
CentralOracle-CRLB,comm_limited,11,11000,,,,1,0.0,0.606477,1508.428669,39.778947,,original,5.0,0.05,3,,6193,2784,,0.88875,0.0,0.799287,,0.89,23.531457,,0.042723,0.404052,0.085579,0.0,0.0,78.578386
CentralOracle-CRLB,comm_limited,12,12000,,,,1,0.0,0.602937,1164.265332,40.136842,,original,5.0,0.05,3,,6160,2778,,0.919687,0.0,0.648915,,0.701895,22.842586,,0.045031,0.427859,0.280316,0.0,0.0,77.207605
CentralOracle-CRLB,comm_limited,13,13000,,,,1,0.0,0.606998,1774.145511,39.726316,,original,5.0,0.05,3,,6316,2652,,0.900729,0.0,0.762964,,0.881368,21.475617,,0.0548,0.408682,0.092421,0.0,0.0,79.053836
CentralOracle-CRLB,comm_limited,14,14000,,,,1,0.0,0.606477,1201.170732,39.778947,,original,5.0,0.05,3,,6190,2687,,0.904479,0.0,0.785479,,0.829684,24.496576,,0.044416,0.402182,0.147368,0.0,0.0,79.982075
CentralOracle-CRLB,comm_limited,15,15000,,,,1,0.0,0.594293,1271.689941,41.010526,,original,5.0,0.05,3,,5644,2705,,0.904167,0.0,0.79327,,0.845158,24.316837,,0.050305,0.406934,0.125263,0.0,0.0,73.174822
CentralOracle-CRLB,comm_limited,16,16000,,,,1,0.0,0.565448,1656.806503,43.926316,,original,5.0,0.05,3,,5075,2698,,0.880938,0.0,0.707188,3050,0.974526,24.150615,,0.037116,0.405006,0.001684,0.0,0.0,59.835555
CentralOracle-CRLB,comm_limited,19,19000,,,,1,0.0,0.584713,1119.542066,41.978947,,original,5.0,0.05,3,,5161,2739,,0.92125,0.0,0.626365,,0.661474,23.442844,,0.02826,0.422409,0.322632,0.0,0.0,60.546984
CentralOracle-CRLB,comm_limited,17,17000,,,,1,0.0,0.569822,1622.002877,43.484211,,original,5.0,0.05,3,,5477,2682,,0.886979,0.0,0.876021,400,0.971263,25.342776,,0.043423,0.398649,0.007474,0.0,0.0,69.514813
CentralOracle-CRLB,comm_limited,18,18000,,,,1,0.0,0.60377,1661.241791,40.052632,,original,5.0,0.05,3,,6221,2743,,0.899896,0.0,0.790417,,0.880105,23.320066,,0.047004,0.413104,0.101263,0.0,0.0,76.659406
CentralOracle-CRLB,comm_limited,20,20000,,,,1,0.0,0.592731,1639.311385,41.168421,,original,5.0,0.05,3,,5758,2572,,0.918229,0.0,0.718554,,0.762211,23.076704,,0.041028,0.407441,0.220947,0.0,0.0,75.91962
CentralOracle-CRLB,comm_limited,22,22000,,,,1,0.0,0.592002,1517.42928,41.242105,,original,5.0,0.05,3,,5774,2524,,0.897917,0.0,0.839457,3200,0.9,25.089906,,0.052641,0.403393,0.070947,0.0,0.0,80.036106
CentralOracle-CRLB,comm_limited,23,23000,,,,1,0.0,0.573362,1253.019403,43.126316,,original,5.0,0.05,3,,5267,2742,,0.907292,0.0,0.776095,,0.854737,24.412243,,0.051163,0.416698,0.124,0.0,0.0,69.416826
CentralOracle-CRLB,comm_limited,21,21000,,,,1,0.0,0.591898,1955.984448,41.252632,,original,5.0,0.05,3,,6366,2675,,0.889687,0.0,0.896312,375,0.955053,24.694582,,0.046484,0.401749,0.024421,0.0,0.0,85.998099
CentralOracle-CRLB,comm_limited,24,24000,,,,1,0.0,0.626054,1893.921488,37.8,,original,5.0,0.05,3,,7005,2759,,0.890417,0.0,0.765957,2450,0.936105,21.976164,,0.052424,0.408543,0.038421,0.0,0.0,77.973642
CentralOracle-CRLB,comm_limited,25,25000,,,,1,0.0,0.560033,1611.869797,44.473684,,original,5.0,0.05,3,,5193,2595,,0.897917,0.0,0.824627,2375,0.905684,25.918059,,0.041478,0.395526,0.068316,0.0,0.0,69.957033
