method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Deploy-U,comm_limited,0,0,,,,1,0.0,0.318546,2956.0,68.884211,,original,5.0,0.05,3,,559,478,,0.740729,0.0,0.837501,1675,0.988737,36.992044,,0.022836,0.383126,0.009053,0.089375,0.016354,70.78372
Deploy-U,comm_limited,1,1000,,,,1,0.0,0.338957,3152.0,66.821053,,original,5.0,0.05,3,,288,288,,0.696042,0.0,0.832342,950,0.975263,37.243219,,0.028177,0.365209,0.020105,0.099687,0.020417,64.804764
Deploy-U,comm_limited,2,2000,,,,1,0.0,0.276164,2549.0,73.168421,,original,5.0,0.05,3,,413,401,,0.791354,0.0,0.857989,2025,0.994,38.250424,,0.02145,0.406935,0.003684,0.079792,0.012292,75.883392
Deploy-U,comm_limited,3,3000,,,,1,0.0,0.282828,2613.0,72.494737,,original,5.0,0.05,3,,292,292,,0.747604,0.0,0.90945,525,0.993579,40.931345,,0.017201,0.385491,0.005053,0.087292,0.015208,72.44382
Deploy-U,comm_limited,4,4000,,,,1,0.0,0.429657,3135.670606,57.652632,,original,5.0,0.05,3,,200,197,,0.686146,0.0,0.898466,725,0.986211,34.893832,,0.022857,0.366725,0.011158,0.08375,0.021875,71.636996
Deploy-U,comm_limited,5,5000,,,,1,0.0,0.290847,2690.0,71.684211,,original,5.0,0.05,3,,358,335,,0.660729,0.0,0.886176,850,0.996737,36.617962,,0.017719,0.35239,0.001684,0.103542,0.022292,72.656496
Deploy-U,comm_limited,6,6000,,,,1,0.0,0.282099,2606.0,72.568421,,original,5.0,0.05,3,,780,722,,0.778646,0.0,0.88215,800,0.995789,38.5071,,0.020663,0.401322,0.002421,0.074167,0.01375,79.093164
Deploy-U,comm_limited,7,7000,,,,1,0.0,0.33073,3073.0,67.652632,,original,5.0,0.05,3,,582,533,,0.683958,0.0,0.873705,950,0.990632,36.119319,,0.023228,0.353658,0.005895,0.103854,0.019479,72.314473
Deploy-U,comm_limited,8,8000,,,,1,0.0,0.408935,1636.918345,59.747368,,original,5.0,0.05,3,,408,405,,0.771667,0.0,0.864245,775,0.945474,34.943896,,0.032001,0.408161,0.048842,0.094896,0.0125,73.128934
Deploy-U,comm_limited,9,9000,,,,1,0.0,0.329376,3060.0,67.789474,,original,5.0,0.05,3,,529,529,,0.716146,0.0,0.885424,700,0.985158,35.356696,,0.024547,0.373068,0.011158,0.089167,0.017604,72.629153
