method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier+Entropy,comm_limited,3,3000,,,,1,0.0,0.349058,2675.66864,65.8,,original,5.0,0.05,3,,288,288,,0.748229,0.0,0.900157,675,0.994947,36.630576,,0.022101,0.379108,0.001895,0.0,0.0,91.394945
Frontier+Entropy,comm_limited,1,1000,,,,1,0.0,0.373425,3026.017012,63.336842,,original,5.0,0.05,3,,189,189,,0.760833,0.0,0.88034,675,0.976316,37.055431,,0.023767,0.382731,0.017579,0.0,0.0,91.519804
Frontier+Entropy,comm_limited,0,0,,,,1,0.0,0.394981,2023.035901,61.157895,,original,5.0,0.05,3,,163,163,,0.738021,0.0,0.882794,675,0.992526,37.974235,,0.018467,0.392589,0.004947,0.0,0.0,92.941198
Frontier+Entropy,comm_limited,2,2000,,,,1,0.0,0.220348,2013.0,78.810526,,original,5.0,0.05,3,,894,748,,0.792292,0.0,0.838678,1625,0.997263,41.82099,,0.015392,0.39258,0.002,0.0,0.0,96.246174
Frontier+Entropy,comm_limited,4,4000,,,,1,0.0,0.27356,2524.0,73.431579,,original,5.0,0.05,3,,436,358,,0.797917,0.0,0.883532,1275,0.997158,37.818275,,0.017491,0.397302,0.001368,0.0,0.0,95.122257
Frontier+Entropy,comm_limited,6,6000,,,,1,0.0,0.322399,2993.0,68.494737,,original,5.0,0.05,3,,190,190,,0.726562,0.0,0.878677,675,0.995053,36.863474,,0.017312,0.378364,0.003474,0.0,0.0,95.090542
Frontier+Entropy,comm_limited,5,5000,,,,1,0.0,0.340102,2768.288898,66.705263,,original,5.0,0.05,3,,644,574,,0.816979,0.0,0.872203,1300,0.976,36.415086,,0.024651,0.413833,0.020737,0.0,0.0,98.262706
Frontier+Entropy,comm_limited,7,7000,,,,1,0.0,0.177236,1599.0,83.168421,,original,5.0,0.05,3,,664,588,,0.785833,0.0,0.904992,650,0.999895,42.115039,,0.011766,0.385183,0.0,0.0,0.0,96.217225
Frontier+Entropy,comm_limited,10,10000,,,,1,0.0,0.276893,2556.0,73.094737,,original,5.0,0.05,3,,448,389,,0.771146,0.0,0.887483,850,0.997895,40.521482,,0.018163,0.38412,0.000842,0.0,0.0,95.136428
Frontier+Entropy,comm_limited,8,8000,,,,1,0.0,0.190045,1722.0,81.873684,,original,5.0,0.05,3,,816,743,,0.768646,0.0,0.861157,1800,0.998,41.113719,,0.012883,0.40321,0.001263,0.0,0.0,98.949202
Frontier+Entropy,comm_limited,9,9000,,,,1,0.0,0.290222,2684.0,71.747368,,original,5.0,0.05,3,,804,723,,0.772604,0.0,0.821195,2025,0.997368,39.012965,,0.018948,0.388224,0.0,0.0,0.0,98.758113
Frontier+Entropy,comm_limited,11,11000,,,,1,0.0,0.384671,2442.401839,62.2,,original,5.0,0.05,3,,552,507,,0.733854,0.0,0.897117,575,0.981158,37.578875,,0.022946,0.367249,0.013474,0.0,0.0,96.922995
Frontier+Entropy,comm_limited,12,12000,,,,1,0.0,0.325627,3024.0,68.168421,,original,5.0,0.05,3,,195,195,,0.785729,0.0,0.896644,700,0.990211,39.231314,,0.016554,0.398886,0.008842,0.0,0.0,94.504511
Frontier+Entropy,comm_limited,13,13000,,,,1,0.0,0.351661,2314.470024,65.536842,,original,5.0,0.05,3,,527,521,,0.802083,0.0,0.878311,875,0.993789,39.747637,,0.02618,0.405219,0.003053,0.0,0.0,94.689773
Frontier+Entropy,comm_limited,14,14000,,,,1,0.0,0.355722,3313.0,65.126316,,original,5.0,0.05,3,,535,526,,0.746563,0.0,0.863317,900,0.978316,34.413612,,0.028815,0.373769,0.015789,0.0,0.0,95.56887
Frontier+Entropy,comm_limited,15,15000,,,,1,0.0,0.371134,3461.0,63.568421,,original,5.0,0.05,3,,463,463,,0.778125,0.0,0.8261,1500,0.970737,33.86403,,0.026999,0.391583,0.023895,0.0,0.0,95.47858
Frontier+Entropy,comm_limited,16,16000,,,,1,0.0,0.245861,2258.0,76.231579,,original,5.0,0.05,3,,529,529,,0.792917,0.0,0.85784,1175,0.997789,42.054528,,0.019093,0.401517,0.000842,0.0,0.0,95.257553
Frontier+Entropy,comm_limited,17,17000,,,,1,0.0,0.271686,2506.0,73.621053,,original,5.0,0.05,3,,270,270,,0.77125,0.0,0.850088,1875,0.994105,37.963354,,0.017422,0.39708,0.004526,0.0,0.0,96.45285
Frontier+Entropy,comm_limited,18,18000,,,,1,0.0,0.30001,2778.0,70.757895,,original,5.0,0.05,3,,599,546,,0.771979,0.0,0.87756,675,0.984211,39.527416,,0.020578,0.387088,0.013789,0.0,0.0,97.423134
Frontier+Entropy,comm_limited,19,19000,,,,1,0.0,0.265438,2446.0,74.252632,,original,5.0,0.05,3,,578,573,,0.805312,0.0,0.905062,550,0.995579,40.300479,,0.016608,0.399435,0.003789,0.0,0.0,97.635443
Frontier+Entropy,comm_limited,20,20000,,,,1,0.0,0.390295,2552.653499,61.631579,,original,5.0,0.05,3,,214,214,,0.715938,0.0,0.876223,725,0.985789,34.563852,,0.024944,0.372295,0.009158,0.0,0.0,93.366246
Frontier+Entropy,comm_limited,21,21000,,,,1,0.0,0.301052,2788.0,70.652632,,original,5.0,0.05,3,,530,514,,0.723646,0.0,0.86784,725,0.997158,38.613459,,0.015047,0.378636,0.0,0.0,0.0,96.812224
Frontier+Entropy,comm_limited,22,22000,,,,1,0.0,0.281579,2601.0,72.621053,,original,5.0,0.05,3,,359,338,,0.769375,0.0,0.895753,625,0.999263,38.817655,,0.015358,0.400845,0.0,0.0,0.0,95.632347
Frontier+Entropy,comm_limited,23,23000,,,,1,0.0,0.294179,2722.0,71.347368,,original,5.0,0.05,3,,245,242,,0.741458,0.0,0.888764,625,0.990842,39.480317,,0.018303,0.381738,0.004105,0.0,0.0,95.060917
Frontier+Entropy,comm_limited,24,24000,,,,1,0.0,0.391024,1855.02988,61.557895,,original,5.0,0.05,3,,217,217,,0.756354,0.0,0.893044,725,0.982105,34.551942,,0.032617,0.398336,0.010105,0.0,0.0,96.219444
Frontier+Entropy,comm_limited,25,25000,,,,1,0.0,0.31084,2882.0,69.663158,,original,5.0,0.05,3,,260,260,,0.751458,0.0,0.89479,675,0.998842,39.52616,,0.018,0.378927,0.000316,0.0,0.0,94.880547
Frontier+Entropy,comm_limited,26,26000,,,,1,0.0,0.308758,2862.0,69.873684,,original,5.0,0.05,3,,667,623,,0.808125,0.0,0.897519,625,0.997053,40.383512,,0.018523,0.418497,0.000211,0.0,0.0,99.885435
Frontier+Entropy,comm_limited,27,27000,,,,1,0.0,0.203478,1851.0,80.515789,,original,5.0,0.05,3,,774,729,,0.740938,0.0,0.879972,800,0.999474,39.938187,,0.013714,0.377639,0.000211,0.0,0.0,101.021353
Frontier+Entropy,comm_limited,28,28000,,,,1,0.0,0.273977,2528.0,73.389474,,original,5.0,0.05,3,,633,570,,0.801771,0.0,0.858611,2050,0.995579,37.180094,,0.015314,0.400575,0.003474,0.0,0.0,98.796435
Frontier+Entropy,comm_limited,29,29000,,,,1,0.0,0.251796,2315.0,75.631579,,original,5.0,0.05,3,,590,554,,0.692708,0.0,0.9026,750,0.997053,39.782,,0.015521,0.357678,0.001895,0.0,0.0,97.498069
Frontier+Entropy,comm_limited,30,30000,,,,1,0.0,0.381652,1926.74569,62.505263,,original,5.0,0.05,3,,172,172,,0.786146,0.0,0.851186,1225,0.988105,36.191558,,0.026705,0.395135,0.008526,0.0,0.0,94.248713
Frontier+Entropy,comm_limited,31,31000,,,,1,0.0,0.424138,1682.395425,58.210526,,original,5.0,0.05,3,,124,124,,0.73125,0.0,0.858391,1350,0.991579,35.819426,,0.020979,0.374917,0.004632,0.0,0.0,92.812014
Frontier+Entropy,comm_limited,32,32000,,,,1,0.0,0.320733,2977.0,68.663158,,original,5.0,0.05,3,,757,757,,0.772188,0.0,0.900212,650,0.995474,38.412678,,0.023279,0.384709,0.001789,0.0,0.0,96.510147
Frontier+Entropy,comm_limited,33,33000,,,,1,0.0,0.336666,2929.28422,67.052632,,original,5.0,0.05,3,,251,251,,0.816354,0.0,0.891185,675,0.996421,37.826387,,0.018198,0.412754,0.001684,0.0,0.0,94.547858
