method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
GDOP,comm_limited,2,2000,,,,1,0.0,0.257107,2366.0,75.094737,,original,5.0,0.05,3,,792,713,,0.811562,0.0,0.811496,1200,0.990211,37.894577,,0.016519,0.406679,0.0,0.0,0.0,49.690499
GDOP,comm_limited,0,0,,,,1,0.0,0.323441,3003.0,68.389474,,original,5.0,0.05,3,,550,531,,0.766979,0.0,0.839003,1375,0.991474,34.723171,,0.021182,0.388785,0.0,0.0,0.0,50.983794
GDOP,comm_limited,3,3000,,,,1,0.0,0.347808,2762.698413,65.926316,,original,5.0,0.05,3,,675,662,,0.811771,0.0,0.795556,,0.894211,34.76525,,0.019735,0.411684,0.099474,0.0,0.0,51.004189
GDOP,comm_limited,1,1000,,,,1,0.0,0.330001,3066.0,67.726316,,original,5.0,0.05,3,,1169,1050,,0.731667,0.0,0.815551,1725,0.999053,33.488396,,0.017264,0.366421,0.0,0.0,0.0,58.175577
GDOP,comm_limited,6,6000,,,,1,0.0,0.231074,2116.0,77.726316,,original,5.0,0.05,3,,621,581,,0.814896,0.0,0.88758,550,0.996632,41.926219,,0.015035,0.415276,0.000737,0.0,0.0,48.339612
GDOP,comm_limited,4,4000,,,,1,0.0,0.26523,2444.0,74.273684,,original,5.0,0.05,3,,1106,930,,0.770312,0.0,0.858513,1200,0.996842,37.560337,,0.015333,0.394288,0.0,0.0,0.0,53.205
GDOP,comm_limited,5,5000,,,,1,0.0,0.404145,2018.941176,60.231579,,original,5.0,0.05,3,,353,342,,0.742604,0.0,0.804162,2450,0.982737,32.789719,,0.022926,0.390214,0.011579,0.0,0.0,52.115246
GDOP,comm_limited,7,7000,,,,1,0.0,0.391753,1537.455136,61.484211,,original,5.0,0.05,3,,350,350,,0.685312,0.0,0.848435,1000,0.992105,32.311911,,0.015694,0.350931,0.000421,0.0,0.0,60.822896
GDOP,comm_limited,8,8000,,,,1,0.0,0.222639,2035.0,78.578947,,original,5.0,0.05,3,,1034,907,,0.794167,0.0,0.866637,975,0.995053,40.350171,,0.015887,0.401327,0.0,0.0,0.0,50.306262
GDOP,comm_limited,9,9000,,,,1,0.0,0.376341,2830.856506,63.042105,,original,5.0,0.05,3,,493,478,,0.720417,0.0,0.857922,1275,0.993474,34.769184,,0.017561,0.390698,0.0,0.0,0.0,55.939066
GDOP,comm_limited,10,10000,,,,1,0.0,0.304176,2818.0,70.336842,,original,5.0,0.05,3,,557,548,,0.759167,0.0,0.816771,2300,0.982105,35.103729,,0.015631,0.374684,0.016526,0.0,0.0,57.336886
GDOP,comm_limited,11,11000,,,,1,0.0,0.218265,1993.0,79.021053,,original,5.0,0.05,3,,356,356,,0.764375,0.0,0.89152,600,1.0,39.707158,,0.012383,0.392368,0.0,0.0,0.0,53.791324
GDOP,comm_limited,12,12000,,,,1,0.0,0.372904,1731.371495,63.389474,,original,5.0,0.05,3,,505,505,,0.798021,0.0,0.824212,1225,0.947368,35.459919,,0.021715,0.398205,0.045474,0.0,0.0,51.381786
GDOP,comm_limited,13,13000,,,,1,0.0,0.37707,1953.367386,62.968421,,original,5.0,0.05,3,,502,454,,0.737604,0.0,0.825804,925,0.992105,32.798607,,0.022978,0.398047,0.000632,0.0,0.0,54.136785
GDOP,comm_limited,14,14000,,,,1,0.0,0.257628,2371.0,75.042105,,original,5.0,0.05,3,,497,490,,0.703125,0.0,0.866825,850,0.998737,37.664375,,0.012205,0.361968,0.0,0.0,0.0,59.269086
GDOP,comm_limited,15,15000,,,,1,0.0,0.283661,2621.0,72.410526,,original,5.0,0.05,3,,769,761,,0.726458,0.0,0.862354,1000,0.996526,36.245214,,0.013073,0.3848,0.0,0.0,0.0,58.449901
GDOP,comm_limited,16,16000,,,,1,0.0,0.297199,2751.0,71.042105,,original,5.0,0.05,3,,548,539,,0.794792,0.0,0.874907,875,0.994211,40.101408,,0.018608,0.404638,0.001263,0.0,0.0,50.505744
GDOP,comm_limited,17,17000,,,,1,0.0,0.404873,1224.787629,60.157895,,original,5.0,0.05,3,,316,316,,0.791042,0.0,0.731185,2200,0.942842,33.34126,,0.021765,0.414366,0.049789,0.0,0.0,52.185824
GDOP,comm_limited,18,18000,,,,1,0.0,0.23576,2161.0,77.252632,,original,5.0,0.05,3,,303,303,,0.731354,0.0,0.8748,900,0.999579,38.552855,,0.013531,0.379784,0.000211,0.0,0.0,56.931528
GDOP,comm_limited,19,19000,,,,1,0.0,0.354993,2823.850844,65.2,,original,5.0,0.05,3,,357,357,,0.746042,0.0,0.835249,950,0.990421,34.997597,,0.01901,0.374417,0.001158,0.0,0.0,51.344016
GDOP,comm_limited,20,20000,,,,1,0.0,0.330626,3072.0,67.663158,,original,5.0,0.05,3,,747,717,,0.815625,0.0,0.838633,1100,0.993474,37.222156,,0.018352,0.412337,0.000842,0.0,0.0,49.867584
GDOP,comm_limited,21,21000,,,,1,0.0,0.39571,1732.54902,61.084211,,original,5.0,0.05,3,,226,226,,0.756563,0.0,0.840002,1325,0.986632,34.88275,,0.022716,0.387262,0.007368,0.0,0.0,57.0839
GDOP,comm_limited,22,22000,,,,1,0.0,0.346246,3222.0,66.084211,,original,5.0,0.05,3,,470,454,,0.750208,0.0,0.861296,1200,0.995158,37.506985,,0.015766,0.392905,0.000316,0.0,0.0,57.177823
GDOP,comm_limited,23,23000,,,,1,0.0,0.256586,2361.0,75.147368,,original,5.0,0.05,3,,681,649,,0.752292,0.0,0.861282,1000,0.997789,37.951615,,0.014043,0.374144,0.000526,0.0,0.0,57.681599
GDOP,comm_limited,24,24000,,,,1,0.0,0.326565,3033.0,68.073684,,original,5.0,0.05,3,,484,378,,0.812292,0.0,0.894184,675,0.995474,36.699095,,0.018951,0.430037,0.0,0.0,0.0,51.997997
GDOP,comm_limited,25,25000,,,,1,0.0,0.24534,2253.0,76.284211,,original,5.0,0.05,3,,333,333,,0.775937,0.0,0.900076,600,0.995579,42.897842,,0.01393,0.396342,0.0,0.0,0.0,57.884028
GDOP,comm_limited,26,26000,,,,1,0.0,0.301052,2788.0,70.652632,,original,5.0,0.05,3,,557,528,,0.82,0.0,0.855617,1625,0.996947,39.368758,,0.01735,0.427347,0.0,0.0,0.0,51.449951
GDOP,comm_limited,27,27000,,,,1,0.0,0.258253,2377.0,74.978947,,original,5.0,0.05,3,,685,685,,0.763437,0.0,0.874443,1250,0.998737,38.307109,,0.017696,0.396872,0.000211,0.0,0.0,64.826481
GDOP,comm_limited,28,28000,,,,1,0.0,0.253254,2329.0,75.484211,,original,5.0,0.05,3,,861,742,,0.776771,0.0,0.817211,1925,0.997053,37.676378,,0.013405,0.384023,0.0,0.0,0.0,64.792048
GDOP,comm_limited,29,29000,,,,1,0.0,0.421951,1275.846974,58.431579,,original,5.0,0.05,3,,146,146,,0.724479,0.0,0.862715,1000,0.995789,35.126036,,0.017023,0.362816,0.0,0.0,0.0,68.22814
GDOP,comm_limited,30,30000,,,,1,0.0,0.385505,2472.513733,62.115789,,original,5.0,0.05,3,,432,432,,0.688021,0.0,0.807857,1850,0.994,32.550089,,0.017528,0.332771,0.0,0.0,0.0,72.977759
GDOP,comm_limited,31,31000,,,,1,0.0,0.488597,652.012129,51.694737,,original,5.0,0.05,3,,480,468,,0.774896,0.0,0.878791,700,0.971053,34.853405,,0.023915,0.379652,0.010316,0.0,0.0,66.513261
GDOP,comm_limited,32,32000,,,,1,0.0,0.30782,2853.0,69.968421,,original,5.0,0.05,3,,254,254,,0.737917,0.0,0.883725,800,0.998105,37.945908,,0.013923,0.366648,0.0,0.0,0.0,66.309026
GDOP,comm_limited,33,33000,,,,1,0.0,0.222743,2036.0,78.568421,,original,5.0,0.05,3,,142,142,,0.714375,0.0,0.849993,1100,0.993895,38.958271,,0.014305,0.379877,0.0,0.0,0.0,59.807947
GDOP,comm_limited,34,34000,,,,1,0.0,0.260648,2400.0,74.736842,,original,5.0,0.05,3,,588,571,,0.781979,0.0,0.827937,1025,0.991895,39.396061,,0.018057,0.410432,0.004526,0.0,0.0,54.278034
GDOP,comm_limited,35,35000,,,,1,0.0,0.297407,2753.0,71.021053,,original,5.0,0.05,3,,486,482,,0.677813,0.0,0.845921,875,0.999895,35.731441,,0.013773,0.347232,0.0,0.0,0.0,66.399021
GDOP,comm_limited,36,36000,,,,1,0.0,0.298969,2768.0,70.863158,,original,5.0,0.05,3,,583,529,,0.72,0.0,0.80172,1700,0.995789,35.124738,,0.014824,0.353964,0.0,0.0,0.0,60.438568
GDOP,comm_limited,37,37000,,,,1,0.0,0.323857,3007.0,68.347368,,original,5.0,0.05,3,,459,447,,0.702917,0.0,0.854068,1100,0.997895,34.693855,,0.01572,0.357569,0.0,0.0,0.0,60.366853
GDOP,comm_limited,38,38000,,,,1,0.0,0.239925,2201.0,76.831579,,original,5.0,0.05,3,,605,548,,0.700104,0.0,0.904447,675,0.999263,39.844918,,0.012104,0.355476,0.0,0.0,0.0,61.708496
GDOP,comm_limited,39,39000,,,,1,0.0,0.285744,2641.0,72.2,,original,5.0,0.05,3,,555,555,,0.820729,0.0,0.861248,1000,0.996842,38.305895,,0.017515,0.407763,0.0,0.0,0.0,45.017538
