method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.239925,2201.0,76.831579,,original,5.0,0.05,3,,298,295,,0.765,0.0,0.882895,925,0.994842,42.774556,,0.016367,0.400348,0.003263,0.0,0.0,83.234979
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.307092,2846.0,70.042105,,original,5.0,0.05,3,,321,321,,0.756146,0.0,0.899585,875,0.997789,40.037186,,0.019102,0.389524,0.000211,0.0,0.0,85.762268
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.266896,2460.0,74.105263,,original,5.0,0.05,3,,410,397,,0.786563,0.0,0.844972,2300,0.996842,39.616956,,0.014042,0.405541,0.0,0.0,0.0,86.228023
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.322608,2995.0,68.473684,,original,5.0,0.05,3,,162,162,,0.819271,0.0,0.86156,675,0.971474,39.798132,,0.021224,0.427328,0.025368,0.0,0.0,86.285746
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.208789,1902.0,79.978947,,original,5.0,0.05,3,,494,475,,0.833333,0.0,0.865352,1950,0.999158,41.507985,,0.013788,0.409085,0.000105,0.0,0.0,65.305515
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.23753,2178.0,77.073684,,original,5.0,0.05,3,,593,593,,0.815208,0.0,0.884713,625,0.993158,41.228219,,0.017482,0.400769,0.001684,0.0,0.0,62.827505
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.302405,2801.0,70.515789,,original,5.0,0.05,3,,382,357,,0.783333,0.0,0.813541,1625,0.984737,37.354507,,0.02157,0.40648,0.012211,0.0,0.0,63.08143
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.306675,2842.0,70.084211,,original,5.0,0.05,3,,393,393,,0.819167,0.0,0.866623,1525,0.988421,40.442232,,0.025479,0.413563,0.005053,0.0,0.0,63.673185
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.224617,2054.0,78.378947,,original,5.0,0.05,3,,565,530,,0.752604,0.0,0.865556,1150,1.0,40.564317,,0.012764,0.382366,0.0,0.0,0.0,55.25798
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.230865,2114.0,77.747368,,original,5.0,0.05,3,,853,793,,0.774167,0.0,0.847259,1625,0.998,39.315531,,0.013575,0.386494,0.0,0.0,0.0,57.456184
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.236801,2171.0,77.147368,,original,5.0,0.05,3,,487,453,,0.806458,0.0,0.865818,850,0.975053,41.441102,,0.0159,0.399269,0.023684,0.0,0.0,57.168756
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.244819,2248.0,76.336842,,original,5.0,0.05,3,,1066,959,,0.805833,0.0,0.892738,525,0.998105,42.028146,,0.014991,0.393743,0.000105,0.0,0.0,61.249986
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.341768,3179.0,66.536842,,original,5.0,0.05,3,,99,99,,0.800312,0.0,0.872904,650,0.958842,40.006586,,0.017654,0.398242,0.035789,0.0,0.0,51.899457
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.245652,2256.0,76.252632,,original,5.0,0.05,3,,371,325,,0.817708,0.0,0.881845,875,0.997895,43.504775,,0.014354,0.409405,0.0,0.0,0.0,53.948463
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.273144,2520.0,73.473684,,original,5.0,0.05,3,,542,542,,0.771354,0.0,0.87273,950,0.999263,39.319215,,0.013398,0.382531,0.0,0.0,0.0,55.72999
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.17557,1583.0,83.336842,,original,5.0,0.05,3,,1114,971,,0.804167,0.0,0.847719,1100,0.999895,41.95473,,0.01253,0.392274,0.0,0.0,0.0,59.510542
