method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.240654,2208.0,76.757895,,original,5.0,0.05,3,,144,144,random,0.0,,0.773229,0.0,0.838496,1250,0.997684,41.39813,,0.012531,0.052014,0.0,0.0,0.0,,24.983878
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.328439,3051.0,67.884211,,original,5.0,0.05,3,,356,354,random,0.0,,0.845313,0.0,0.863944,1525,0.980947,37.784,,0.023912,0.071601,0.012316,0.0,0.0,,25.238751
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.363532,3388.0,64.336842,,original,5.0,0.05,3,,454,408,random,0.0,,0.784792,0.0,0.898292,650,0.989368,36.580327,,0.019559,0.062934,0.004316,0.0,0.0,,25.98331
Coverage-U,comm_limited,0,0,,,,1,0.0,0.312298,2896.0,69.515789,,original,5.0,0.05,3,,379,379,random,0.0,,0.826354,0.0,0.894965,650,0.992421,39.915942,,0.019861,0.075475,0.001053,0.0,0.0,,26.221112
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.474852,1193.481775,53.084211,,original,5.0,0.05,3,,187,187,random,0.0,,0.822292,0.0,0.790033,3175,0.950737,31.257053,,0.035782,0.067776,0.038,0.0,0.0,,25.524041
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.356764,2087.369877,65.021053,,original,5.0,0.05,3,,507,482,random,0.0,,0.780937,0.0,0.846363,825,0.934421,34.392553,,0.022239,0.069699,0.061158,0.0,0.0,,28.145571
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.273664,2525.0,73.421053,,original,5.0,0.05,3,,956,754,random,0.0,,0.799896,0.0,0.868988,900,0.996211,38.507901,,0.01555,0.080489,0.0,0.0,0.0,,28.255664
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.372488,3392.894977,63.431579,,original,5.0,0.05,3,,625,560,random,0.0,,0.826667,0.0,0.765409,1150,0.987158,37.925627,,0.025946,0.073037,0.007789,0.0,0.0,,28.741826
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.280017,2586.0,72.778947,,original,5.0,0.05,3,,804,800,random,0.0,,0.834896,0.0,0.858706,1275,0.992,40.570334,,0.018051,0.077343,0.002,0.0,0.0,,28.280218
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.257003,2365.0,75.105263,,original,5.0,0.05,3,,1259,854,random,0.0,,0.836146,0.0,0.764659,2925,0.987579,40.627868,,0.020468,0.079934,0.002526,0.0,0.0,,30.921198
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.298344,2762.0,70.926316,,original,5.0,0.05,3,,517,515,random,0.0,,0.762083,0.0,0.874424,725,0.994316,34.990271,,0.015974,0.062672,0.0,0.0,0.0,,27.56815
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.264709,2439.0,74.326316,,original,5.0,0.05,3,,725,682,random,0.0,,0.809063,0.0,0.793143,1525,0.938,39.742914,,0.021899,0.082022,0.053368,0.0,0.0,,27.265286
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.297095,2750.0,71.052632,,original,5.0,0.05,3,,362,361,random,0.0,,0.774167,0.0,0.875295,800,0.992947,37.026936,,0.016638,0.06373,0.002947,0.0,0.0,,25.485621
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.295324,2733.0,71.231579,,original,5.0,0.05,3,,550,496,random,0.0,,0.782708,0.0,0.893095,675,0.989263,39.332464,,0.0214,0.075138,0.002316,0.0,0.0,,27.268319
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.387587,2317.355374,61.905263,,original,5.0,0.05,3,,381,381,random,0.0,,0.729688,0.0,0.868698,950,0.988105,32.367171,,0.01805,0.055028,0.003474,0.0,0.0,,26.739722
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.309278,2867.0,69.821053,,original,5.0,0.05,3,,551,551,random,0.0,,0.817604,0.0,0.841642,1475,0.940211,34.628638,,0.02366,0.070412,0.049684,0.0,0.0,,27.290426
