method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.358534,3340.0,64.842105,,original,5.0,0.05,3,,99,99,random,0.0,,0.741042,0.0,0.909241,650,0.998421,37.657617,,0.01679,0.662963,0.001368,0.0,0.0,,75.181731
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.248568,2284.0,75.957895,,original,5.0,0.05,3,,583,519,random,0.0,,0.787604,0.0,0.872551,700,0.998421,41.665202,,0.015403,0.673643,0.0,0.0,0.0,,77.19001
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.396855,2660.897798,60.968421,,original,5.0,0.05,3,,364,359,random,0.0,,0.762396,0.0,0.784039,1500,0.993158,33.714067,,0.022112,0.677634,0.004211,0.0,0.0,,103.880839
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.336457,3128.0,67.073684,,original,5.0,0.05,3,,282,282,random,0.0,,0.781979,0.0,0.888838,875,0.999053,36.568291,,0.01773,0.681024,0.000105,0.0,0.0,,104.640828
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.245861,2258.0,76.231579,,original,5.0,0.05,3,,500,454,random,0.0,,0.772604,0.0,0.866581,1250,0.987158,38.959222,,0.016375,0.683597,0.004105,0.0,0.0,,107.744564
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.238884,2191.0,76.936842,,original,5.0,0.05,3,,766,685,random,0.0,,0.835938,0.0,0.865328,1150,0.996842,40.938467,,0.017638,0.702112,0.0,0.0,0.0,,109.105837
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.238051,2183.0,77.021053,,original,5.0,0.05,3,,291,291,random,0.0,,0.804792,0.0,0.883419,825,0.999158,40.190694,,0.013109,0.686256,0.000211,0.0,0.0,,109.091427
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.31865,2957.0,68.873684,,original,5.0,0.05,3,,241,241,random,0.0,,0.738542,0.0,0.901038,675,0.998947,37.450375,,0.016346,0.663181,0.0,0.0,0.0,,109.429977
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.224097,2049.0,78.431579,,original,5.0,0.05,3,,698,648,random,0.0,,0.802188,0.0,0.861158,1200,0.995474,40.385151,,0.017398,0.687696,0.000316,0.0,0.0,,115.690459
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.244507,2245.0,76.368421,,original,5.0,0.05,3,,818,671,random,0.0,,0.776042,0.0,0.847693,1575,0.977158,40.806743,,0.015265,0.673545,0.017053,0.0,0.0,,115.294121
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.278351,2570.0,72.947368,,original,5.0,0.05,3,,292,292,random,0.0,,0.800104,0.0,0.852537,1375,0.990842,39.648038,,0.020604,0.704888,0.004316,0.0,0.0,,111.720432
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.316568,2937.0,69.084211,,original,5.0,0.05,3,,337,337,random,0.0,,0.811458,0.0,0.824234,2550,0.995474,39.619704,,0.0222,0.688722,0.001895,0.0,0.0,,110.704542
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.254087,2337.0,75.4,,original,5.0,0.05,3,,847,698,random,0.0,,0.817917,0.0,0.895086,650,0.998526,39.996556,,0.014333,0.692503,0.0,0.0,0.0,,116.180287
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.263876,2431.0,74.410526,,original,5.0,0.05,3,,899,844,random,0.0,,0.778021,0.0,0.853862,825,0.997158,39.336921,,0.01868,0.682329,0.000211,0.0,0.0,,117.136844
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.278559,2572.0,72.926316,,original,5.0,0.05,3,,524,521,random,0.0,,0.796458,0.0,0.87206,700,0.992947,37.470686,,0.019345,0.685557,0.002316,0.0,0.0,,108.09346
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.233052,2135.0,77.526316,,original,5.0,0.05,3,,893,764,random,0.0,,0.806146,0.0,0.790157,1425,0.996526,38.902796,,0.019197,0.694066,0.000632,0.0,0.0,,111.291797
Richness-Angular,comm_limited,16,16000,,,,1,0.0,0.261273,2406.0,74.673684,,original,5.0,0.05,3,,473,418,random,0.0,,0.813021,0.0,0.847364,1300,0.997158,41.196028,,0.01354,0.704501,0.0,0.0,0.0,,106.849975
Richness-Angular,comm_limited,17,17000,,,,1,0.0,0.272311,2512.0,73.557895,,original,5.0,0.05,3,,258,258,random,0.0,,0.780729,0.0,0.862537,1150,0.990421,38.277942,,0.02136,0.674379,0.003158,0.0,0.0,,106.890204
Richness-Angular,comm_limited,19,19000,,,,1,0.0,0.312298,2896.0,69.515789,,original,5.0,0.05,3,,112,112,random,0.0,,0.733125,0.0,0.885917,925,0.998737,39.287301,,0.01454,0.654696,0.0,0.0,0.0,,104.737246
Richness-Angular,comm_limited,18,18000,,,,1,0.0,0.293762,2718.0,71.389474,,original,5.0,0.05,3,,264,264,random,0.0,,0.824896,0.0,0.883025,1125,0.998316,38.532242,,0.015294,0.701087,0.0,0.0,0.0,,106.208264
Richness-Angular,comm_limited,20,20000,,,,1,0.0,0.20629,1878.0,80.231579,,original,5.0,0.05,3,,658,611,random,0.0,,0.795417,0.0,0.860897,925,0.991053,40.739433,,0.013588,0.683155,0.000842,0.0,0.0,,109.673228
Richness-Angular,comm_limited,21,21000,,,,1,0.0,0.350099,3232.84204,65.694737,,original,5.0,0.05,3,,421,337,random,0.0,,0.765729,0.0,0.899645,700,0.995368,38.382885,,0.018757,0.664056,0.002632,0.0,0.0,,108.174696
Richness-Angular,comm_limited,23,23000,,,,1,0.0,0.231178,2117.0,77.715789,,original,5.0,0.05,3,,240,240,random,0.0,,0.768125,0.0,0.890629,700,0.999158,41.351375,,0.014545,0.670405,0.0,0.0,0.0,,108.354742
Richness-Angular,comm_limited,22,22000,,,,1,0.0,0.290951,2691.0,71.673684,,original,5.0,0.05,3,,742,694,random,0.0,,0.800521,0.0,0.880616,750,0.993789,40.353707,,0.017812,0.675124,0.002632,0.0,0.0,,111.551098
Richness-Angular,comm_limited,25,25000,,,,1,0.0,0.328751,3054.0,67.852632,,original,5.0,0.05,3,,125,125,random,0.0,,0.767708,0.0,0.894583,600,0.988316,38.107094,,0.0187,0.681367,0.006,0.0,0.0,,107.524063
Richness-Angular,comm_limited,24,24000,,,,1,0.0,0.245652,2256.0,76.252632,,original,5.0,0.05,3,,944,878,random,0.0,,0.787708,0.0,0.862383,1600,0.998105,40.480337,,0.018089,0.668024,0.000632,0.0,0.0,,113.687344
