method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.170554,6086.0,35.936842,,original,5.0,0.05,3,,139,139,,0.488694,0.0,0.770466,875,0.972,19.286602,,0.034727,0.240474,0.02,0.0,0.0,27.295477
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.166424,5957.220497,36.115789,,original,5.0,0.05,3,,101,101,,0.600049,0.0,0.722048,675,0.943263,18.969097,,0.037562,0.309145,0.042632,0.0,0.0,27.487516
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.149903,6001.0,36.831579,,original,5.0,0.05,3,,125,122,,0.502796,0.0,0.741621,925,0.977158,19.404399,,0.031043,0.286068,0.014421,0.0,0.0,27.751605
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.181973,5198.563328,35.442105,,original,5.0,0.05,3,,194,181,,0.589108,0.0,0.7347,,0.880421,18.908833,,0.040572,0.3046,0.106,0.0,0.0,28.710047
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.077988,5705.0,39.947368,,original,5.0,0.05,3,,200,200,,0.640408,0.0,0.72198,,0.852737,20.165903,,0.038434,0.32877,0.140105,0.0,0.0,27.724653
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.164723,6062.0,36.189474,,original,5.0,0.05,3,,113,113,,0.677608,0.0,0.738834,,0.890105,19.433065,,0.04153,0.326853,0.095158,0.0,0.0,28.388269
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.235909,5128.18705,33.105263,,original,5.0,0.05,3,,138,136,,0.578896,0.0,0.633759,,0.859684,17.956113,,0.044003,0.296207,0.125474,0.0,0.0,28.423246
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.137998,5952.0,37.347368,,original,5.0,0.05,3,,343,343,,0.603696,0.0,0.763888,625,0.941579,19.496637,,0.03751,0.315184,0.043895,0.0,0.0,30.390214
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.155977,6026.0,36.568421,,original,5.0,0.05,3,,103,103,,0.439825,0.0,0.688927,1150,0.962842,18.686702,,0.033073,0.226494,0.014421,0.0,0.0,36.396881
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.195335,4871.673529,34.863158,,original,5.0,0.05,3,,109,109,,0.543642,0.0,0.683391,,0.893158,17.659423,,0.037403,0.269192,0.091263,0.0,0.0,39.255096
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.143829,5976.0,37.094737,,original,5.0,0.05,3,,445,367,,0.601751,0.0,0.776965,525,0.953053,19.431844,,0.04219,0.297564,0.028,0.0,0.0,40.20561
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.140671,5963.0,37.231579,,original,5.0,0.05,3,,314,281,,0.606613,0.0,0.749647,850,0.909053,19.534999,,0.038148,0.268618,0.080316,0.0,0.0,44.582447
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.160836,6046.0,36.357895,,original,5.0,0.05,3,,21,21,,0.580355,0.0,0.762155,650,0.945368,19.240236,,0.031634,0.293914,0.039263,0.0,0.0,38.147819
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.139942,5960.0,37.263158,,original,5.0,0.05,3,,495,378,,0.589351,0.0,0.706568,1100,0.930842,18.801355,,0.037994,0.279776,0.056316,0.0,0.0,36.052985
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.166667,5980.780811,36.105263,,original,5.0,0.05,3,,123,123,,0.588135,0.0,0.706203,950,0.969053,18.491101,,0.030419,0.279039,0.018105,0.0,0.0,44.978521
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.073615,5687.0,40.136842,,original,5.0,0.05,3,,212,166,,0.592512,0.0,0.733429,875,0.969684,20.603509,,0.030465,0.292641,0.021368,0.0,0.0,47.77334
Richness-Angular,comm_limited,17,17000,,,,1,0.0,0.190476,5639.419773,35.073684,,original,5.0,0.05,3,,132,132,,0.498906,0.0,0.776131,600,0.929053,18.8019,,0.037,0.271024,0.060947,0.0,0.0,32.668625
Richness-Angular,comm_limited,16,16000,,,,1,0.0,0.196307,6166.414286,34.821053,,original,5.0,0.05,3,,336,335,,0.670071,0.0,0.610195,,0.738316,18.88122,,0.032123,0.333001,0.244421,0.0,0.0,44.799802
Richness-Angular,comm_limited,19,19000,,,,1,0.0,0.155248,6023.0,36.6,,original,5.0,0.05,3,,218,203,,0.644542,0.0,0.720608,,0.885684,19.420822,,0.039613,0.326535,0.106,0.0,0.0,38.011483
Richness-Angular,comm_limited,18,18000,,,,1,0.0,0.206025,4334.834734,34.4,,original,5.0,0.05,3,,257,257,,0.570873,0.0,0.645147,,0.878,18.128377,,0.040845,0.267007,0.11,0.0,0.0,43.453585
Richness-Angular,comm_limited,20,20000,,,,1,0.0,0.253401,4296.282718,32.347368,,original,5.0,0.05,3,,256,201,,0.561877,0.0,0.609654,,0.825368,16.629636,,0.037703,0.275149,0.160316,0.0,0.0,37.513491
Richness-Angular,comm_limited,22,22000,,,,1,0.0,0.153304,6015.0,36.684211,,original,5.0,0.05,3,,96,80,,0.496231,0.0,0.613655,1025,0.968,18.424569,,0.032432,0.230439,0.026842,0.0,0.0,30.786877
Richness-Angular,comm_limited,21,21000,,,,1,0.0,0.29689,1858.220022,30.463158,,original,5.0,0.05,3,,32,32,,0.637248,0.0,0.631042,,0.800526,16.45467,,0.040472,0.310411,0.185895,0.0,0.0,42.455436
Richness-Angular,comm_limited,23,23000,,,,1,0.0,0.177114,6113.0,35.652632,,original,5.0,0.05,3,,150,150,,0.604182,0.0,0.67649,1250,0.915474,19.479681,,0.035917,0.317281,0.075579,0.0,0.0,43.384637
Richness-Angular,comm_limited,25,25000,,,,1,0.0,0.167153,6072.0,36.084211,,original,5.0,0.05,3,,137,137,,0.700948,0.0,0.601764,,0.743579,18.393293,,0.040684,0.34169,0.242947,0.0,0.0,30.677668
Richness-Angular,comm_limited,24,24000,,,,1,0.0,0.178571,6119.0,35.589474,,original,5.0,0.05,3,,112,108,,0.432774,0.0,0.73731,850,0.986316,18.578671,,0.028791,0.216087,0.007474,0.0,0.0,36.263513
Richness-Angular,comm_limited,26,26000,,,,1,0.0,0.135083,5940.0,37.473684,,original,5.0,0.05,3,,112,112,,0.582057,0.0,0.770212,600,0.927579,19.748992,,0.037123,0.299528,0.062947,0.0,0.0,31.047541
Richness-Angular,comm_limited,27,27000,,,,1,0.0,0.095724,5778.0,39.178947,,original,5.0,0.05,3,,139,139,,0.541697,0.0,0.787681,700,0.968947,20.031544,,0.036701,0.275747,0.016947,0.0,0.0,43.781149
Richness-Angular,comm_limited,28,28000,,,,1,0.0,0.189261,6163.0,35.126316,,original,5.0,0.05,3,,321,317,,0.591053,0.0,0.67043,,0.837368,17.495082,,0.039882,0.325442,0.145895,0.0,0.0,31.569865
Richness-Angular,comm_limited,29,29000,,,,1,0.0,0.164966,6063.0,36.178947,,original,5.0,0.05,3,,142,142,,0.456358,0.0,0.747715,825,0.985053,19.160759,,0.028468,0.211576,0.012316,0.0,0.0,33.747641
