method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.358534,2291.007519,64.842105,,original,5.0,0.05,3,,408,405,,0.816979,0.0,0.795568,1700,0.994632,38.101979,,0.025064,0.365718,0.002421,0.0,0.0,31.635171
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.256795,2363.0,75.126316,,original,5.0,0.05,3,,507,505,,0.8075,0.0,0.865103,1350,0.993263,42.349187,,0.02142,0.380752,0.002526,0.0,0.0,34.006943
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.255962,2355.0,75.210526,,original,5.0,0.05,3,,573,522,,0.800312,0.0,0.852644,1450,0.994947,40.225862,,0.020775,0.37756,0.002105,0.0,0.0,35.559464
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.238467,2187.0,76.978947,,original,5.0,0.05,3,,1067,967,,0.827708,0.0,0.891835,725,0.999158,40.403474,,0.016762,0.394602,0.000211,0.0,0.0,41.757024
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.263043,2423.0,74.494737,,original,5.0,0.05,3,,394,375,,0.799896,0.0,0.905806,625,0.999158,38.774066,,0.016055,0.364819,0.0,0.0,0.0,39.93884
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.323545,3004.0,68.378947,,original,5.0,0.05,3,,244,236,,0.784687,0.0,0.875895,975,0.982,37.007975,,0.029786,0.365042,0.010211,0.0,0.0,36.628397
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.369468,1786.440731,63.736842,,original,5.0,0.05,3,,495,495,,0.836562,0.0,0.804693,2550,0.958105,35.523451,,0.029406,0.385432,0.037158,0.0,0.0,41.916798
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.407893,2336.039779,59.852632,,original,5.0,0.05,3,,339,339,,0.782708,0.0,0.873297,1450,0.997789,38.095015,,0.021301,0.361434,0.000947,0.0,0.0,37.166225
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.337499,2990.732579,66.968421,,original,5.0,0.05,3,,305,299,,0.814792,0.0,0.872329,875,0.964737,37.60116,,0.028488,0.374557,0.029368,0.0,0.0,33.124026
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.348329,2422.095749,65.873684,,original,5.0,0.05,3,,470,470,,0.797292,0.0,0.89006,550,0.987895,39.965258,,0.024981,0.371109,0.008211,0.0,0.0,34.818806
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.267729,2468.0,74.021053,,original,5.0,0.05,3,,409,409,,0.789896,0.0,0.872217,1125,0.985368,39.535245,,0.026988,0.372046,0.008737,0.0,0.0,33.667174
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.219827,2008.0,78.863158,,original,5.0,0.05,3,,855,805,,0.81625,0.0,0.837072,1900,0.999158,40.062821,,0.015321,0.386561,0.0,0.0,0.0,42.872753
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.367593,3427.0,63.926316,,original,5.0,0.05,3,,547,541,,0.798333,0.0,0.866454,1575,0.972737,35.877697,,0.024649,0.373954,0.024526,0.0,0.0,42.18832
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.331667,3082.0,67.557895,,original,5.0,0.05,3,,475,475,,0.762604,0.0,0.872191,650,0.954316,39.767686,,0.024875,0.363403,0.040842,0.0,0.0,45.903744
