method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.430595,1371.905828,57.557895,,original,5.0,0.05,3,2.5,196,196,,0.804063,0.0,0.903289,675,0.988421,34.510127,,0.027715,0.407655,0.001474,0.0,0.0,51.886012
Coverage-U,comm_limited,0,0,,,,1,0.0,0.31688,2940.0,69.052632,,original,5.0,0.05,3,2.5,535,535,,0.805,0.0,0.867192,1225,0.993895,38.399725,,0.01935,0.399839,0.003053,0.0,0.0,55.552945
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.328231,3049.0,67.905263,,original,5.0,0.05,3,2.5,321,318,,0.823229,0.0,0.857867,1550,0.978632,36.065503,,0.025852,0.406192,0.015368,0.0,0.0,62.29888
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.46725,828.734736,53.852632,,original,5.0,0.05,3,2.5,151,151,,0.780208,0.0,0.752139,2675,0.985368,31.890064,,0.027796,0.381037,0.000211,0.0,0.0,64.990784
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.421223,1601.57614,58.505263,,original,5.0,0.05,3,2.5,278,278,,0.815312,0.0,0.72597,2650,0.983474,31.067758,,0.029394,0.400471,0.002947,0.0,0.0,54.385398
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.339894,3161.0,66.726316,,original,5.0,0.05,3,2.5,327,327,,0.793438,0.0,0.876389,975,0.982526,37.820359,,0.024385,0.406878,0.009579,0.0,0.0,61.645079
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.35718,2754.240009,64.978947,,original,5.0,0.05,3,2.5,255,255,,0.806979,0.0,0.811065,1875,0.984316,37.897211,,0.023317,0.398084,0.008737,0.0,0.0,64.900925
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.421431,1480.319149,58.484211,,original,5.0,0.05,3,2.5,734,693,,0.838958,0.0,0.818282,,0.897368,32.80413,,0.021694,0.398473,0.091684,0.0,0.0,68.615695
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.386546,2533.586708,62.010526,,original,5.0,0.05,3,2.5,112,100,,0.749479,0.0,0.84469,1350,0.974526,37.73572,,0.019284,0.383133,0.022526,0.0,0.0,60.448029
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.419556,2136.593419,58.673684,,original,5.0,0.05,3,2.5,255,251,,0.811562,0.0,0.870896,1350,0.992526,31.692183,,0.022979,0.403519,0.000526,0.0,0.0,61.695286
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.36322,2624.847059,64.368421,,original,5.0,0.05,3,2.5,198,198,,0.699375,0.0,0.885138,900,0.999684,34.983753,,0.014564,0.3552,0.0,0.0,0.0,58.905157
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.345413,3214.0,66.168421,,original,5.0,0.05,3,2.5,204,162,,0.809375,0.0,0.89371,675,0.995158,38.845824,,0.024855,0.410177,0.001053,0.0,0.0,62.572163
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.383838,2115.393525,62.284211,,original,5.0,0.05,3,2.5,140,140,,0.811667,0.0,0.838112,875,0.942526,34.973635,,0.021114,0.396832,0.049053,0.0,0.0,80.588949
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.432157,1525.777999,57.4,,original,5.0,0.05,3,2.5,619,586,,0.793542,0.0,0.85188,1225,0.953579,31.203345,,0.028586,0.397609,0.035263,0.0,0.0,82.025816
