method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.255129,2347.0,75.294737,,original,5.0,0.05,3,2.5,159,159,,0.776458,0.0,0.885123,800,0.999789,41.667868,,0.014171,0.391433,0.0,0.0,0.0,96.571805
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.387171,2839.312604,61.947368,,original,5.0,0.05,3,2.5,179,177,,0.773021,0.0,0.891919,725,0.974316,34.965743,,0.026768,0.395802,0.019158,0.0,0.0,113.205597
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.347391,2812.25731,65.968421,,original,5.0,0.05,3,2.5,566,526,,0.804479,0.0,0.847281,850,0.993789,34.943951,,0.024859,0.38688,0.003158,0.0,0.0,116.009642
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.427158,1795.107447,57.905263,,original,5.0,0.05,3,2.5,76,76,,0.786667,0.0,0.801014,1925,0.984105,34.670112,,0.034437,0.393886,0.008211,0.0,0.0,118.262151
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.480579,2955.076923,52.505263,,original,5.0,0.05,3,2.5,203,176,,0.805,0.0,0.865222,600,0.940737,32.458331,,0.032473,0.409601,0.053053,0.0,0.0,57.544189
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.416328,3833.627092,59.0,,original,5.0,0.05,3,2.5,126,126,,0.794896,0.0,0.911187,625,0.998211,35.03674,,0.021791,0.383364,0.000211,0.0,0.0,74.877967
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.380714,2315.174347,62.6,,original,5.0,0.05,3,2.5,228,228,,0.756771,0.0,0.889456,850,0.989579,34.557026,,0.023231,0.376125,0.007579,0.0,0.0,59.897582
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.316151,2933.0,69.126316,,original,5.0,0.05,3,2.5,492,478,,0.793333,0.0,0.8224,1950,0.994737,37.238743,,0.021019,0.385488,0.002632,0.0,0.0,76.043341
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.404353,3780.0,60.210526,,original,5.0,0.05,3,2.5,96,94,,0.795937,0.0,0.886992,550,0.962737,34.107347,,0.034176,0.400324,0.029895,0.0,0.0,57.119005
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.256795,2363.0,75.126316,,original,5.0,0.05,3,2.5,301,301,,0.761563,0.0,0.877576,900,0.997263,39.755053,,0.016998,0.384174,0.001158,0.0,0.0,55.004122
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.330105,3067.0,67.715789,,original,5.0,0.05,3,2.5,253,253,,0.7375,0.0,0.864388,1175,0.993895,39.198984,,0.02175,0.361153,0.003579,0.0,0.0,63.484501
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.373842,3002.743488,63.294737,,original,5.0,0.05,3,2.5,622,526,,0.767188,0.0,0.759056,2875,0.959579,34.397905,,0.028097,0.375327,0.034105,0.0,0.0,57.71747
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.448297,1214.975257,55.768421,,original,5.0,0.05,3,2.5,84,84,,0.719583,0.0,0.872235,650,0.953895,34.509015,,0.028667,0.36252,0.040842,0.0,0.0,51.327177
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.40404,2136.539796,60.242105,,original,5.0,0.05,3,2.5,206,206,,0.778854,0.0,0.865693,750,0.979368,34.080523,,0.029309,0.37446,0.016421,0.0,0.0,51.31609
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.488701,825.108365,51.684211,,original,5.0,0.05,3,2.5,66,66,,0.768437,0.0,0.85137,825,0.924947,30.820396,,0.036724,0.381524,0.067053,0.0,0.0,59.843202
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.370405,2495.4606,63.642105,,original,5.0,0.05,3,2.5,285,285,,0.747604,0.0,0.891977,750,0.986526,36.285087,,0.026644,0.364474,0.009789,0.0,0.0,56.09423
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.422785,1161.919602,58.347368,,original,5.0,0.05,3,2.5,111,111,,0.737292,0.0,0.868,850,0.991579,34.893204,,0.021803,0.371639,0.005895,0.0,0.0,52.107355
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.356243,3039.930084,65.073684,,original,5.0,0.05,3,2.5,105,105,,0.802604,0.0,0.887058,600,0.968316,39.153025,,0.021226,0.381852,0.028316,0.0,0.0,52.532707
