method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.312507,2898.0,69.494737,,original,5.0,0.05,3,,378,367,,0.817292,0.0,0.870697,825,0.968632,40.980449,,0.02834,0.377912,0.024632,0.0,0.0,76.78639
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.244507,2245.0,76.368421,,original,5.0,0.05,3,,852,749,,0.853437,0.0,0.863499,1075,0.979053,40.634556,,0.023917,0.391938,0.012211,0.0,0.0,77.459282
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.23753,2178.0,77.073684,,original,5.0,0.05,3,,414,414,,0.801354,0.0,0.880168,700,0.999789,41.88786,,0.015937,0.380505,0.000105,0.0,0.0,79.17314
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.281475,2600.0,72.631579,,original,5.0,0.05,3,,390,357,,0.825208,0.0,0.806276,2225,0.995263,40.137561,,0.01926,0.382573,0.001895,0.0,0.0,79.956105
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.408206,1692.03138,59.821053,,original,5.0,0.05,3,,155,155,,0.799271,0.0,0.81708,2150,0.995368,35.009701,,0.02389,0.343262,0.001158,0.0,0.0,78.10492
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.257003,2365.0,75.105263,,original,5.0,0.05,3,,352,352,,0.805521,0.0,0.871657,650,0.974947,40.302385,,0.022237,0.362285,0.021579,0.0,0.0,78.41824
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.305425,2830.0,70.210526,,original,5.0,0.05,3,,512,501,,0.8425,0.0,0.807807,1125,0.980211,36.919472,,0.025672,0.381738,0.014211,0.0,0.0,83.320853
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.241799,2219.0,76.642105,,original,5.0,0.05,3,,841,678,,0.778438,0.0,0.917722,450,0.998421,41.170984,,0.018238,0.351442,0.000105,0.0,0.0,85.860118
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.308654,2861.0,69.884211,,original,5.0,0.05,3,,316,315,,0.828021,0.0,0.805037,2950,0.957895,37.304214,,0.031842,0.399582,0.031579,0.0,0.0,85.335908
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.327398,3041.0,67.989474,,original,5.0,0.05,3,,864,850,,0.848646,0.0,0.881651,750,0.966842,37.362967,,0.035805,0.383681,0.023474,0.0,0.0,84.705668
