method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.368947,3158.488153,63.789474,,original,5.0,0.05,3,,313,310,,0.851771,0.0,0.830928,1700,0.989053,36.740021,,0.025698,0.353904,0.006,0.0,0.0,79.25837
Coverage-U,comm_limited,0,0,,,,1,0.0,0.351661,2929.172577,65.536842,,original,5.0,0.05,3,,115,115,,0.827187,0.0,0.807013,1950,0.994421,35.707054,,0.026877,0.358243,0.002842,0.0,0.0,79.379541
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.185255,1676.0,82.357895,,original,5.0,0.05,3,,798,666,,0.845313,0.0,0.896996,550,0.992632,42.119863,,0.015272,0.364528,0.005053,0.0,0.0,81.423862
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.270957,2499.0,73.694737,,original,5.0,0.05,3,,881,678,,0.871979,0.0,0.860253,1625,0.977158,40.142293,,0.019768,0.36891,0.018632,0.0,0.0,83.658301
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.261897,2412.0,74.610526,,original,5.0,0.05,3,,481,481,,0.873229,0.0,0.885954,500,0.968316,42.172117,,0.026991,0.359024,0.024211,0.0,0.0,86.386899
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.290326,2685.0,71.736842,,original,5.0,0.05,3,,765,625,,0.856667,0.0,0.89123,875,0.979895,37.24778,,0.024696,0.355519,0.010947,0.0,0.0,91.998514
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.331875,3084.0,67.536842,,original,5.0,0.05,3,,194,194,,0.819063,0.0,0.809105,1425,0.998421,38.302051,,0.020302,0.32404,0.000737,0.0,0.0,88.684036
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.27002,2490.0,73.789474,,original,5.0,0.05,3,,824,663,,0.869687,0.0,0.834668,2525,0.985474,37.337679,,0.029507,0.363849,0.005053,0.0,0.0,93.456732
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.391544,1652.98778,61.505263,,original,5.0,0.05,3,,330,330,,0.82625,0.0,0.905988,525,0.990737,37.747987,,0.028107,0.347867,0.004632,0.0,0.0,82.30443
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.33979,2357.42554,66.736842,,original,5.0,0.05,3,,313,313,,0.843854,0.0,0.824933,2725,0.988211,37.519038,,0.029718,0.361123,0.003263,0.0,0.0,87.253782
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.330626,3072.0,67.663158,,original,5.0,0.05,3,,234,223,,0.82875,0.0,0.878352,775,0.977579,39.115482,,0.026571,0.34762,0.013579,0.0,0.0,87.192879
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.200562,1823.0,80.810526,,original,5.0,0.05,3,,766,697,,0.831354,0.0,0.896991,475,0.995053,40.527658,,0.016121,0.359144,0.001789,0.0,0.0,94.522128
