method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.293242,2713.0,71.442105,,original,5.0,0.05,3,,557,535,,0.786979,0.0,0.886305,750,0.994737,39.317569,,0.022546,0.35358,0.002316,0.0,0.0,115.588655
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.154014,1376.0,85.515789,,original,5.0,0.05,3,,564,533,,0.839583,0.0,0.862796,750,1.0,44.386196,,0.011732,0.39269,0.0,0.0,0.0,116.585726
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.282932,2614.0,72.484211,,original,5.0,0.05,3,,590,574,,0.770729,0.0,0.896938,550,0.999579,40.27434,,0.013878,0.35323,0.0,0.0,0.0,118.920929
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.168593,1516.0,84.042105,,original,5.0,0.05,3,,874,661,,0.78,0.0,0.88823,825,1.0,43.745604,,0.013097,0.357778,0.0,0.0,0.0,120.300199
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.215037,1962.0,79.347368,,original,5.0,0.05,3,,698,637,,0.840833,0.0,0.822538,1225,0.997263,40.648587,,0.022542,0.376134,0.000421,0.0,0.0,110.573051
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.236176,2165.0,77.210526,,original,5.0,0.05,3,,325,323,,0.79,0.0,0.869512,525,0.974316,41.782112,,0.02244,0.358218,0.022737,0.0,0.0,120.145481
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.377174,1723.556962,62.957895,,original,5.0,0.05,3,,392,392,,0.824479,0.0,0.891264,550,0.995158,36.789431,,0.023658,0.347388,0.000316,0.0,0.0,117.070306
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.235343,2157.0,77.294737,,original,5.0,0.05,3,,906,804,,0.832396,0.0,0.82734,1075,0.991053,40.97526,,0.027078,0.366033,0.002421,0.0,0.0,123.996456
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.262001,2413.0,74.6,,original,5.0,0.05,3,,565,523,,0.804167,0.0,0.878065,750,0.994316,38.962457,,0.019878,0.358954,0.002632,0.0,0.0,122.772383
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.32292,2592.759472,68.442105,,original,5.0,0.05,3,,109,109,,0.766979,0.0,0.907692,625,0.999053,38.375048,,0.015262,0.344934,0.0,0.0,0.0,117.833761
