method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,alpha_sat_frac,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,topology,maze_loop_density,fusion_events,rendezvous_steps,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s,policy_cpu_s,ms_per_decision
Frontier-Bounded,comm_limited,0,0,3733,3979,4200,False,100.0,0.7334933173349332,4.0,99.95,,,original,5.0,0.2,3,,cluster,0.0,2540,1867,0.9015666666666666,0.5731,0.9197887499999997,2400,0.998,80.42806062499044,3750,0.008276069121831856,0.38480466212781045,0.0005,0.0,0.0,,103.91571960000056,,
Frontier-Bounded,comm_limited,1,1000,3210,4380,4637,False,100.0,0.7335599773355997,6.0,99.925,,,original,5.0,0.2,3,,cluster,0.0,1165,1165,0.8763,0.4814,0.94893265625,1000,0.998125,82.90456062501248,3225,0.007643590632575553,0.38513626321572647,0.00075,0.0,0.0,,103.69180290000031,,
Frontier-Bounded,comm_limited,2,2000,3763,3998,4240,False,100.0,0.7334599873345998,3.0,99.9625,,,original,5.0,0.2,3,,cluster,0.0,1926,1894,0.8934333333333333,0.5029666666666667,0.9476817187499917,1000,0.999125,81.52170750001234,3775,0.00801184473180699,0.35872182789975143,0.000375,0.0,0.0,,99.96598579999954,,
Frontier-Bounded,comm_limited,3,3000,3591,4219,4478,False,100.0,0.7334266573342666,2.0,99.975,,,original,5.0,0.2,3,,cluster,0.0,854,854,0.8959666666666667,0.44216666666666665,0.9431398437499993,1250,0.998875,82.02217062498897,3600,0.007842077167849725,0.37221465985399377,0.00025,0.0,0.0,,112.5304229000003,,
Frontier-Bounded,comm_limited,4,4000,4689,4939,5666,False,100.0,0.5348566777138206,0.0,100.0,,,original,5.0,0.2,3,,cluster,0.0,535,535,0.7296464294021866,0.0,0.8639410480349334,1900,0.99975,60.956080992673,4700,0.008379184316244462,0.3390297009016301,0.0,0.0,0.0,,69.10064089999969,,
Frontier-Bounded,comm_limited,5,5000,4556,4874,5202,False,100.0,0.7335933073359331,7.0,99.9125,,,original,5.0,0.2,3,,cluster,0.0,866,819,0.8836333333333334,0.4441,0.8992037499999928,2025,0.99725,79.12136374998938,4575,0.007692226852632207,0.3738917150317185,0.000875,0.0,0.0,,102.53466920000028,,
Frontier-Bounded,comm_limited,6,6000,4036,4339,4693,False,100.0,0.4488080474025079,0.0,100.0,,,original,5.0,0.2,3,,cluster,0.0,1692,1282,0.7725863138308869,0.0,0.8433756476683935,1875,0.99825,59.613811505065286,4050,0.009427812900083104,0.3527101718554062,0.0,0.0,0.0,,66.07553390000066,,
Frontier-Bounded,comm_limited,7,7000,3981,4287,4551,False,100.0,0.7334266573342666,2.0,99.975,,,original,5.0,0.2,3,,cluster,0.0,2177,1496,0.8894333333333333,0.5166,0.9140056250000004,1950,0.99925,79.90098937498819,4000,0.007476410171708731,0.3927123557102135,0.00025,0.0,0.0,,81.67221439999958,,
Frontier-Bounded,comm_limited,8,8000,4471,5000,5453,False,100.0,0.7334266573342666,2.0,99.975,,,original,5.0,0.2,3,,cluster,0.0,992,986,0.8816,0.4164,0.9389193750000004,1575,0.99925,79.20512937499014,4475,0.00739106300634519,0.39100735482195,0.00025,0.0,0.0,,76.68591909999941,,
Frontier-Bounded,comm_limited,9,9000,3227,3482,4028,False,100.0,0.3632601082457816,0.0,100.0,,,original,5.0,0.2,3,,cluster,0.0,965,735,0.750497571849375,0.0,0.8168832335329343,1775,0.9995,58.87148764031496,3250,0.009624456018548425,0.34674979745987605,0.0,0.0,0.0,,45.44451900000058,,
