method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.394219,1852.792874,61.5625,,original,5.0,0.2,6,,209,206,cluster,0.0,,0.538528,0.0,0.810777,600,0.985625,34.885178,,0.021617,0.241893,0.008625,0.0,0.0,,39.896675
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.400861,2756.536697,60.8875,,original,5.0,0.2,6,,411,398,cluster,0.0,,0.470704,0.0,0.776427,750,0.980625,33.769133,,0.02536,0.22449,0.00925,0.0,0.0,,42.699855
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.333948,2585.0,67.6875,,original,5.0,0.2,6,,291,222,cluster,0.0,,0.509847,0.0,0.762021,900,0.964,36.806162,,0.019802,0.268633,0.027125,0.0,0.0,,43.728656
Coverage-U,comm_limited,0,0,,,,1,0.0,0.295572,2273.0,71.5875,,original,5.0,0.2,6,,733,478,cluster,0.0,,0.63257,0.0,0.745295,1050,0.990875,38.342305,,0.018654,0.298675,0.003,0.0,0.0,,45.186305
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.240221,1823.0,77.2125,,original,5.0,0.2,6,,587,478,cluster,0.0,,0.598597,0.0,0.751584,1000,0.995875,41.744299,,0.01716,0.285496,0.001125,0.0,0.0,,49.22616
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.396064,1640.001086,61.375,,original,5.0,0.2,6,,155,137,cluster,0.0,,0.525111,0.0,0.804152,850,0.979625,34.499649,,0.021738,0.257353,0.014375,0.0,0.0,,46.822438
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.290529,2232.0,72.1,,original,5.0,0.2,6,,765,576,cluster,0.0,,0.634786,0.0,0.708333,1100,0.98475,38.436743,,0.022385,0.319533,0.004875,0.0,0.0,,50.482791
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.336777,2608.0,67.4,,original,5.0,0.2,6,,680,431,cluster,0.0,,0.572132,0.0,0.812275,700,0.972,37.171418,,0.023539,0.279028,0.018125,0.0,0.0,,51.797
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.385855,1839.305677,62.4125,,original,5.0,0.2,6,,702,573,cluster,0.0,,0.587765,0.0,0.748807,1225,0.982625,35.326343,,0.021855,0.281056,0.00825,0.0,0.0,,53.155674
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.350677,2721.0,65.9875,,original,5.0,0.2,6,,428,376,cluster,0.0,,0.515756,0.0,0.817719,525,0.993625,37.196376,,0.018788,0.260342,0.00075,0.0,0.0,,51.597041
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.377491,2868.777328,63.2625,,original,5.0,0.2,6,,1412,846,cluster,0.0,,0.623215,0.0,0.730446,1350,0.903375,36.610446,,0.027514,0.298484,0.085,0.0,0.0,,56.607088
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.372571,2440.4092,63.7625,,original,5.0,0.2,6,,636,382,cluster,0.0,,0.563639,0.0,0.808174,750,0.9895,35.147087,,0.019557,0.256174,0.00275,0.0,0.0,,54.634926
