method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.33075,2559.0,68.0125,,original,5.0,0.2,6,,459,397,cluster,0.0,,0.592196,0.0,0.809134,550,0.94225,38.08588,,0.020513,0.273368,0.05125,0.0,0.0,,23.729855
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.326445,2524.0,68.45,,original,5.0,0.2,6,,784,567,cluster,0.0,,0.541605,0.0,0.822694,650,0.99475,37.868547,,0.017192,0.263252,0.000625,0.0,0.0,,24.816169
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.319065,2464.0,69.2,,original,5.0,0.2,6,,767,492,cluster,0.0,,0.574225,0.0,0.788471,875,0.992375,36.975812,,0.018426,0.27916,0.0005,0.0,0.0,,25.033462
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.357319,2775.0,65.3125,,original,5.0,0.2,6,,730,555,cluster,0.0,,0.6274,0.0,0.784152,900,0.966625,38.055691,,0.02592,0.300843,0.02375,0.0,0.0,,25.004006
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.356458,2727.002679,65.4,,original,5.0,0.2,6,,388,381,cluster,0.0,,0.569547,0.0,0.808235,850,0.983125,37.144489,,0.022926,0.271948,0.010375,0.0,0.0,,24.040282
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.323247,2498.0,68.775,,original,5.0,0.2,6,,138,137,cluster,0.0,,0.480428,0.0,0.826647,775,0.994625,36.615925,,0.017185,0.240387,0.0005,0.0,0.0,,23.334486
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.327306,2531.0,68.3625,,original,5.0,0.2,6,,987,616,cluster,0.0,,0.645126,0.0,0.763054,1350,0.904625,38.522383,,0.026408,0.307763,0.07975,0.0,0.0,,28.110861
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.357811,2779.0,65.2625,,original,5.0,0.2,6,,852,498,cluster,0.0,,0.565731,0.0,0.748935,875,0.933,36.042619,,0.025338,0.281774,0.055125,0.0,0.0,,28.899208
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.369127,1865.113602,64.1125,,original,5.0,0.2,6,,603,543,cluster,0.0,,0.668759,0.0,0.691856,1350,0.904,36.458904,,0.037349,0.328348,0.07825,0.0,0.0,,24.477813
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.303813,2340.0,70.75,,original,5.0,0.2,6,,523,437,cluster,0.0,,0.624323,0.0,0.797427,625,0.995625,40.748763,,0.017625,0.296849,0.0,0.0,0.0,,24.718999
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.336531,2606.0,67.425,,original,5.0,0.2,6,,317,279,cluster,0.0,,0.589365,0.0,0.787757,825,0.99075,39.341137,,0.019064,0.28721,0.0035,0.0,0.0,,24.244587
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.289791,2226.0,72.175,,original,5.0,0.2,6,,610,463,cluster,0.0,,0.585549,0.0,0.790172,675,0.990125,38.335737,,0.017931,0.282132,0.006125,0.0,0.0,,24.513673
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.331611,2566.0,67.925,,original,5.0,0.2,6,,192,192,cluster,0.0,,0.516987,0.0,0.772764,775,0.9945,37.848578,,0.018534,0.243608,0.0015,0.0,0.0,,22.941967
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.247478,1882.0,76.475,,original,5.0,0.2,6,,775,557,cluster,0.0,,0.615953,0.0,0.783591,650,0.996875,42.11058,,0.015885,0.302017,0.0,0.0,0.0,,24.697824
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.351169,2583.91842,65.9375,,original,5.0,0.2,6,,453,283,cluster,0.0,,0.553053,0.0,0.816363,575,0.99125,37.313003,,0.019819,0.262413,0.0025,0.0,0.0,,25.241597
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.351907,2731.0,65.8625,,original,5.0,0.2,6,,692,507,cluster,0.0,,0.586534,0.0,0.809806,725,0.98425,36.032602,,0.024824,0.275949,0.00675,0.0,0.0,,25.831877
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.366298,2424.307446,64.4,,original,5.0,0.2,6,,569,457,cluster,0.0,,0.621492,0.0,0.752279,1250,0.958625,35.678139,,0.025534,0.286766,0.031125,0.0,0.0,,25.857855
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.393604,2458.962509,61.625,,original,5.0,0.2,6,,691,535,cluster,0.0,,0.623708,0.0,0.737531,1300,0.919625,34.910921,,0.024887,0.304544,0.06975,0.0,0.0,,27.393474
Frontier-Bounded,comm_limited,18,18000,,,,1,0.0,0.332226,2571.0,67.8625,,original,5.0,0.2,6,,865,651,cluster,0.0,,0.579887,0.0,0.773203,575,0.969375,37.245463,,0.027737,0.275282,0.019625,0.0,0.0,,26.634026
Frontier-Bounded,comm_limited,19,19000,,,,1,0.0,0.366421,2796.515556,64.3875,,original,5.0,0.2,6,,832,640,cluster,0.0,,0.578902,0.0,0.731247,1325,0.948625,36.878864,,0.020401,0.272698,0.041875,0.0,0.0,,27.653587
Frontier-Bounded,comm_limited,20,20000,,,,1,0.0,0.39385,3072.0,61.6,,original,5.0,0.2,6,,492,425,cluster,0.0,,0.55613,0.0,0.629137,1300,0.94275,32.630558,,0.030926,0.25508,0.044625,0.0,0.0,,24.797822
Frontier-Bounded,comm_limited,21,21000,,,,1,0.0,0.298278,2295.0,71.3125,,original,5.0,0.2,6,,769,568,cluster,0.0,,0.581487,0.0,0.737513,950,0.969375,38.759772,,0.021368,0.288868,0.021375,0.0,0.0,,27.166384
Frontier-Bounded,comm_limited,22,22000,,,,1,0.0,0.313653,2420.0,69.75,,original,5.0,0.2,6,,230,194,cluster,0.0,,0.591581,0.0,0.812241,575,0.97225,37.524234,,0.025882,0.279681,0.014875,0.0,0.0,,23.816923
Frontier-Bounded,comm_limited,23,23000,,,,1,0.0,0.361501,2809.0,64.8875,,original,5.0,0.2,6,,455,379,cluster,0.0,,0.647464,0.0,0.715356,1275,0.93125,37.199617,,0.024386,0.307279,0.05775,0.0,0.0,,24.772696
Frontier-Bounded,comm_limited,24,24000,,,,1,0.0,0.363223,2697.356487,64.7125,,original,5.0,0.2,6,,621,391,cluster,0.0,,0.572255,0.0,0.802544,800,0.97775,36.189314,,0.021809,0.289659,0.01475,0.0,0.0,,28.364665
Frontier-Bounded,comm_limited,25,25000,,,,1,0.0,0.288438,2215.0,72.3125,,original,5.0,0.2,6,,731,611,cluster,0.0,,0.611768,0.0,0.817547,550,0.978625,40.869521,,0.022496,0.30437,0.013875,0.0,0.0,,32.625604
Frontier-Bounded,comm_limited,26,26000,,,,1,0.0,0.291513,2240.0,72.0,,original,5.0,0.2,6,,883,550,cluster,0.0,,0.616199,0.0,0.802237,675,0.990125,37.64555,,0.019391,0.296361,0.000375,0.0,0.0,,34.967177
Frontier-Bounded,comm_limited,27,27000,,,,1,0.0,0.282657,2168.0,72.9,,original,5.0,0.2,6,,282,248,cluster,0.0,,0.549483,0.0,0.829181,500,0.99375,39.531813,,0.020055,0.274218,0.0,0.0,0.0,,33.555827
Frontier-Bounded,comm_limited,28,28000,,,,1,0.0,0.305658,2355.0,70.5625,,original,5.0,0.2,6,,435,364,cluster,0.0,,0.665928,0.0,0.80291,600,0.96725,39.372004,,0.020974,0.304784,0.02325,0.0,0.0,,44.015469
Frontier-Bounded,comm_limited,29,29000,,,,1,0.0,0.369127,2703.636479,64.1125,,original,5.0,0.2,6,,455,437,cluster,0.0,,0.717381,0.0,0.740906,1350,0.908375,37.926953,,0.028889,0.334757,0.08075,0.0,0.0,,47.31288
Frontier-Bounded,comm_limited,31,31000,,,,1,0.0,0.358303,2783.0,65.2125,,original,5.0,0.2,6,,313,313,cluster,0.0,,0.540374,0.0,0.804405,725,0.97075,37.133793,,0.022971,0.26544,0.019875,0.0,0.0,,42.823184
Frontier-Bounded,comm_limited,30,30000,,,,1,0.0,0.293604,2257.0,71.7875,,original,5.0,0.2,6,,1156,696,cluster,0.0,,0.64611,0.0,0.845867,425,0.988375,40.451583,,0.024345,0.291554,0.004625,0.0,0.0,,52.635787
