method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.331734,2567.0,67.9125,,original,5.0,0.2,6,,656,515,cluster,0.0,,0.594904,0.0,0.826043,600,0.959875,37.908904,,0.02239,0.284902,0.034125,0.0,0.0,,71.1952
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.320787,2478.0,69.025,,original,5.0,0.2,6,,650,465,cluster,0.0,,0.606352,0.0,0.810265,650,0.964625,37.510801,,0.020856,0.30878,0.027875,0.0,0.0,,71.604854
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.288561,2216.0,72.3,,original,5.0,0.2,6,,716,608,cluster,0.0,,0.639217,0.0,0.815271,800,0.986,39.426699,,0.01945,0.313881,0.0045,0.0,0.0,,72.934376
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.245756,1868.0,76.65,,original,5.0,0.2,6,,786,554,cluster,0.0,,0.625062,0.0,0.830441,525,0.985125,41.604801,,0.01801,0.308498,0.00975,0.0,0.0,,74.138872
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.27909,2139.0,73.2625,,original,5.0,0.2,6,,546,438,cluster,0.0,,0.634047,0.0,0.83524,525,0.997375,42.157298,,0.01669,0.299797,0.000125,0.0,0.0,,77.126669
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.322263,2490.0,68.875,,original,5.0,0.2,6,,274,255,cluster,0.0,,0.507632,0.0,0.832986,525,0.993,38.729958,,0.017771,0.258303,0.000875,0.0,0.0,,77.71797
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.316851,2446.0,69.425,,original,5.0,0.2,6,,502,377,cluster,0.0,,0.517725,0.0,0.830142,500,0.991375,37.431545,,0.017103,0.260651,0.000875,0.0,0.0,,79.486694
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.30123,2319.0,71.0125,,original,5.0,0.2,6,,355,342,cluster,0.0,,0.538035,0.0,0.789233,850,0.993125,37.180959,,0.015926,0.281715,0.00025,0.0,0.0,,77.0891
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.446617,1542.76745,56.2375,,original,5.0,0.2,6,,570,497,cluster,0.0,,0.526588,0.0,0.751701,975,0.9705,33.574211,,0.025683,0.27163,0.019,0.0,0.0,,75.135239
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.303567,2338.0,70.775,,original,5.0,0.2,6,,407,385,cluster,0.0,,0.565854,0.0,0.838693,525,0.993625,38.188756,,0.018348,0.277264,0.003,0.0,0.0,,76.646862
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.317712,2453.0,69.3375,,original,5.0,0.2,6,,881,643,cluster,0.0,,0.563885,0.0,0.81952,725,0.995375,37.594826,,0.017252,0.287465,0.001625,0.0,0.0,,79.560424
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.30615,2359.0,70.5125,,original,5.0,0.2,6,,648,393,cluster,0.0,,0.610906,0.0,0.807795,650,0.993625,39.100115,,0.020265,0.298148,0.0005,0.0,0.0,,79.38188
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.356089,2765.0,65.4375,,original,5.0,0.2,6,,350,281,cluster,0.0,,0.399557,0.0,0.839279,550,0.993125,36.48155,,0.016129,0.207687,0.003375,0.0,0.0,,72.381238
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.310701,2396.0,70.05,,original,5.0,0.2,6,,328,245,cluster,0.0,,0.492984,0.0,0.849013,425,0.992125,39.764439,,0.018235,0.253036,0.0015,0.0,0.0,,72.246512
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.367897,2637.191857,64.2375,,original,5.0,0.2,6,,521,457,cluster,0.0,,0.464796,0.0,0.786236,850,0.99475,36.926242,,0.018625,0.24178,0.000875,0.0,0.0,,73.112223
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.310455,2394.0,70.075,,original,5.0,0.2,6,,575,534,cluster,0.0,,0.480428,0.0,0.829385,575,0.992125,40.047406,,0.020196,0.239001,0.003625,0.0,0.0,,73.244802
Richness-Angular,comm_limited,17,17000,,,,1,0.0,0.371464,2890.0,63.875,,original,5.0,0.2,6,,412,342,cluster,0.0,,0.499138,0.0,0.778222,1000,0.98875,38.039605,,0.020744,0.257677,0.00275,0.0,0.0,,77.953899
Richness-Angular,comm_limited,16,16000,,,,1,0.0,0.305781,2356.0,70.55,,original,5.0,0.2,6,,692,509,cluster,0.0,,0.604382,0.0,0.84731,450,0.99675,39.263552,,0.01817,0.291155,0.00075,0.0,0.0,,79.717056
Richness-Angular,comm_limited,18,18000,,,,1,0.0,0.331365,2564.0,67.95,,original,5.0,0.2,6,,574,505,cluster,0.0,,0.509109,0.0,0.815872,525,0.991125,38.352566,,0.017596,0.245232,0.004,0.0,0.0,,78.242633
Richness-Angular,comm_limited,19,19000,,,,1,0.0,0.293481,2256.0,71.8,,original,5.0,0.2,6,,501,451,cluster,0.0,,0.615583,0.0,0.810015,625,0.960375,37.893888,,0.022975,0.299969,0.029375,0.0,0.0,,78.989132
Richness-Angular,comm_limited,21,21000,,,,1,0.0,0.31476,2429.0,69.6375,,original,5.0,0.2,6,,578,430,cluster,0.0,,0.585057,0.0,0.644088,1150,0.96675,37.073315,,0.019036,0.287408,0.025,0.0,0.0,,56.091851
Richness-Angular,comm_limited,22,22000,,,,1,0.0,0.34305,2659.0,66.7625,,original,5.0,0.2,6,,863,564,cluster,0.0,,0.53582,0.0,0.791597,900,0.9915,37.936554,,0.019658,0.27975,0.00175,0.0,0.0,,58.985731
Richness-Angular,comm_limited,20,20000,,,,1,0.0,0.325461,2516.0,68.55,,original,5.0,0.2,6,,1040,583,cluster,0.0,,0.557115,0.0,0.770611,825,0.99125,37.505262,,0.019048,0.265156,0.001625,0.0,0.0,,60.344734
Richness-Angular,comm_limited,23,23000,,,,1,0.0,0.338376,2621.0,67.2375,,original,5.0,0.2,6,,664,500,cluster,0.0,,0.507755,0.0,0.789291,675,0.993125,36.920841,,0.019939,0.245966,0.001375,0.0,0.0,,55.813175
Richness-Angular,comm_limited,24,24000,,,,1,0.0,0.305289,2352.0,70.6,,original,5.0,0.2,6,,886,565,cluster,0.0,,0.526834,0.0,0.789535,725,0.9945,38.17128,,0.016524,0.263515,0.00125,0.0,0.0,,44.970905
Richness-Angular,comm_limited,26,26000,,,,1,0.0,0.267159,2042.0,74.475,,original,5.0,0.2,6,,377,330,cluster,0.0,,0.578779,0.0,0.834703,575,0.991125,41.52308,,0.016668,0.28622,0.00025,0.0,0.0,,43.262603
Richness-Angular,comm_limited,25,25000,,,,1,0.0,0.265437,2028.0,74.65,,original,5.0,0.2,6,,856,619,cluster,0.0,,0.610906,0.0,0.792677,750,0.985125,40.913451,,0.018223,0.304194,0.007875,0.0,0.0,,46.744018
Richness-Angular,comm_limited,27,27000,,,,1,0.0,0.31722,2449.0,69.3875,,original,5.0,0.2,6,,819,481,cluster,0.0,,0.651896,0.0,0.788579,1250,0.92625,37.927867,,0.025238,0.305528,0.065625,0.0,0.0,,46.521301
Richness-Angular,comm_limited,28,28000,,,,1,0.0,0.25818,1969.0,75.3875,,original,5.0,0.2,6,,445,408,cluster,0.0,,0.580502,0.0,0.815698,700,0.990375,39.427266,,0.019156,0.288083,0.002875,0.0,0.0,,40.284886
Richness-Angular,comm_limited,29,29000,,,,1,0.0,0.381919,2530.760559,62.8125,,original,5.0,0.2,6,,486,426,cluster,0.0,,0.493476,0.0,0.810169,725,0.994,35.7961,,0.017654,0.257589,0.003625,0.0,0.0,,42.779916
Richness-Angular,comm_limited,31,31000,,,,1,0.0,0.436777,880.260427,57.2375,,original,5.0,0.2,6,,346,339,cluster,0.0,,0.621861,0.0,0.651396,,0.72925,33.882169,,0.019865,0.308708,0.26425,0.0,0.0,,42.463489
Richness-Angular,comm_limited,30,30000,,,,1,0.0,0.344895,2674.0,66.575,,original,5.0,0.2,6,,602,450,cluster,0.0,,0.572871,0.0,0.842529,400,0.987875,38.96046,,0.024545,0.285229,0.002375,0.0,0.0,,44.072071
Richness-Angular,comm_limited,32,32000,,,,1,0.0,0.369742,2876.0,64.05,,original,5.0,0.2,6,,812,523,cluster,0.0,,0.46775,0.0,0.81588,675,0.97475,36.074095,,0.022093,0.235134,0.019625,0.0,0.0,,43.410434
Richness-Angular,comm_limited,33,33000,,,,1,0.0,0.351046,2724.0,65.95,,original,5.0,0.2,6,,249,236,cluster,0.0,,0.498769,0.0,0.771198,975,0.984625,36.581804,,0.021163,0.263598,0.008375,0.0,0.0,,44.368143
Richness-Angular,comm_limited,34,34000,,,,1,0.0,0.383518,2184.327027,62.65,,original,5.0,0.2,6,,353,294,cluster,0.0,,0.577548,0.0,0.715513,,0.895875,34.981998,,0.025789,0.284784,0.09125,0.0,0.0,,45.246392
Richness-Angular,comm_limited,35,35000,,,,1,0.0,0.336654,2607.0,67.4125,,original,5.0,0.2,6,,623,530,cluster,0.0,,0.549237,0.0,0.814751,575,0.989625,37.829888,,0.019909,0.27614,0.00225,0.0,0.0,,44.786735
Richness-Angular,comm_limited,36,36000,,,,1,0.0,0.303444,2337.0,70.7875,,original,5.0,0.2,6,,744,471,cluster,0.0,,0.602905,0.0,0.844916,475,0.993375,38.957944,,0.017188,0.280354,0.0025,0.0,0.0,,45.510697
Richness-Angular,comm_limited,37,37000,,,,1,0.0,0.349569,2712.0,66.1,,original,5.0,0.2,6,,447,381,cluster,0.0,,0.526711,0.0,0.84212,550,0.992,36.857136,,0.0182,0.273484,0.0025,0.0,0.0,,43.854222
Richness-Angular,comm_limited,38,38000,,,,1,0.0,0.421648,1850.098814,58.775,,original,5.0,0.2,6,,224,217,cluster,0.0,,0.454087,0.0,0.774422,925,0.981625,33.539697,,0.020797,0.230579,0.00525,0.0,0.0,,42.100344
Richness-Angular,comm_limited,39,39000,,,,1,0.0,0.300738,2315.0,71.0625,,original,5.0,0.2,6,,932,611,cluster,0.0,,0.599828,0.0,0.739316,1350,0.905375,37.646727,,0.021494,0.301093,0.082,0.0,0.0,,44.693807
