method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,alpha_sat_frac,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,topology,maze_loop_density,fusion_events,rendezvous_steps,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s,policy_cpu_s,ms_per_decision
Frontier-Bounded,comm_limited,0,0,2134,2345,2775,False,100.0,0.8667466586674666,4.0,99.95,,,original,5.0,0.2,6,,cluster,0.0,8551,3896,0.9386,0.6852666666666667,0.9694168750000001,875,0.998,89.57076249998617,2150,0.0062325706776481995,0.3850221531759249,0.0005,0.0,0.0,,244.88120869989507,,
Frontier-Bounded,comm_limited,1,1000,1923,2168,2397,False,100.0,0.8667799886677999,6.0,99.925,,,original,5.0,0.2,6,,cluster,0.0,6200,3645,0.93335,0.6902833333333334,0.9710735937499999,550,0.998125,90.14136250001349,1925,0.006176081640136572,0.39934413515979705,0.00075,0.0,0.0,,191.73069519991986,,
Frontier-Bounded,comm_limited,2,2000,1900,2121,2543,False,100.0,0.8667299936673,3.0,99.9625,,,original,5.0,0.2,6,,cluster,0.0,4937,2580,0.9457166666666666,0.7312,0.9692029687499928,900,0.999125,90.12051187501423,1900,0.0060816330384942455,0.3865795208140408,0.000375,0.0,0.0,,182.6218210000079,,
Frontier-Bounded,comm_limited,3,3000,1945,2163,2510,False,100.0,0.8667133286671332,2.0,99.975,,,original,5.0,0.2,6,,cluster,0.0,10126,4958,0.9356,0.7090333333333333,0.97492296875,650,0.998875,90.19041499998565,1950,0.006615863561444957,0.39749548665598844,0.00025,0.0,0.0,,260.0474851001054,,
Frontier-Bounded,comm_limited,4,4000,2228,2437,2629,False,100.0,0.5308468214872156,0.0,100.0,,,original,5.0,0.2,6,,cluster,0.0,3046,1399,0.7694473776839141,0.0,0.9053296460176998,850,0.99975,62.28363252375901,2250,0.008510632778331799,0.34234543625274344,0.0,0.0,0.0,,118.93525390001014,,
Frontier-Bounded,comm_limited,5,5000,1887,2092,2639,False,100.0,0.8667966536679665,7.0,99.9125,,,original,5.0,0.2,6,,cluster,0.0,6721,3273,0.9351833333333334,0.6936666666666667,0.9624459374999924,875,0.99725,89.73633687498591,1900,0.006252062950413447,0.39799482589749446,0.000875,0.0,0.0,,253.55345950019546,,
Frontier-Bounded,comm_limited,6,6000,2017,2150,2298,False,100.0,0.4740302432610125,0.0,100.0,,,original,5.0,0.2,6,,cluster,0.0,7105,1716,0.7721652196790318,0.0,0.8600977722772275,1350,0.99825,61.76016673243862,2025,0.009407135224262037,0.3430955134759619,0.0,0.0,0.0,,139.33392759994604,,
Frontier-Bounded,comm_limited,7,7000,1868,2070,2531,False,100.0,0.8667133286671332,2.0,99.975,,,original,5.0,0.2,6,,cluster,0.0,5710,2300,0.9181833333333334,0.70155,0.9758134375000002,775,0.99925,90.08303374998549,1875,0.005228199359040099,0.40502735023024583,0.00025,0.0,0.0,,228.17906609992497,,
Frontier-Bounded,comm_limited,8,8000,1978,2134,2521,False,100.0,0.8667133286671332,2.0,99.975,,,original,5.0,0.2,6,,cluster,0.0,7172,4308,0.9400333333333334,0.70595,0.9556212499999996,1350,0.99925,89.83726874998591,2000,0.0064539029860589065,0.39235883551908807,0.00025,0.0,0.0,,187.26207519997843,,
Frontier-Bounded,comm_limited,9,9000,1914,2355,2517,False,100.0,0.5043370508054523,0.0,100.0,,,original,5.0,0.2,6,,cluster,0.0,6496,1419,0.8052559811578034,0.0,0.8970899532710285,625,0.9995,64.85199888434353,1925,0.008861105634351983,0.35955482915630055,0.0,0.0,0.0,,112.4821529998444,,
