method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.611279,103.567319,64.319933,,original,5.0,0.5,6,,987,884,maze,0.0,,0.612875,0.137566,0.092653,,0.168715,35.240044,,0.013619,0.0,0.34472,0.0,0.0,,17.755734
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.608761,130.869928,64.736513,,original,5.0,0.5,6,,435,393,maze,0.0,,0.527337,0.0,0.09226,,0.168715,35.901015,,0.013116,0.0,0.318892,0.0,0.0,,19.377993
Coverage-U,comm_limited,0,0,,,,1,0.0,0.566088,129.399672,71.797542,,original,5.0,0.5,6,,272,266,maze,0.0,,0.515243,0.0,0.107732,,0.191002,40.488565,,0.013593,0.0,0.247657,0.0,0.0,,20.935604
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.596803,102.148372,66.715268,,original,5.0,0.5,6,,726,550,maze,0.0,,0.546233,0.0,0.098129,,0.171214,38.626299,,0.013198,0.0,0.309935,0.0,0.0,,21.912321
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.548338,145.254917,74.73443,,original,5.0,0.5,6,,358,330,maze,0.0,,0.537037,0.0,0.10351,,0.188919,41.726473,,0.013693,0.0,0.226411,0.0,0.0,,20.48217
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.556017,119.652174,73.463862,,original,5.0,0.5,6,,373,373,maze,0.0,,0.500252,0.0,0.105597,,0.191002,41.237732,,0.013664,0.0,0.225161,0.0,0.0,,19.875274
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.596173,93.293384,66.819413,,original,5.0,0.5,6,,550,446,maze,0.0,,0.537541,0.0,0.097201,,0.175172,37.11045,,0.013282,0.0,0.301604,0.0,0.0,,20.307742
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.558409,102.553831,73.068111,,original,5.0,0.5,6,,436,430,maze,0.0,,0.534014,0.0,0.109655,,0.193918,41.356275,,0.013578,0.0,0.243908,0.0,0.0,,20.28918
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.611657,67.061324,64.257446,,original,5.0,0.5,6,,359,353,maze,0.0,,0.505165,0.0,0.096096,,0.16934,36.22791,,0.013032,0.0,0.328682,0.0,0.0,,19.354985
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.61002,109.897008,64.528223,,original,5.0,0.5,6,,752,606,maze,0.0,,0.540186,0.001764,0.089258,,0.167257,34.851048,,0.013038,0.0,0.324516,0.0,0.0,,19.959596
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.555388,147.113424,73.568007,,original,5.0,0.5,6,,365,358,maze,0.0,,0.503653,0.0,0.103272,,0.187044,40.796237,,0.013821,0.0,0.223495,0.0,0.0,,19.301245
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.577417,149.756952,69.922933,,original,5.0,0.5,6,,676,369,maze,0.0,,0.530864,0.0,0.10346,,0.17663,41.128297,,0.01355,0.0,0.258696,0.0,0.0,,20.700813
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.630035,78.65322,61.216413,,original,5.0,0.5,6,,565,445,maze,0.0,,0.517385,0.0,0.088351,,0.155384,34.511809,,0.012802,0.0,0.359092,0.0,0.0,,20.051165
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.570871,110.011892,71.00604,,original,5.0,0.5,6,,498,427,maze,0.0,,0.531872,0.0,0.104175,,0.187669,40.263713,,0.013473,0.0,0.272235,0.0,0.0,,20.102829
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.564451,130.031317,72.068319,,original,5.0,0.5,6,,1106,762,maze,0.0,,0.560469,0.0,0.105599,,0.189544,40.673294,,0.013643,0.0,0.259738,0.0,0.0,,20.303625
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.620342,148.122562,62.820246,,original,5.0,0.5,6,,3101,904,maze,0.0,,0.618544,0.0,0.094245,,0.163508,36.491012,,0.013236,0.0,0.346594,0.0,0.0,,27.458552
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.615685,116.481994,63.590919,,original,5.0,0.5,6,,559,406,maze,0.0,,0.505543,0.0,0.093092,,0.170173,35.101885,,0.013247,0.0,0.311393,0.0,0.0,,19.89934
Coverage-U,comm_limited,17,17000,,,,1,0.0,0.586354,105.411286,68.444074,,original,5.0,0.5,6,,865,763,maze,0.0,,0.550642,0.0,0.1018,,0.177671,39.456916,,0.013312,0.0,0.288273,0.0,0.0,,21.687748
Coverage-U,comm_limited,18,18000,,,,1,0.0,0.553499,96.299952,73.880442,,original,5.0,0.5,6,,131,120,maze,0.0,,0.497984,0.0,0.111327,,0.191627,42.933807,,0.013626,0.0,0.222454,0.0,0.0,,19.920013
Coverage-U,comm_limited,19,19000,,,,1,0.0,0.618077,83.61204,63.195168,,original,5.0,0.5,6,,812,605,maze,0.0,,0.536659,0.0,0.088734,,0.162674,34.783412,,0.012964,0.0,0.338263,0.0,0.0,,20.737755
Coverage-U,comm_limited,20,20000,,,,1,0.0,0.656974,102.0,56.759009,,original,5.0,0.5,6,,1871,863,maze,0.0,,0.603427,0.0,0.088245,,0.144345,35.082804,,0.012706,0.0,0.412414,0.0,0.0,,23.236434
Coverage-U,comm_limited,22,22000,,,,1,0.0,0.611657,113.995104,64.257446,,original,5.0,0.5,6,,1647,648,maze,0.0,,0.56135,0.0,0.096392,,0.165591,37.577591,,0.013133,0.0,0.32889,0.0,0.0,,22.409209
Coverage-U,comm_limited,21,21000,,,,1,0.0,0.659995,94.210868,56.259113,,original,5.0,0.5,6,,3101,931,maze,0.0,,0.619048,0.0,0.087462,,0.145803,33.547362,,0.01247,0.0,0.418454,0.0,0.0,,24.511752
