method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.565584,110.537559,71.880858,,original,5.0,0.5,6,,393,386,maze,0.0,,0.49811,0.0,0.097956,,0.182045,39.442581,,0.013612,0.0,0.240991,0.0,0.0,,45.39924
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.591264,113.361641,67.631743,,original,5.0,0.5,6,,284,208,maze,0.0,,0.52003,0.0,0.102677,,0.177255,39.621257,,0.013305,0.0,0.288482,0.0,0.0,,46.541011
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.626259,101.098627,61.841283,,original,5.0,0.5,6,,541,385,maze,0.0,,0.524691,0.0,0.09208,,0.1608,35.115472,,0.013022,0.0,0.351593,0.0,0.0,,49.252453
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.564703,144.65647,72.026661,,original,5.0,0.5,6,,665,530,maze,0.0,,0.528849,0.0,0.110109,,0.19371,41.194098,,0.013719,0.0,0.238909,0.0,0.0,,54.793534
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.528449,144.462878,78.025411,,original,5.0,0.5,6,,376,359,maze,0.0,,0.511212,0.0,0.110472,,0.201833,43.808255,,0.013972,0.0,0.180587,0.0,0.0,,45.693213
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.54494,152.50392,75.296813,,original,5.0,0.5,6,,487,396,maze,0.0,,0.527715,0.0,0.107784,,0.200167,41.516979,,0.013913,0.0,0.201833,0.0,0.0,,45.683959
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.533862,123.944544,77.129765,,original,5.0,0.5,6,,370,368,maze,0.0,,0.530612,0.0,0.109727,,0.199333,42.145643,,0.013875,0.0,0.195376,0.0,0.0,,44.035934
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.531093,150.829938,77.588002,,original,5.0,0.5,6,,256,256,maze,0.0,,0.52318,0.0,0.111828,,0.207457,41.948122,,0.013907,0.0,0.187253,0.0,0.0,,39.824705
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.595418,88.194253,66.944387,,original,5.0,0.5,6,,914,623,maze,0.0,,0.533132,0.0,0.099018,,0.176213,37.838914,,0.013276,0.0,0.298063,0.0,0.0,,18.986723
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.579809,147.257685,69.527182,,original,5.0,0.5,6,,515,511,maze,0.0,,0.51877,0.0,0.096536,,0.179754,38.059342,,0.013467,0.0,0.266819,0.0,0.0,,19.765918
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.547709,123.131412,74.838575,,original,5.0,0.5,6,,143,143,maze,0.0,,0.492315,0.0,0.105441,,0.192668,41.417935,,0.013852,0.0,0.208498,0.0,0.0,,18.015137
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.579809,74.335304,69.527182,,original,5.0,0.5,6,,644,606,maze,0.0,,0.519526,0.0,0.104095,,0.178088,41.352512,,0.013112,0.0,0.269527,0.0,0.0,,19.853592
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.556647,77.283539,73.359717,,original,5.0,0.5,6,,352,319,maze,0.0,,0.526329,0.0,0.100832,,0.188711,39.684476,,0.013432,0.0,0.244324,0.0,0.0,,18.947264
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.527064,177.917683,78.25453,,original,5.0,0.5,6,,350,237,maze,0.0,,0.521542,0.0,0.114033,,0.201,44.723306,,0.014058,0.0,0.180796,0.0,0.0,,19.763183
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.574396,103.945889,70.422829,,original,5.0,0.5,6,,641,476,maze,0.0,,0.537919,0.0,0.102409,,0.185586,38.352578,,0.013512,0.0,0.264528,0.0,0.0,,21.908823
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.625,61.311791,62.049573,,original,5.0,0.5,6,,2060,630,maze,0.0,,0.575712,0.0,0.100093,,0.165174,38.426983,,0.012734,0.0,0.36659,0.0,0.0,,24.477944
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.587362,100.38892,68.277442,,original,5.0,0.5,6,,1188,477,maze,0.0,,0.566012,0.0,0.098381,,0.182879,37.164483,,0.013359,0.0,0.292439,0.0,0.0,,23.847107
