method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.535373,173.58605,76.879817,,original,5.0,0.5,6,,392,366,maze,0.0,,0.509196,0.0,0.104481,,0.198709,41.459483,,0.014028,0.0,0.181421,0.0,0.0,,32.421126
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.573892,113.024283,70.506145,,original,5.0,0.5,6,,197,191,maze,0.0,,0.492441,0.0,0.110253,,0.190377,40.880711,,0.013701,0.0,0.243074,0.0,0.0,,32.613869
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.550352,151.469954,74.401166,,original,5.0,0.5,6,,987,684,maze,0.0,,0.547367,0.000126,0.098968,,0.195584,38.169029,,0.01379,0.0,0.224953,0.0,0.0,,33.75254
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.577543,115.161044,69.902104,,original,5.0,0.5,6,,657,464,maze,0.0,,0.539053,0.0,0.101603,,0.184337,38.984839,,0.013598,0.0,0.262862,0.0,0.0,,36.136764
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.562563,119.75054,72.380754,,original,5.0,0.5,6,,928,600,maze,0.0,,0.542202,0.0,0.105289,,0.18517,42.382524,,0.013501,0.0,0.247865,0.0,0.0,,31.190459
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.590509,105.063275,67.756717,,original,5.0,0.5,6,,613,462,maze,0.0,,0.528975,0.0,0.102208,,0.178504,39.518513,,0.013189,0.0,0.284107,0.0,0.0,,31.785784
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.61002,84.065934,64.528223,,original,5.0,0.5,6,,308,308,maze,0.0,,0.533636,0.0,0.096262,,0.169965,36.92014,,0.013029,0.0,0.332431,0.0,0.0,,31.009083
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.585977,101.398212,68.506561,,original,5.0,0.5,6,,939,517,maze,0.0,,0.564752,0.0,0.11093,,0.184545,41.108743,,0.013222,0.0,0.293897,0.0,0.0,,33.517766
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.564074,111.28377,72.130806,,original,5.0,0.5,6,,199,196,maze,0.0,,0.51096,0.0,0.111892,,0.184961,44.031021,,0.01349,0.0,0.242033,0.0,0.0,,32.544896
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.619335,151.29697,62.986878,,original,5.0,0.5,6,,1181,731,maze,0.0,,0.53099,0.0,0.091111,,0.164132,35.42612,,0.013215,0.0,0.323058,0.0,0.0,,35.149962
