method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.492321,671.901413,80.53115,,original,5.0,0.5,6,,452,428,maze,0.1,,0.458932,0.0,0.129255,,0.229633,45.460619,,0.015667,0.0,0.131789,0.0,0.0,,17.995761
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.518127,391.579888,76.391938,,original,5.0,0.5,6,,145,140,maze,0.1,,0.416226,0.0,0.123925,,0.224107,43.26613,,0.015623,0.0,0.147476,0.0,0.0,,18.376111
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.555639,608.506531,70.48722,,original,5.0,0.5,6,,188,185,maze,0.1,,0.414462,0.0,0.121815,,0.204273,43.26636,,0.015338,0.0,0.201078,0.0,0.0,,18.415621
Coverage-U,comm_limited,0,0,,,,1,0.0,0.517372,555.025,76.572798,,original,5.0,0.5,6,,644,515,maze,0.1,,0.471403,0.0,0.13157,,0.227282,44.015355,,0.01541,0.0,0.163371,0.0,0.0,,19.300423
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.558157,493.960104,70.017953,,original,5.0,0.5,6,,698,623,maze,0.1,,0.460947,0.0,0.118444,,0.204069,41.868632,,0.015212,0.0,0.224217,0.0,0.0,,14.637646
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.511078,624.91417,77.555911,,original,5.0,0.5,6,,1005,668,maze,0.1,,0.515999,0.0,0.132866,,0.224641,46.37973,,0.015073,0.0,0.165935,0.0,0.0,,15.699957
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.511078,688.039542,77.478556,,original,5.0,0.5,6,,836,675,maze,0.1,,0.512598,0.0,0.126454,,0.228805,43.776702,,0.015444,0.0,0.159386,0.0,0.0,,15.185755
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.558157,569.971042,70.101857,,original,5.0,0.5,6,,903,604,maze,0.1,,0.501134,0.0,0.121069,,0.202117,41.955895,,0.014849,0.0,0.237667,0.0,0.0,,16.090508
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.534617,548.82024,73.969588,,original,5.0,0.5,6,,513,448,maze,0.1,,0.465482,0.0,0.125017,,0.216287,43.351997,,0.01516,0.0,0.212085,0.0,0.0,,14.418599
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.559794,480.745269,69.689119,,original,5.0,0.5,6,,620,468,maze,0.1,,0.456412,0.0,0.120915,,0.201275,42.257013,,0.014649,0.0,0.24432,0.0,0.0,,14.575459
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.53361,668.013353,73.981629,,original,5.0,0.5,6,,512,384,maze,0.1,,0.457798,0.0,0.12922,,0.216054,44.68508,,0.015555,0.0,0.182907,0.0,0.0,,15.072472
