method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.557276,387.202654,70.227636,,original,5.0,0.5,6,,218,208,maze,0.1,,0.392542,0.0,0.122884,,0.204073,42.325861,,0.015347,0.0,0.208466,0.0,0.0,,29.125722
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.488797,851.888145,81.090256,,original,5.0,0.5,6,,508,400,maze,0.1,,0.458554,0.0,0.135165,,0.232827,47.20279,,0.016143,0.0,0.118411,0.0,0.0,,29.743787
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.519637,613.554107,76.213301,,original,5.0,0.5,6,,465,433,maze,0.1,,0.453767,0.0,0.124349,,0.223687,42.143961,,0.01562,0.0,0.159177,0.0,0.0,,30.480505
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.524043,543.160819,75.454001,,original,5.0,0.5,6,,583,410,maze,0.1,,0.438776,0.0,0.12116,,0.217122,43.111662,,0.015306,0.0,0.155857,0.0,0.0,,30.720598
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.528827,426.153776,74.665869,,original,5.0,0.5,6,,138,133,maze,0.1,,0.381582,0.0,0.119815,,0.208259,43.767587,,0.015564,0.0,0.154199,0.0,0.0,,34.667417
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.522281,560.724338,75.778754,,original,5.0,0.5,6,,256,255,maze,0.1,,0.441547,0.0,0.134124,,0.223243,45.882499,,0.015462,0.0,0.166334,0.0,0.0,,35.205392
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.494587,723.582931,80.091761,,original,5.0,0.5,6,,356,342,maze,0.1,,0.461325,0.0,0.123872,,0.236385,43.191971,,0.015778,0.0,0.117096,0.0,0.0,,35.531682
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.554758,565.108223,70.641102,,original,5.0,0.5,6,,1037,593,maze,0.1,,0.474175,0.0,0.118238,,0.205313,40.767272,,0.014971,0.0,0.219293,0.0,0.0,,36.349094
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.551108,441.821258,71.20607,,original,5.0,0.5,6,,359,328,maze,0.1,,0.413706,0.0,0.119236,,0.204473,41.995287,,0.015128,0.0,0.212061,0.0,0.0,,33.277196
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.505413,762.500328,78.298127,,original,5.0,0.5,6,,738,549,maze,0.1,,0.469892,0.0,0.122998,,0.228577,42.936547,,0.015555,0.0,0.149462,0.0,0.0,,33.925718
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.582704,325.839246,66.313263,,original,5.0,0.5,6,,774,545,maze,0.1,,0.447468,0.0,0.11052,,0.189838,38.567615,,0.014587,0.0,0.270054,0.0,0.0,,35.456474
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.534743,526.581763,73.94958,,original,5.0,0.5,6,,877,669,maze,0.1,,0.481859,0.0,0.131095,,0.214086,45.374068,,0.01532,0.0,0.193477,0.0,0.0,,37.15664
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.522155,808.562132,75.753343,,original,5.0,0.5,6,,182,176,maze,0.1,,0.417863,0.0,0.124618,,0.214728,45.158821,,0.015921,0.0,0.140491,0.0,0.0,,33.356007
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.54003,376.077859,73.021583,,original,5.0,0.5,6,,365,316,maze,0.1,,0.413076,0.0,0.125899,,0.21263,42.893773,,0.015359,0.0,0.183453,0.0,0.0,,34.572053
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.530463,636.334395,74.570172,,original,5.0,0.5,6,,392,391,maze,0.1,,0.388133,0.0,0.123212,,0.213914,43.087512,,0.015973,0.0,0.137745,0.0,0.0,,35.685231
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.554758,557.83346,70.697581,,original,5.0,0.5,6,,601,373,maze,0.1,,0.428068,0.0,0.122104,,0.201879,43.115197,,0.015251,0.0,0.224865,0.0,0.0,,37.478422
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.512966,554.24621,77.302697,,original,5.0,0.5,6,,512,319,maze,0.1,,0.487654,0.0,0.137705,,0.230569,46.807727,,0.015308,0.0,0.174625,0.0,0.0,,35.981062
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.558409,743.468201,70.188075,,original,5.0,0.5,6,,397,380,maze,0.1,,0.44835,0.0,0.120154,,0.20108,41.723689,,0.015543,0.0,0.186475,0.0,0.0,,35.981426
Frontier-Bounded,comm_limited,19,19000,,,,1,0.0,0.515735,600.400589,76.70987,,original,5.0,0.5,6,,318,318,maze,0.1,,0.420887,0.0,0.133523,,0.224128,46.332032,,0.015274,0.0,0.146162,0.0,0.0,,33.89657
Frontier-Bounded,comm_limited,18,18000,,,,1,0.0,0.505791,878.878543,78.378918,,original,5.0,0.5,6,,847,560,maze,0.1,,0.491812,0.0,0.128958,,0.223797,46.147245,,0.016293,0.0,0.114194,0.0,0.0,,38.323781
Frontier-Bounded,comm_limited,21,21000,,,,1,0.0,0.501636,591.180564,79.037732,,original,5.0,0.5,6,,86,86,maze,0.1,,0.411565,0.0,0.139366,,0.232182,46.910459,,0.01656,0.0,0.109403,0.0,0.0,,33.932782
Frontier-Bounded,comm_limited,20,20000,,,,1,0.0,0.520393,568.820225,76.154307,,original,5.0,0.5,6,,794,435,maze,0.1,,0.442177,0.0,0.119296,,0.218869,41.964693,,0.015525,0.0,0.154307,0.0,0.0,,34.987937
Frontier-Bounded,comm_limited,22,22000,,,,1,0.0,0.522784,440.476247,75.744256,,original,5.0,0.5,6,,435,393,maze,0.1,,0.427816,0.0,0.129313,,0.224575,44.306827,,0.015205,0.0,0.159441,0.0,0.0,,34.905438
Frontier-Bounded,comm_limited,23,23000,,,,1,0.0,0.554758,423.370529,70.655214,,original,5.0,0.5,6,,301,291,maze,0.1,,0.436256,0.0,0.121836,,0.205154,42.598927,,0.015372,0.0,0.215541,0.0,0.0,,33.814808
Frontier-Bounded,comm_limited,24,24000,,,,1,0.0,0.503147,657.053073,78.876898,,original,5.0,0.5,6,,220,220,maze,0.1,,0.432981,0.0,0.127458,,0.230815,44.33278,,0.015771,0.0,0.13729,0.0,0.0,,35.043175
Frontier-Bounded,comm_limited,25,25000,,,,1,0.0,0.512714,718.028053,77.142288,,original,5.0,0.5,6,,1003,631,maze,0.1,,0.490426,0.0,0.126523,,0.22778,44.373295,,0.015937,0.0,0.149263,0.0,0.0,,37.728338
Frontier-Bounded,comm_limited,26,26000,,,,1,0.0,0.517749,677.668209,76.497604,,original,5.0,0.5,6,,1288,764,maze,0.1,,0.490426,0.0,0.11453,,0.216653,39.67482,,0.015467,0.0,0.150958,0.0,0.0,,36.698481
Frontier-Bounded,comm_limited,27,27000,,,,1,0.0,0.521903,512.661738,75.899281,,original,5.0,0.5,6,,1180,654,maze,0.1,,0.502394,0.0,0.126774,,0.220024,43.436181,,0.015065,0.0,0.183653,0.0,0.0,,36.982776
Frontier-Bounded,comm_limited,28,28000,,,,1,0.0,0.478474,682.156164,82.810314,,original,5.0,0.5,6,,447,424,maze,0.1,,0.462333,0.0,0.140456,,0.241655,47.958051,,0.01596,0.0,0.103738,0.0,0.0,,35.075843
Frontier-Bounded,comm_limited,29,29000,,,,1,0.0,0.594537,380.634146,64.342789,,original,5.0,0.5,6,,400,367,maze,0.1,,0.422273,0.0,0.10846,,0.184778,37.830499,,0.014336,0.0,0.276468,0.0,0.0,,34.24428
Frontier-Bounded,comm_limited,30,30000,,,,1,0.0,0.546198,412.313265,72.027972,,original,5.0,0.5,6,,421,337,maze,0.1,,0.420383,0.0,0.124668,,0.207792,43.737449,,0.014973,0.0,0.193007,0.0,0.0,,35.595038
Frontier-Bounded,comm_limited,31,31000,,,,1,0.0,0.569738,371.687316,68.169126,,original,5.0,0.5,6,,1324,668,maze,0.1,,0.534266,0.0,0.119069,,0.197248,40.738615,,0.014414,0.0,0.284603,0.0,0.0,,40.83984
Frontier-Bounded,comm_limited,32,32000,,,,1,0.0,0.612664,350.975024,61.441693,,original,5.0,0.5,6,,370,369,maze,0.1,,0.483119,0.0,0.100526,,0.177117,35.87686,,0.014038,0.0,0.339457,0.0,0.0,,34.82319
Frontier-Bounded,comm_limited,34,34000,,,,1,0.0,0.506798,608.330097,78.234824,,original,5.0,0.5,6,,273,267,maze,0.1,,0.446082,0.0,0.133542,,0.227037,47.063051,,0.015519,0.0,0.134984,0.0,0.0,,34.048193
Frontier-Bounded,comm_limited,33,33000,,,,1,0.0,0.543933,445.755498,72.286512,,original,5.0,0.5,6,,1314,659,maze,0.1,,0.46838,0.0,0.123229,,0.206105,43.436395,,0.015049,0.0,0.197526,0.0,0.0,,38.867273
Frontier-Bounded,comm_limited,35,35000,,,,1,0.0,0.55501,657.406355,70.615262,,original,5.0,0.5,6,,851,665,maze,0.1,,0.485765,0.0,0.115425,,0.201558,39.981252,,0.015123,0.0,0.218138,0.0,0.0,,34.94394
Frontier-Bounded,comm_limited,37,37000,,,,1,0.0,0.513721,477.851929,77.229108,,original,5.0,0.5,6,,208,203,maze,0.1,,0.442177,0.0,0.128797,,0.22491,44.438317,,0.015134,0.0,0.165734,0.0,0.0,,34.351641
Frontier-Bounded,comm_limited,38,38000,,,,1,0.0,0.537009,570.5791,73.45716,,original,5.0,0.5,6,,342,305,maze,0.1,,0.404006,0.0,0.127498,,0.216896,43.535558,,0.015532,0.0,0.173956,0.0,0.0,,34.433824
Frontier-Bounded,comm_limited,36,36000,,,,1,0.0,0.558661,457.068015,70.035957,,original,5.0,0.5,6,,1378,514,maze,0.1,,0.458302,0.0,0.124028,,0.198162,43.712775,,0.015609,0.0,0.20815,0.0,0.0,,40.859382
Frontier-Bounded,comm_limited,39,39000,,,,1,0.0,0.484642,729.757836,81.732881,,original,5.0,0.5,6,,300,299,maze,0.1,,0.456664,0.0,0.136422,,0.236175,47.470034,,0.015824,0.0,0.110601,0.0,0.0,,32.428958
