method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.528953,537.503672,74.720447,,original,5.0,0.5,6,,170,157,maze,0.1,,0.421265,0.0,0.121893,,0.219249,42.717683,,0.015824,0.0,0.167133,0.0,0.0,,34.147707
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.560045,318.037285,69.802277,,original,5.0,0.5,6,,531,413,maze,0.1,,0.412069,0.0,0.122557,,0.206711,41.885525,,0.01491,0.0,0.209906,0.0,0.0,,34.23168
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.493454,650.295318,80.303333,,original,5.0,0.5,6,,311,309,maze,0.1,,0.465105,0.0,0.127255,,0.230692,45.243805,,0.015444,0.0,0.127719,0.0,0.0,,34.335296
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.577795,355.393241,66.972843,,original,5.0,0.5,6,,648,537,maze,0.1,,0.471655,0.0,0.108789,,0.188299,39.37022,,0.014467,0.0,0.271765,0.0,0.0,,36.480093
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.545947,299.559963,71.952922,,original,5.0,0.5,6,,334,280,maze,0.1,,0.444318,0.0,0.11452,,0.205665,41.406229,,0.014895,0.0,0.211251,0.0,0.0,,32.101814
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.520015,755.088998,76.138179,,original,5.0,0.5,6,,361,353,maze,0.1,,0.444444,0.0,0.126164,,0.222843,44.006815,,0.015693,0.0,0.158546,0.0,0.0,,32.21488
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.54066,425.048616,72.877971,,original,5.0,0.5,6,,623,546,maze,0.1,,0.437138,0.0,0.123902,,0.213102,42.701873,,0.015285,0.0,0.19253,0.0,0.0,,32.132375
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.582452,546.501823,66.167963,,original,5.0,0.5,6,,180,180,maze,0.1,,0.4355,0.0,0.118732,,0.193696,40.711045,,0.014727,0.0,0.24995,0.0,0.0,,32.032074
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.579305,369.16249,66.853371,,original,5.0,0.5,6,,530,482,maze,0.1,,0.421139,0.0,0.116669,,0.194039,40.590204,,0.01473,0.0,0.247249,0.0,0.0,,31.187069
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.549849,424.308874,71.548619,,original,5.0,0.5,6,,481,401,maze,0.1,,0.457168,0.0,0.126222,,0.209884,43.785859,,0.014887,0.0,0.227691,0.0,0.0,,32.356291
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.524547,870.069606,75.269031,,original,5.0,0.5,6,,806,457,maze,0.1,,0.432855,0.0,0.122706,,0.215424,43.978812,,0.016032,0.0,0.149661,0.0,0.0,,32.524106
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.516113,676.472389,76.757188,,original,5.0,0.5,6,,624,575,maze,0.1,,0.451877,0.0,0.129282,,0.220048,46.270834,,0.015645,0.0,0.137979,0.0,0.0,,32.312342
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.564199,512.298387,69.198481,,original,5.0,0.5,6,,316,307,maze,0.1,,0.450869,0.0,0.108583,,0.20048,38.255293,,0.014986,0.0,0.235259,0.0,0.0,,32.253436
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.575529,546.05042,67.291958,,original,5.0,0.5,6,,1090,672,maze,0.1,,0.471655,0.0,0.103215,,0.185592,37.973631,,0.015027,0.0,0.242467,0.0,0.0,,33.695288
