method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.626259,80.444598,61.841283,,original,5.0,0.5,6,,159,157,maze,,0.52973,0.0,0.096995,,0.162883,37.380086,,0.012918,0.0,0.35076,0.0,0.0,,30.461506
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.576662,122.020762,70.047907,,original,5.0,0.5,6,,476,454,maze,,0.517259,0.0,0.106532,,0.188711,39.753757,,0.013557,0.0,0.25828,0.0,0.0,,31.445098
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.588243,163.705336,68.131639,,original,5.0,0.5,6,,1529,700,maze,,0.555682,0.0,0.097958,,0.173089,38.781957,,0.013569,0.0,0.276401,0.0,0.0,,35.416768
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.579935,116.663143,69.506353,,original,5.0,0.5,6,,1522,941,maze,,0.581759,0.0,0.094652,,0.181212,36.38708,,0.013284,0.0,0.280983,0.0,0.0,,35.91084
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.558661,125.686089,73.026453,,original,5.0,0.5,6,,1012,617,maze,,0.560973,0.0,0.104676,,0.187253,42.182224,,0.013523,0.0,0.239742,0.0,0.0,,42.492908
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.596299,105.331202,66.798584,,original,5.0,0.5,6,,544,497,maze,,0.522298,0.0,0.100784,,0.177046,39.183785,,0.013169,0.0,0.291189,0.0,0.0,,43.46209
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.61002,85.834618,64.528223,,original,5.0,0.5,6,,310,310,maze,,0.539934,0.0,0.096334,,0.169965,36.954083,,0.013031,0.0,0.332431,0.0,0.0,,49.758818
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.556017,121.486971,73.463862,,original,5.0,0.5,6,,953,531,maze,,0.578483,0.0,0.114672,,0.197042,42.528012,,0.013611,0.0,0.245366,0.0,0.0,,55.736782
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.60574,156.722837,65.236409,,original,5.0,0.5,6,,333,321,maze,,0.493701,0.000126,0.095403,,0.171423,37.038737,,0.013511,0.0,0.29473,0.0,0.0,,69.549494
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.589879,106.123737,67.860862,,original,5.0,0.5,6,,1118,813,maze,,0.559587,0.0,0.100442,,0.178088,38.21552,,0.013456,0.0,0.290773,0.0,0.0,,75.321754
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.578424,87.319284,69.756301,,original,5.0,0.5,6,,108,108,maze,,0.497354,0.0,0.111964,,0.180796,43.916847,,0.013284,0.0,0.266819,0.0,0.0,,64.180094
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.579179,157.662722,69.631327,,original,5.0,0.5,6,,720,674,maze,,0.518519,0.0,0.095409,,0.178296,37.263787,,0.013591,0.0,0.264945,0.0,0.0,,65.753464
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.588243,90.184123,68.131639,,original,5.0,0.5,6,,943,474,maze,,0.542706,0.0,0.099503,,0.173714,39.469802,,0.013199,0.0,0.288482,0.0,0.0,,69.64235
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.595921,104.046243,66.861071,,original,5.0,0.5,6,,803,428,maze,,0.536659,0.0,0.102316,,0.171423,40.04811,,0.013304,0.0,0.307019,0.0,0.0,,66.031198
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.578046,137.360012,69.818788,,original,5.0,0.5,6,,499,338,maze,,0.511212,0.0,0.105267,,0.179963,41.151259,,0.01354,0.0,0.254739,0.0,0.0,,69.300912
