method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,alpha_sat_frac,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,topology,fusion_events,rendezvous_steps,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s,policy_cpu_s,ms_per_decision
Frontier-Bounded,comm_limited,0,0,1965,2190,2359,False,100.0,0.6679806362378976,0.0,100.0,,,original,5.0,0.5,6,,maze,2857,1538,0.6214888612148887,0.032516950325169505,0.16749440220787334,,0.27098521141428866,62.04764919858508,,0.012280776496869133,0.0,0.0,0.0,0.0,,44.45770680019632,,
Frontier-Bounded,comm_limited,1,1000,1838,2079,2274,False,100.0,0.6573162027123484,0.0,100.0,,,original,5.0,0.5,6,,maze,1356,1174,0.5709083119108826,0.0,0.1550304260089184,,0.2599458446157051,60.603988172272885,,0.012132720810268867,0.0,0.0,0.0,0.0,,32.349030100042,,
Frontier-Bounded,comm_limited,2,2000,1873,2135,2393,False,100.0,0.6705777411829285,0.0,100.0,,,original,5.0,0.5,6,,maze,3050,1295,0.6241076331685886,0.05340472267984624,0.15530806511530026,,0.26931889189752134,58.097481579036696,,0.01240626066038948,0.0,0.0,0.0,0.0,,46.49870150000788,,
Frontier-Bounded,comm_limited,3,3000,1874,2167,2426,False,100.0,0.7141240919375967,0.0,100.0,,,original,5.0,0.5,6,,maze,1787,988,0.5928043840838695,0.0,0.17455353708217697,,0.2659862528639867,66.39775204683288,,0.01132622856592381,0.0,0.0,0.0,0.0,,51.42415579990484,,
Frontier-Bounded,comm_limited,4,4000,1928,2187,2411,False,100.0,0.6878007543243595,0.0,100.0,,,original,5.0,0.5,6,,maze,2626,1353,0.6073380171740828,6.505334374186833e-05,0.170804897672462,,0.2593209747969173,66.09319047993053,,0.011798502606463238,0.0,0.0,0.0,0.0,,51.850384399993345,,
Frontier-Bounded,comm_limited,5,5000,1907,2114,2639,False,100.0,0.6990723329572521,0.0,100.0,,,original,5.0,0.5,6,,maze,10284,1575,0.6836593930273388,0.0,0.17687254620696177,,0.2664028327431785,66.63415760667979,,0.012215781437162853,0.0,0.0,0.0,0.0,,104.28400280000642,,
Frontier-Bounded,comm_limited,6,6000,1592,1781,1946,False,100.0,0.6050510036196117,0.0,100.0,,,original,5.0,0.5,6,,maze,849,773,0.5825514403292181,0.0,0.15651574646228536,,0.2666111226827744,59.014706298327845,,0.012832759614438732,0.0,0.0,0.0,0.0,,27.506284900009632,,
Frontier-Bounded,comm_limited,7,7000,1729,1913,2165,False,100.0,0.6380973918287351,0.0,100.0,,,original,5.0,0.5,6,,maze,2618,1060,0.611236802413273,0.0,0.1647963965840449,,0.26890231201832954,61.341476747397124,,0.012365576724113573,0.0,0.0,0.0,0.0,,35.57665339997038,,
Frontier-Bounded,comm_limited,8,8000,2233,2362,2535,False,100.0,0.6944762632047855,0.0,100.0,,,original,5.0,0.5,6,,maze,4362,1626,0.6242042271454036,0.0,0.16128651082306578,,0.2686940220787336,60.60181073811807,,0.011821272147430447,0.0,0.0,0.0,0.0,,42.0618616999127,,
Frontier-Bounded,comm_limited,9,9000,2063,2539,2721,False,100.0,0.7133046697718858,0.0,100.0,,,original,5.0,0.5,6,,maze,8022,1775,0.6648745519713262,0.011230585424133811,0.16761710679644454,,0.2649448031660071,63.9167131399589,,0.011769379370534003,0.0,0.0,0.0,0.0,,78.07483589998446,,
