method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
CentralOracle-Config-local,comm_limited,3,3000,,,,1,0.0,0.604622,1700.135819,39.978947,,original,5.0,0.05,6,,7077,1349,,0.805312,0.0,0.893312,275,0.957789,25.146316,,0.040376,0.36129,0.023368,0.0,0.0,94.364552
CentralOracle-Config-local,comm_limited,0,0,,,,1,0.0,0.615969,2330.083067,38.831579,,original,5.0,0.05,6,,8722,1464,,0.799896,0.0,0.914811,250,0.988421,25.012398,,0.032669,0.365741,0.002526,0.0,0.0,113.701566
CentralOracle-Config-local,comm_limited,1,1000,,,,1,0.0,0.6193,2209.786753,38.494737,,original,5.0,0.05,6,,8523,1432,,0.777917,0.0,0.885892,325,0.961789,24.969036,,0.030069,0.348502,0.027158,0.0,0.0,113.886424
CentralOracle-Config-local,comm_limited,2,2000,,,,1,0.0,0.590256,3236.637285,41.431579,,original,5.0,0.05,6,,8716,1322,,0.782604,0.0,0.9104,250,0.983474,27.679092,,0.028144,0.360679,0.005789,0.0,0.0,120.057985
CentralOracle-Config-local,comm_limited,4,4000,,,,1,0.0,0.615553,2343.011811,38.873684,,original,5.0,0.05,6,,8979,1437,,0.799167,0.0,0.879131,275,0.941158,24.028043,,0.030496,0.360896,0.042316,0.0,0.0,143.403152
CentralOracle-Config-local,comm_limited,5,5000,,,,1,0.0,0.579638,2425.016192,42.505263,,original,5.0,0.05,6,,7801,1388,,0.774792,0.0,0.873778,350,0.944842,26.806217,,0.03268,0.360765,0.045474,0.0,0.0,139.813877
CentralOracle-Config-local,comm_limited,7,7000,,,,1,0.0,0.580887,2959.739855,42.378947,,original,5.0,0.05,6,,7412,1373,,0.770625,0.0,0.894998,225,0.954737,27.657678,,0.023124,0.350382,0.036526,0.0,0.0,134.835013
CentralOracle-Config-local,comm_limited,6,6000,,,,1,0.0,0.605559,3050.861338,39.884211,,original,5.0,0.05,6,,9467,1299,,0.768229,0.0,0.881291,300,0.942316,26.207885,,0.033756,0.357702,0.047053,0.0,0.0,151.984104
CentralOracle-Config-local,comm_limited,9,9000,,,,1,0.0,0.591609,1859.309371,41.294737,,original,5.0,0.05,6,,6732,1438,,0.821458,0.0,0.880961,250,0.948842,26.423852,,0.039281,0.379528,0.032421,0.0,0.0,111.332183
CentralOracle-Config-local,comm_limited,11,11000,,,,1,0.0,0.60025,1302.912209,40.421053,,original,5.0,0.05,6,,7313,1483,,0.824792,0.0,0.827066,1400,0.910105,24.033164,,0.034125,0.385017,0.073368,0.0,0.0,109.915883
