method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
CentralOracle-Config,comm_limited,4,4000,,,,1,0.0,0.655424,1355.095477,34.842105,,original,5.0,0.05,6,,9940,1507,,0.92375,0.0,0.665169,,0.713895,21.191132,,0.041485,0.388892,0.274421,0.0,0.0,266.737903
CentralOracle-Config,comm_limited,2,2000,,,,1,0.0,0.60889,2282.716981,39.547368,,original,5.0,0.05,6,,8284,1392,,0.890104,0.0,0.905971,275,0.974421,24.337832,,0.047675,0.378861,0.003684,0.0,0.0,275.525611
CentralOracle-Config,comm_limited,0,0,,,,1,0.0,0.626483,2360.563269,37.768421,,original,5.0,0.05,6,,9976,1467,,0.878646,0.0,0.913826,275,0.983789,23.926467,,0.045457,0.373084,0.001579,0.0,0.0,315.450703
CentralOracle-Config,comm_limited,7,7000,,,,1,0.0,0.620237,2262.472713,38.4,,original,5.0,0.05,6,,10135,1390,,0.875521,0.0,0.905798,200,0.973263,24.609164,,0.040877,0.386375,0.007684,0.0,0.0,316.71245
CentralOracle-Config,comm_limited,5,5000,,,,1,0.0,0.643036,2933.554054,36.094737,,original,5.0,0.05,6,,10696,1404,,0.898958,0.0,0.877233,250,0.932316,22.196799,,0.049635,0.378511,0.050105,0.0,0.0,322.571376
CentralOracle-Config,comm_limited,1,1000,,,,1,0.0,0.652405,1908.728182,35.147368,,original,5.0,0.05,6,,10872,1411,,0.901667,0.0,0.821332,,0.879158,21.822977,,0.0486,0.365276,0.098,0.0,0.0,322.83148
CentralOracle-Config,comm_limited,6,6000,,,,1,0.0,0.651676,2278.845188,35.221053,,original,5.0,0.05,6,,11119,1443,,0.884167,0.0,0.877979,275,0.972211,21.925158,,0.045104,0.37921,0.004,0.0,0.0,335.12353
CentralOracle-Config,comm_limited,3,3000,,,,1,0.0,0.681033,1884.08243,32.252632,,original,5.0,0.05,6,,12817,1436,,0.902083,0.0,0.858596,300,0.910421,20.121072,,0.055614,0.382897,0.059263,0.0,0.0,363.808621
CentralOracle-Config,comm_limited,11,11000,,,,1,0.0,0.62284,1858.596955,38.136842,,original,5.0,0.05,6,,8604,1457,,0.901667,0.0,0.877365,225,0.959368,23.456207,,0.052742,0.384222,0.012211,0.0,0.0,338.999714
CentralOracle-Config,comm_limited,8,8000,,,,1,0.0,0.653758,1589.806452,35.010526,,original,5.0,0.05,6,,10333,1490,,0.895417,0.0,0.861869,375,0.933368,21.763395,,0.048532,0.38532,0.038526,0.0,0.0,389.451804
CentralOracle-Config,comm_limited,9,9000,,,,1,0.0,0.639184,1994.982173,36.484211,,original,5.0,0.05,6,,10699,1408,,0.900521,0.0,0.844771,,0.898105,23.004336,,0.059776,0.398307,0.075263,0.0,0.0,389.387921
CentralOracle-Config,comm_limited,13,13000,,,,1,0.0,0.633666,2362.931507,37.042105,,original,5.0,0.05,6,,10515,1473,,0.888229,0.0,0.882377,225,0.942421,23.381951,,0.051029,0.389419,0.032632,0.0,0.0,390.52174
CentralOracle-Config,comm_limited,12,12000,,,,1,0.0,0.646991,2042.235568,35.694737,,original,5.0,0.05,6,,11147,1412,,0.899271,0.0,0.857512,275,0.908947,22.596872,,0.048799,0.400872,0.069158,0.0,0.0,418.269455
CentralOracle-Config,comm_limited,15,15000,,,,1,0.0,0.62742,1700.00303,37.673684,,original,5.0,0.05,6,,9326,1356,,0.890938,0.0,0.896606,225,0.955263,23.821135,,0.050927,0.392512,0.022632,0.0,0.0,377.366008
CentralOracle-Config,comm_limited,14,14000,,,,1,0.0,0.647512,2290.725451,35.642105,,original,5.0,0.05,6,,11432,1467,,0.894687,0.0,0.877146,300,0.940737,22.029855,,0.052419,0.374668,0.029684,0.0,0.0,412.34466
CentralOracle-Config,comm_limited,10,10000,,,,1,0.0,0.660941,2731.005981,34.284211,,original,5.0,0.05,6,,12971,1373,,0.892396,0.0,0.884545,225,0.957368,22.470576,,0.045872,0.377726,0.019263,0.0,0.0,472.025084
CentralOracle-Config,comm_limited,16,16000,,,,1,0.0,0.639288,1242.882443,36.473684,,original,5.0,0.05,6,,9735,1533,,0.917188,0.0,0.676939,,0.727579,20.817977,,0.046553,0.397881,0.253789,0.0,0.0,345.898983
CentralOracle-Config,comm_limited,21,21000,,,,1,0.0,0.60889,1476.263852,39.547368,,original,5.0,0.05,6,,8002,1489,,0.912188,0.0,0.648411,,0.801895,21.986128,,0.050569,0.40002,0.168421,0.0,0.0,293.108252
CentralOracle-Config,comm_limited,18,18000,,,,1,0.0,0.628045,1529.08509,37.610526,,original,5.0,0.05,6,,9308,1438,,0.896563,0.0,0.902311,225,0.96,23.78122,,0.051495,0.384121,0.017789,0.0,0.0,387.164415
CentralOracle-Config,comm_limited,17,17000,,,,1,0.0,0.686446,1649.846604,31.705263,,original,5.0,0.05,6,,13355,1439,,0.906042,0.0,0.838193,,0.887263,19.588757,,0.055735,0.378362,0.082421,0.0,0.0,468.61523
CentralOracle-Config,comm_limited,20,20000,,,,1,0.0,0.625442,1969.64031,37.873684,,original,5.0,0.05,6,,9575,1478,,0.883125,0.0,0.852438,525,0.937789,23.400625,,0.043781,0.39293,0.026316,0.0,0.0,396.583305
CentralOracle-Config,comm_limited,22,22000,,,,1,0.0,0.661253,1439.683213,34.252632,,original,5.0,0.05,6,,10612,1466,,0.904167,0.0,0.840509,,0.895263,20.847309,,0.051219,0.390033,0.076947,0.0,0.0,403.996453
CentralOracle-Config,comm_limited,19,19000,,,,1,0.0,0.665626,1998.916667,33.810526,,original,5.0,0.05,6,,11704,1409,,0.886146,0.0,0.893301,225,0.957684,21.891099,,0.044433,0.380381,0.014842,0.0,0.0,454.873541
CentralOracle-Config,comm_limited,23,23000,,,,1,0.0,0.632625,2277.567568,37.147368,,original,5.0,0.05,6,,10476,1508,,0.894375,0.0,0.859419,975,0.921368,22.828411,,0.05352,0.391999,0.054,0.0,0.0,423.03322
CentralOracle-Config,comm_limited,25,25000,,,,1,0.0,0.618884,1804.618343,38.536842,,original,5.0,0.05,6,,9165,1418,,0.885833,0.0,0.8993,250,0.967053,24.406069,,0.040122,0.382624,0.018526,0.0,0.0,353.019177
CentralOracle-Config,comm_limited,26,26000,,,,1,0.0,0.648553,1801.281835,35.536842,,original,5.0,0.05,6,,10173,1464,,0.901563,0.0,0.750498,,0.868211,20.454776,,0.049799,0.379772,0.109684,0.0,0.0,353.409926
CentralOracle-Config,comm_limited,24,24000,,,,1,0.0,0.669269,1665.229862,33.442105,,original,5.0,0.05,6,,11965,1446,,0.9075,0.0,0.7719,,0.827474,20.681622,,0.049648,0.394948,0.153895,0.0,0.0,419.242828
CentralOracle-Config,comm_limited,29,29000,,,,1,0.0,0.594316,1903.741531,41.021053,,original,5.0,0.05,6,,8397,1418,,0.894583,0.0,0.851951,1350,0.939789,24.08103,,0.046445,0.379448,0.040526,0.0,0.0,338.611327
CentralOracle-Config,comm_limited,28,28000,,,,1,0.0,0.644701,1832.49646,35.926316,,original,5.0,0.05,6,,10547,1381,,0.896771,0.0,0.854308,1175,0.908316,22.146622,,0.047086,0.389741,0.071263,0.0,0.0,381.253095
CentralOracle-Config,comm_limited,30,30000,,,,1,0.0,0.627837,1914.709062,37.631579,,original,5.0,0.05,6,,9091,1410,,0.893437,0.0,0.917434,225,0.975579,23.118266,,0.043923,0.372795,0.004632,0.0,0.0,357.615079
CentralOracle-Config,comm_limited,27,27000,,,,1,0.0,0.659588,2270.117204,34.421053,,original,5.0,0.05,6,,11643,1403,,0.900208,0.0,0.909399,200,0.962842,22.628487,,0.045954,0.387337,0.014,0.0,0.0,420.229297
CentralOracle-Config,comm_limited,31,31000,,,,1,0.0,0.635644,1784.176962,36.842105,,original,5.0,0.05,6,,10069,1372,,0.893646,0.0,0.852303,925,0.905579,23.166855,,0.044886,0.387578,0.066632,0.0,0.0,387.577505
CentralOracle-Config,comm_limited,34,34000,,,,1,0.0,0.639496,1411.265813,36.452632,,original,5.0,0.05,6,,10016,1486,,0.916562,0.0,0.660789,,0.702,21.46474,,0.045178,0.410932,0.284421,0.0,0.0,324.446374
CentralOracle-Config,comm_limited,33,33000,,,,1,0.0,0.682074,1342.837374,32.147368,,original,5.0,0.05,6,,12904,1442,,0.918438,0.0,0.740902,,0.781158,19.845145,,0.052028,0.401527,0.197895,0.0,0.0,436.927827
CentralOracle-Config,comm_limited,37,37000,,,,1,0.0,0.630127,1368.049458,37.4,,original,5.0,0.05,6,,8895,1450,,0.899271,0.0,0.776732,,0.859368,21.831582,,0.056039,0.384775,0.112,0.0,0.0,324.126359
CentralOracle-Config,comm_limited,32,32000,,,,1,0.0,0.672392,2438.968894,33.126316,,original,5.0,0.05,6,,13636,1464,,0.895729,0.0,0.906846,225,0.963684,21.017977,,0.051953,0.381876,0.007368,0.0,0.0,484.849947
CentralOracle-Config,comm_limited,35,35000,,,,1,0.0,0.604622,2923.890411,39.978947,,original,5.0,0.05,6,,9936,1388,,0.890833,0.0,0.909116,250,0.974211,24.616776,,0.04443,0.403899,0.007263,0.0,0.0,390.152915
CentralOracle-Config,comm_limited,38,38000,,,,1,0.0,0.649282,1463.216949,35.463158,,original,5.0,0.05,6,,9338,1441,,0.906979,0.0,0.799863,,0.850526,21.750023,,0.05298,0.385137,0.122947,0.0,0.0,335.751678
CentralOracle-Config,comm_limited,39,39000,,,,1,0.0,0.633666,1497.260031,37.042105,,original,5.0,0.05,6,,9471,1456,,0.902188,0.0,0.812025,,0.872211,22.396299,,0.049115,0.378363,0.100737,0.0,0.0,309.893283
CentralOracle-Config,comm_limited,36,36000,,,,1,0.0,0.648865,1951.38879,35.505263,,original,5.0,0.05,6,,11986,1388,,0.886979,0.0,0.899299,200,0.956842,23.544707,,0.044991,0.386374,0.023158,0.0,0.0,395.041243
