method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Entropy-Frac,comm_limited,2,2000,,,,1,0.0,0.417135,2828.456757,58.936842,,original,5.0,0.05,6,,257,241,,0.532292,0.0,0.835496,600,0.952526,32.967168,,0.021612,0.304917,0.043579,0.0,0.0,48.96598
Entropy-Frac,comm_limited,0,0,,,,1,0.0,0.359359,3015.199851,64.778947,,original,5.0,0.05,6,,512,395,,0.738229,0.0,0.859802,500,0.966211,38.028145,,0.021607,0.378603,0.030211,0.0,0.0,50.913158
Entropy-Frac,comm_limited,3,3000,,,,1,0.0,0.310015,2872.0,69.768421,,original,5.0,0.05,6,,830,598,,0.692292,0.0,0.902928,400,0.999158,37.487882,,0.014005,0.351776,0.0,0.0,0.0,53.54783
Entropy-Frac,comm_limited,1,1000,,,,1,0.0,0.281387,2597.0,72.663158,,original,5.0,0.05,6,,1362,901,,0.781042,0.0,0.896117,350,0.988211,38.813773,,0.019703,0.36662,0.009368,0.0,0.0,56.080907
Entropy-Frac,comm_limited,4,4000,,,,1,0.0,0.312305,2894.0,69.536842,,original,5.0,0.05,6,,525,496,,0.678438,0.0,0.906703,375,0.997158,38.794849,,0.014568,0.358144,0.001263,0.0,0.0,46.758628
Entropy-Frac,comm_limited,5,5000,,,,1,0.0,0.372059,3074.22939,63.494737,,original,5.0,0.05,6,,569,517,,0.670521,0.0,0.859803,450,0.996421,36.490059,,0.014272,0.35404,0.0,0.0,0.0,46.744342
Entropy-Frac,comm_limited,7,7000,,,,1,0.0,0.339788,3158.0,66.757895,,original,5.0,0.05,6,,764,630,,0.763854,0.0,0.890153,325,0.983579,39.133395,,0.023711,0.397254,0.013789,0.0,0.0,47.074735
Entropy-Frac,comm_limited,6,6000,,,,1,0.0,0.316573,2935.0,69.105263,,original,5.0,0.05,6,,1425,741,,0.694063,0.0,0.846709,625,0.992,38.09176,,0.017924,0.339289,0.005684,0.0,0.0,53.185776
Entropy-Frac,comm_limited,9,9000,,,,1,0.0,0.327816,3043.0,67.968421,,original,5.0,0.05,6,,920,784,,0.724167,0.0,0.890275,375,0.983684,38.853312,,0.020994,0.355051,0.012947,0.0,0.0,47.770505
Entropy-Frac,comm_limited,8,8000,,,,1,0.0,0.251718,2312.0,75.663158,,original,5.0,0.05,6,,1416,802,,0.714688,0.0,0.888569,325,0.998105,40.220836,,0.015723,0.364724,0.000421,0.0,0.0,52.964481
Entropy-Frac,comm_limited,10,10000,,,,1,0.0,0.285342,2635.0,72.263158,,original,5.0,0.05,6,,505,465,,0.671875,0.0,0.874734,575,0.996421,37.947391,,0.015126,0.346972,0.0,0.0,0.0,45.853214
Entropy-Frac,comm_limited,11,11000,,,,1,0.0,0.306267,2836.0,70.147368,,original,5.0,0.05,6,,984,716,,0.75,0.0,0.833272,950,0.934211,38.134099,,0.024692,0.387207,0.060211,0.0,0.0,49.972223
Entropy-Frac,comm_limited,13,13000,,,,1,0.0,0.35228,3278.0,65.494737,,original,5.0,0.05,6,,458,396,,0.626146,0.0,0.902703,425,0.996316,36.037145,,0.018396,0.317985,0.001368,0.0,0.0,49.550618
Entropy-Frac,comm_limited,12,12000,,,,1,0.0,0.39975,3335.504886,60.694737,,original,5.0,0.05,6,,898,665,,0.6825,0.0,0.885179,375,0.994737,36.15048,,0.018685,0.354103,0.000947,0.0,0.0,53.089917
Entropy-Frac,comm_limited,14,14000,,,,1,0.0,0.337706,3138.0,66.968421,,original,5.0,0.05,6,,522,456,,0.682083,0.0,0.895198,350,0.994842,37.448454,,0.018365,0.327726,0.003263,0.0,0.0,51.231862
Entropy-Frac,comm_limited,15,15000,,,,1,0.0,0.334791,3110.0,67.263158,,original,5.0,0.05,6,,338,323,,0.652813,0.0,0.861135,650,0.980421,36.542967,,0.021965,0.336567,0.015053,0.0,0.0,50.4016
Entropy-Frac,comm_limited,16,16000,,,,1,0.0,0.32157,2983.0,68.6,,original,5.0,0.05,6,,749,625,,0.751458,0.0,0.891797,375,0.997789,36.395806,,0.016349,0.372391,0.0,0.0,0.0,45.647793
Entropy-Frac,comm_limited,17,17000,,,,1,0.0,0.341766,3177.0,66.557895,,original,5.0,0.05,6,,465,415,,0.71625,0.0,0.848447,800,0.994421,38.311385,,0.020808,0.366061,0.001789,0.0,0.0,46.057995
Entropy-Frac,comm_limited,18,18000,,,,1,0.0,0.341245,3172.0,66.610526,,original,5.0,0.05,6,,560,493,,0.682604,0.0,0.885561,375,0.992421,38.608888,,0.017355,0.351087,0.004737,0.0,0.0,45.424027
Entropy-Frac,comm_limited,19,19000,,,,1,0.0,0.283469,2617.0,72.452632,,original,5.0,0.05,6,,1024,729,,0.69875,0.0,0.847234,775,0.985684,38.156484,,0.016796,0.353839,0.012526,0.0,0.0,47.675002
Entropy-Frac,comm_limited,22,22000,,,,1,0.0,0.339371,3154.0,66.8,,original,5.0,0.05,6,,513,452,,0.631979,0.0,0.852229,800,0.993158,36.260678,,0.016247,0.333712,0.001053,0.0,0.0,43.840804
Entropy-Frac,comm_limited,21,21000,,,,1,0.0,0.316677,2936.0,69.094737,,original,5.0,0.05,6,,762,665,,0.691042,0.0,0.885107,450,0.989684,36.65298,,0.01843,0.365934,0.006316,0.0,0.0,45.152966
Entropy-Frac,comm_limited,20,20000,,,,1,0.0,0.374453,3115.940279,63.252632,,original,5.0,0.05,6,,1051,809,,0.783438,0.0,0.863002,475,0.967474,36.336247,,0.028768,0.39154,0.027263,0.0,0.0,45.951575
Entropy-Frac,comm_limited,23,23000,,,,1,0.0,0.372684,3118.513258,63.431579,,original,5.0,0.05,6,,661,576,,0.740313,0.0,0.894564,300,0.992632,36.819224,,0.019632,0.379335,0.001474,0.0,0.0,42.402239
Entropy-Frac,comm_limited,25,25000,,,,1,0.0,0.249948,2295.0,75.842105,,original,5.0,0.05,6,,480,433,,0.730104,0.0,0.903435,350,0.999895,40.938345,,0.012279,0.371875,0.0,0.0,0.0,42.96916
Entropy-Frac,comm_limited,26,26000,,,,1,0.0,0.386009,2730.738433,62.084211,,original,5.0,0.05,6,,446,394,,0.716146,0.0,0.891326,350,0.985789,37.293513,,0.021043,0.380035,0.011579,0.0,0.0,43.652508
Entropy-Frac,comm_limited,24,24000,,,,1,0.0,0.344993,3208.0,66.231579,,original,5.0,0.05,6,,1345,903,,0.734896,0.0,0.898606,300,0.987053,37.31277,,0.02182,0.365926,0.008105,0.0,0.0,49.476293
Entropy-Frac,comm_limited,27,27000,,,,1,0.0,0.323548,3002.0,68.4,,original,5.0,0.05,6,,629,476,,0.647396,0.0,0.877041,425,0.992211,38.007559,,0.013665,0.333974,0.000737,0.0,0.0,45.308237
Entropy-Frac,comm_limited,28,28000,,,,1,0.0,0.307724,2850.0,70.0,,original,5.0,0.05,6,,874,636,,0.677083,0.0,0.884404,375,0.996316,39.079612,,0.018324,0.351444,0.000526,0.0,0.0,50.37303
