method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Random,comm_limited,0,0,,,,1,0.0,0.789507,225.852239,21.284211,,original,5.0,0.05,6,,88,88,,0.0,0.000625,0.348439,,0.490526,11.827539,,0.048546,0.262705,0.496842,0.0,0.0,21.377003
Random,comm_limited,3,3000,,,,1,0.0,0.754633,329.393692,24.810526,,original,5.0,0.05,6,,0,0,,0.0,0.0,0.44591,,0.648737,13.635457,,0.047275,0.217538,0.336947,0.0,0.0,21.433656
Random,comm_limited,2,2000,,,,1,0.0,0.807724,200.991749,19.442105,,original,5.0,0.05,6,,121,120,,0.0,0.000625,0.351154,,0.483474,11.707339,,0.07136,0.29372,0.504947,0.0,0.0,22.125224
Random,comm_limited,1,1000,,,,1,0.0,0.801374,247.409396,20.084211,,original,5.0,0.05,6,,563,518,,0.0,0.004167,0.304043,,0.482526,11.466875,,0.066255,0.309054,0.498316,0.0,0.0,23.563212
Random,comm_limited,5,5000,,,,1,0.0,0.764626,368.520833,23.8,,original,5.0,0.05,6,,125,125,,0.0,0.000625,0.419092,,0.613684,13.105523,,0.059951,0.26244,0.373368,0.0,0.0,14.830747
Random,comm_limited,4,4000,,,,1,0.0,0.787112,292.013889,21.526316,,original,5.0,0.05,6,,81,81,,0.0,0.000833,0.401673,,0.595368,12.081003,,0.076697,0.269012,0.381053,0.0,0.0,15.124533
Random,comm_limited,6,6000,,,,1,0.0,0.783885,214.142663,21.852632,,original,5.0,0.05,6,,252,252,,0.0,0.001667,0.337171,,0.483158,12.398783,,0.056026,0.299777,0.503684,0.0,0.0,17.112007
Random,comm_limited,7,7000,,,,1,0.0,0.758068,387.664122,24.463158,,original,5.0,0.05,6,,150,150,,0.0,0.001458,0.432792,,0.618421,13.463776,,0.068059,0.27706,0.362842,0.0,0.0,17.060986
Random,comm_limited,9,9000,,,,1,0.0,0.812617,244.587786,18.947368,,original,5.0,0.05,6,,195,166,,0.0,0.001042,0.310554,,0.432421,10.800724,,0.056479,0.251023,0.553579,0.0,0.0,15.776781
Random,comm_limited,8,8000,,,,1,0.0,0.77691,302.235695,22.557895,,original,5.0,0.05,6,,161,161,,0.0,0.001042,0.373355,,0.524211,12.952234,,0.05295,0.274953,0.459474,0.0,0.0,17.166642
