method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.180252,6121.0,35.568421,,original,5.0,0.05,6,,276,244,,0.56414,0.0,0.761846,350,0.938842,18.640456,,0.047519,0.270081,0.043684,0.0,0.0,26.59099
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.183164,6133.0,35.442105,,original,5.0,0.05,6,,219,148,,0.408163,0.0,0.770361,325,0.975895,18.988776,,0.038747,0.18832,0.016842,0.0,0.0,29.826964
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.122999,5885.0,38.052632,,original,5.0,0.05,6,,261,211,,0.477162,0.0,0.75837,575,0.949263,19.553744,,0.04852,0.238924,0.038632,0.0,0.0,32.368504
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.142892,5967.0,37.189474,,original,5.0,0.05,6,,315,238,,0.509232,0.0,0.73585,650,0.944526,19.094944,,0.043029,0.237699,0.034,0.0,0.0,33.541806
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.274624,3124.511478,31.473684,,original,5.0,0.05,6,,348,201,,0.51725,0.0,0.743421,350,0.908737,17.868406,,0.063784,0.240851,0.071368,0.0,0.0,26.74004
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.229985,5161.625874,33.410526,,original,5.0,0.05,6,,475,346,,0.516521,0.0,0.756417,,0.892211,18.389842,,0.05165,0.251618,0.095684,0.0,0.0,24.771152
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.159146,6034.0,36.484211,,original,5.0,0.05,6,,279,218,,0.483722,0.0,0.791181,275,0.931368,19.162912,,0.044087,0.227892,0.060316,0.0,0.0,31.384255
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.172489,6089.0,35.905263,,original,5.0,0.05,6,,123,108,,0.337949,0.0,0.792959,350,0.991789,19.179093,,0.030411,0.157705,0.005368,0.0,0.0,24.777112
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.186803,6148.0,35.284211,,original,5.0,0.05,6,,127,127,,0.427357,0.0,0.780928,325,0.961474,19.19934,,0.038325,0.185055,0.029474,0.0,0.0,20.183142
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.223678,3960.03417,33.684211,,original,5.0,0.05,6,,142,136,,0.325316,0.0,0.78208,375,0.952105,18.439313,,0.0413,0.143978,0.038526,0.0,0.0,20.254353
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.141921,5963.0,37.231579,,original,5.0,0.05,6,,59,56,,0.450437,0.0,0.786478,300,0.971263,19.527643,,0.032584,0.215945,0.024316,0.0,0.0,24.016638
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.14556,5978.0,37.073684,,original,5.0,0.05,6,,254,190,,0.482264,0.0,0.797515,275,0.986211,19.636228,,0.033857,0.223416,0.009053,0.0,0.0,24.794494
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.179767,6119.0,35.589474,,original,5.0,0.05,6,,181,135,,0.345724,0.0,0.769628,300,0.968947,19.025065,,0.036598,0.161375,0.022632,0.0,0.0,24.241856
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.166424,6064.0,36.168421,,original,5.0,0.05,6,,249,228,,0.434159,0.0,0.73701,500,0.932211,19.217999,,0.046842,0.217857,0.053895,0.0,0.0,22.829067
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.199175,6199.0,34.747368,,original,5.0,0.05,6,,331,286,,0.524052,0.0,0.683275,,0.846737,18.689481,,0.04749,0.241814,0.139789,0.0,0.0,27.772145
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.185347,5912.812706,35.347368,,original,5.0,0.05,6,,235,202,,0.375121,0.0,0.787234,425,0.971263,18.736658,,0.037888,0.178955,0.020947,0.0,0.0,22.803786
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.147016,5984.0,37.010526,,original,5.0,0.05,6,,102,78,,0.519436,0.0,0.687669,625,0.941684,19.61292,,0.048435,0.236244,0.033895,0.0,0.0,23.155538
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.156963,6025.0,36.578947,,original,5.0,0.05,6,,475,311,,0.506074,0.0,0.743158,,0.898105,19.421613,,0.045718,0.236487,0.092211,0.0,0.0,26.482038
Frontier-Bounded,comm_limited,19,19000,,,,1,0.0,0.215672,5517.705217,34.031579,,original,5.0,0.05,6,,426,324,,0.509232,0.0,0.75784,450,0.901684,18.889527,,0.061015,0.240848,0.082,0.0,0.0,24.417837
Frontier-Bounded,comm_limited,18,18000,,,,1,0.0,0.165939,6062.0,36.189474,,original,5.0,0.05,6,,372,281,,0.586006,0.0,0.723951,650,0.905579,19.198281,,0.054807,0.274484,0.081158,0.0,0.0,33.268553
Frontier-Bounded,comm_limited,20,20000,,,,1,0.0,0.302038,4919.031532,30.284211,,original,5.0,0.05,6,,506,351,,0.592566,0.0,0.683402,,0.846421,17.409797,,0.053658,0.26926,0.132947,0.0,0.0,23.877758
Frontier-Bounded,comm_limited,21,21000,,,,1,0.0,0.19772,5697.345638,34.810526,,original,5.0,0.05,6,,500,343,,0.591837,0.0,0.714517,,0.843053,18.826615,,0.051596,0.276135,0.145053,0.0,0.0,28.894186
Frontier-Bounded,comm_limited,22,22000,,,,1,0.0,0.116691,5859.0,38.326316,,original,5.0,0.05,6,,587,359,,0.586492,0.0,0.776712,625,0.935263,19.861524,,0.050338,0.276476,0.053158,0.0,0.0,30.88303
Frontier-Bounded,comm_limited,23,23000,,,,1,0.0,0.195536,5791.354377,34.905263,,original,5.0,0.05,6,,124,109,,0.386297,0.0,0.800832,275,0.989789,19.096931,,0.030781,0.180264,0.002211,0.0,0.0,27.302783
Frontier-Bounded,comm_limited,24,24000,,,,1,0.0,0.184862,6140.0,35.368421,,original,5.0,0.05,6,,236,213,,0.428328,0.0,0.779273,325,0.983263,19.267224,,0.038209,0.199116,0.010632,0.0,0.0,29.279155
Frontier-Bounded,comm_limited,25,25000,,,,1,0.0,0.194323,5549.48301,34.957895,,original,5.0,0.05,6,,92,79,,0.353984,0.0,0.766865,400,0.978105,18.700407,,0.036463,0.167774,0.016316,0.0,0.0,21.373669
