method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,0,0,,,,1,0.0,0.380709,1853.0,80.494737,,original,5.0,0.05,6,,673,627,,0.760655,0.0,0.942131,225,0.998737,44.617391,,0.013317,0.383921,0.000421,0.0,0.0,84.987847
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.397554,2061.0,78.305263,,original,5.0,0.05,6,,572,431,,0.768595,0.0,0.913608,450,0.998526,47.061666,,0.013466,0.384964,0.0,0.0,0.0,88.14165
Coverage-U,comm_limited,2,2000,2005,,,0,100.0,0.290816,743.0,92.178947,,original,5.0,0.05,6,,1742,1150,,0.834468,0.0,0.860388,700,1.0,49.79662,2025,0.009108,0.400003,0.0,0.0,0.0,107.986186
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.313816,1027.0,89.189474,,original,5.0,0.05,6,,2306,1283,,0.815427,0.0,0.901185,725,1.0,48.884182,,0.010157,0.385209,0.0,0.0,0.0,120.602836
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.354551,1530.0,83.894737,,original,5.0,0.05,6,,1670,967,,0.790472,0.0,0.914772,375,0.999789,47.661996,,0.011645,0.400592,0.0,0.0,0.0,97.315607
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.348073,1450.0,84.736842,,original,5.0,0.05,6,,2067,1163,,0.778318,0.0,0.837223,875,0.999263,44.150188,,0.013326,0.367033,0.0,0.0,0.0,103.204986
Coverage-U,comm_limited,6,6000,2033,,,0,100.0,0.300777,866.0,90.884211,,original,5.0,0.05,6,,1859,1187,,0.824907,0.0,0.922562,325,1.0,47.723839,2050,0.009815,0.392529,0.0,0.0,0.0,99.758131
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.38241,1874.0,80.273684,,original,5.0,0.05,6,,1709,1034,,0.815022,0.0,0.914972,400,0.985368,45.96683,,0.012279,0.394851,0.013579,0.0,0.0,96.97903
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.446388,1783.530255,71.957895,,original,5.0,0.05,6,,511,421,,0.765759,0.0,0.927526,325,0.999053,41.022997,,0.014516,0.384279,0.000105,0.0,0.0,81.927646
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.389456,1961.0,79.357895,,original,5.0,0.05,6,,943,868,,0.817534,0.0,0.869451,700,0.995579,42.334961,,0.013495,0.405739,0.0,0.0,0.0,86.718696
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.363622,1642.0,82.715789,,original,5.0,0.05,6,,1596,1144,,0.794685,0.0,0.86043,600,1.0,44.113748,,0.011081,0.387231,0.0,0.0,0.0,105.098395
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.367509,1690.0,82.210526,,original,5.0,0.05,6,,1865,1183,,0.818911,0.0,0.924103,350,0.999158,47.627301,,0.011392,0.386366,0.000421,0.0,0.0,117.265495
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.320214,1106.0,88.357895,,original,5.0,0.05,6,,865,702,,0.785367,0.0,0.900724,400,0.999579,46.898135,,0.012101,0.391121,0.0,0.0,0.0,97.019912
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.34127,1366.0,85.621053,,original,5.0,0.05,6,,2438,1358,,0.811133,0.0,0.89003,625,0.998526,47.489727,,0.012131,0.381009,0.0,0.0,0.0,120.907515
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.336249,1304.0,86.273684,,original,5.0,0.05,6,,1046,904,,0.811133,0.0,0.897621,450,1.0,46.463496,,0.010865,0.397556,0.0,0.0,0.0,87.270264
Coverage-U,comm_limited,14,14000,1956,,,0,100.0,0.287577,703.0,92.6,,original,5.0,0.05,6,,2344,1288,,0.825555,0.0,0.913118,525,1.0,49.203764,1975,0.009487,0.399499,0.0,0.0,0.0,113.823218
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.487852,1530.88991,66.568421,,original,5.0,0.05,6,,1084,827,,0.821099,0.0,0.832859,1300,0.953263,40.583507,,0.021781,0.40512,0.038105,0.0,0.0,91.661427
Coverage-U,comm_limited,17,17000,,,,1,0.0,0.39723,2057.0,78.347368,,original,5.0,0.05,6,,1465,1053,,0.840707,0.0,0.822996,1500,0.955789,43.504805,,0.017217,0.426376,0.041263,0.0,0.0,98.103326
Coverage-U,comm_limited,19,19000,,,,1,0.0,0.332362,1256.0,86.778947,,original,5.0,0.05,6,,1781,1111,,0.763734,0.0,0.878378,750,0.998842,45.501405,,0.010537,0.358173,0.000737,0.0,0.0,104.530884
Coverage-U,comm_limited,18,18000,,,,1,0.0,0.373502,1764.0,81.431579,,original,5.0,0.05,6,,1910,1057,,0.807082,0.0,0.896775,425,0.998526,43.63425,,0.014049,0.381336,0.0,0.0,0.0,111.949376
Coverage-U,comm_limited,20,20000,,,,1,0.0,0.322562,1135.0,88.052632,,original,5.0,0.05,6,,1269,1023,,0.844839,0.0,0.903902,425,0.998842,48.533887,,0.012669,0.411205,0.000421,0.0,0.0,94.511453
Coverage-U,comm_limited,21,21000,,,,1,0.0,0.366051,1672.0,82.4,,original,5.0,0.05,6,,1906,1113,,0.80854,0.0,0.832492,1075,0.995579,44.661142,,0.012255,0.387478,0.003789,0.0,0.0,98.180479
Coverage-U,comm_limited,23,23000,,,,1,0.0,0.439585,1704.837581,72.842105,,original,5.0,0.05,6,,877,767,,0.765597,0.0,0.908488,675,0.995895,42.8314,,0.014334,0.38653,0.0,0.0,0.0,67.004046
Coverage-U,comm_limited,22,22000,,,,1,0.0,0.340055,1351.0,85.778947,,original,5.0,0.05,6,,1497,939,,0.780506,0.0,0.915707,350,0.998105,45.202223,,0.010701,0.381834,0.0,0.0,0.0,74.541258
Coverage-U,comm_limited,24,24000,,,,1,0.0,0.415695,2285.0,75.947368,,original,5.0,0.05,6,,745,622,,0.824016,0.0,0.868746,925,0.992421,43.578858,,0.016401,0.408587,0.003579,0.0,0.0,55.331285
Coverage-U,comm_limited,25,25000,,,,1,0.0,0.391885,1991.0,79.042105,,original,5.0,0.05,6,,1066,935,,0.793956,0.0,0.908564,500,0.998105,44.471594,,0.012719,0.390217,0.000526,0.0,0.0,46.646124
Coverage-U,comm_limited,27,27000,,,,1,0.0,0.374555,1777.0,81.294737,,original,5.0,0.05,6,,693,532,,0.68352,0.0,0.902716,525,0.999474,42.676737,,0.010836,0.342187,0.0,0.0,0.0,50.2938
Coverage-U,comm_limited,26,26000,,,,1,0.0,0.344833,1410.0,85.157895,,original,5.0,0.05,6,,2078,1287,,0.833657,0.0,0.916556,350,0.996421,46.889118,,0.012928,0.387214,0.001053,0.0,0.0,58.53062
Coverage-U,comm_limited,28,28000,,,,1,0.0,0.318027,1079.0,88.642105,,original,5.0,0.05,6,,1699,934,,0.829606,0.0,0.859383,1000,0.993158,48.36936,,0.012386,0.407721,0.005368,0.0,0.0,64.48349
Coverage-U,comm_limited,29,29000,,,,1,0.0,0.345157,1414.0,85.115789,,original,5.0,0.05,6,,940,841,,0.823367,0.0,0.893474,800,0.999684,46.289983,,0.01136,0.4159,0.0,0.0,0.0,55.776805
Coverage-U,comm_limited,30,30000,,,,1,0.0,0.361192,1612.0,83.031579,,original,5.0,0.05,6,,1546,1121,,0.786582,0.0,0.895006,525,0.999579,47.344006,,0.010819,0.397147,0.0,0.0,0.0,58.116388
Coverage-U,comm_limited,31,31000,2043,,,0,100.0,0.304908,917.0,90.347368,,original,5.0,0.05,6,,1371,1021,,0.820207,0.0,0.900217,550,1.0,47.636863,2050,0.009766,0.386688,0.0,0.0,0.0,56.048334
Coverage-U,comm_limited,32,32000,,,,1,0.0,0.309848,978.0,89.705263,,original,5.0,0.05,6,,2066,1338,,0.844353,0.0,0.855063,1100,0.999789,47.136852,,0.012078,0.424878,0.0,0.0,0.0,54.338297
Coverage-U,comm_limited,33,33000,,,,1,0.0,0.349692,1470.0,84.526316,,original,5.0,0.05,6,,2271,1272,,0.836007,0.0,0.883269,800,0.990421,47.597411,,0.014057,0.395698,0.007579,0.0,0.0,58.168597
Coverage-U,comm_limited,35,35000,,,,1,0.0,0.349773,1471.0,84.515789,,original,5.0,0.05,6,,704,587,,0.791363,0.0,0.926954,325,0.997053,46.71856,,0.011431,0.40708,0.002105,0.0,0.0,43.657897
Coverage-U,comm_limited,34,34000,,,,1,0.0,0.409054,2203.0,76.810526,,original,5.0,0.05,6,,1487,904,,0.825555,0.0,0.834613,625,0.996947,44.90893,,0.016408,0.410423,0.001053,0.0,0.0,46.981808
Coverage-U,comm_limited,36,36000,,,,1,0.0,0.383139,1883.0,80.178947,,original,5.0,0.05,6,,985,729,,0.774672,0.0,0.911773,400,0.996105,42.68889,,0.013082,0.390206,0.003263,0.0,0.0,45.94198
Coverage-U,comm_limited,37,37000,,,,1,0.0,0.385973,1918.0,79.810526,,original,5.0,0.05,6,,1032,794,,0.827662,0.0,0.897994,500,0.996,44.985641,,0.013458,0.403379,0.001474,0.0,0.0,45.634929
Coverage-U,comm_limited,38,38000,,,,1,0.0,0.350664,1482.0,84.4,,original,5.0,0.05,6,,1327,1037,,0.84492,0.0,0.925243,300,0.998632,46.983773,,0.013611,0.420565,0.000316,0.0,0.0,47.110297
Coverage-U,comm_limited,39,39000,,,,1,0.0,0.435455,2529.0,73.378947,,original,5.0,0.05,6,,1223,831,,0.789013,0.0,0.913449,375,0.984632,43.394803,,0.018009,0.397587,0.006632,0.0,0.0,47.845033
