method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.344264,3201.0,66.305263,,original,5.0,0.05,6,,681,539,,0.799063,0.0,0.839927,600,0.961368,38.32422,,0.024419,0.385152,0.030526,0.0,0.0,102.402292
Coverage-U,comm_limited,0,0,,,,1,0.0,0.431293,2832.183808,57.505263,,original,5.0,0.05,6,,560,485,,0.765625,0.0,0.884643,300,0.962316,32.759773,,0.027659,0.37201,0.025474,0.0,0.0,107.093931
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.395378,2212.635668,61.136842,,original,5.0,0.05,6,,1288,958,,0.830208,0.0,0.866212,500,0.984,36.015059,,0.029113,0.396161,0.005158,0.0,0.0,122.955162
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.280137,2585.0,72.789474,,original,5.0,0.05,6,,1280,808,,0.749167,0.0,0.872035,600,0.977053,37.857641,,0.018086,0.376153,0.021158,0.0,0.0,132.499011
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.313554,2906.0,69.410526,,original,5.0,0.05,6,,1197,800,,0.707292,0.0,0.913854,350,0.997474,38.947263,,0.016808,0.344617,0.001158,0.0,0.0,119.936826
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.357693,3330.0,64.947368,,original,5.0,0.05,6,,603,518,,0.787708,0.0,0.900307,350,0.988947,38.23352,,0.020018,0.375919,0.008842,0.0,0.0,100.017346
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.296794,2745.0,71.105263,,original,5.0,0.05,6,,1466,923,,0.806354,0.0,0.788953,1350,0.985158,37.422951,,0.021023,0.391365,0.010211,0.0,0.0,129.338251
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.33427,3105.0,67.315789,,original,5.0,0.05,6,,858,693,,0.729792,0.0,0.892353,425,0.997789,37.681253,,0.019013,0.360653,0.0,0.0,0.0,116.376888
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.34468,3205.0,66.263158,,original,5.0,0.05,6,,541,427,,0.788125,0.0,0.879344,300,0.993263,37.872503,,0.019761,0.368766,0.0,0.0,0.0,97.902573
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.247033,2267.0,76.136842,,original,5.0,0.05,6,,976,703,,0.747396,0.0,0.885684,350,0.992632,40.242293,,0.017067,0.370058,0.003789,0.0,0.0,118.185599
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.301686,2792.0,70.610526,,original,5.0,0.05,6,,1482,967,,0.756042,0.0,0.841219,700,0.952421,36.538072,,0.02113,0.371744,0.038842,0.0,0.0,143.134766
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.285655,2638.0,72.231579,,original,5.0,0.05,6,,1790,1105,,0.828229,0.0,0.847748,650,0.978737,38.927671,,0.023436,0.412927,0.014737,0.0,0.0,149.010619
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.263377,2424.0,74.484211,,original,5.0,0.05,6,,1074,728,,0.793646,0.0,0.846162,1125,0.999474,39.86473,,0.01805,0.386273,0.0,0.0,0.0,116.728564
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.418593,1871.031313,58.789474,,original,5.0,0.05,6,,418,362,,0.659583,0.0,0.876975,500,0.999263,33.732878,,0.017295,0.315995,0.0,0.0,0.0,97.001929
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.27639,2549.0,73.168421,,original,5.0,0.05,6,,2107,1087,,0.801354,0.0,0.764782,850,0.993158,39.738727,,0.020862,0.396548,0.004421,0.0,0.0,152.722205
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.378409,2461.422505,62.852632,,original,5.0,0.05,6,,981,760,,0.784896,0.0,0.865437,450,0.960105,35.63022,,0.024071,0.384822,0.028421,0.0,0.0,117.53268
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.300125,2777.0,70.768421,,original,5.0,0.05,6,,969,739,,0.726771,0.0,0.842782,650,0.994842,38.205786,,0.017968,0.343833,0.002737,0.0,0.0,113.153098
Coverage-U,comm_limited,18,18000,,,,1,0.0,0.367583,3425.0,63.947368,,original,5.0,0.05,6,,404,339,,0.705937,0.0,0.900843,325,0.996526,36.451266,,0.017438,0.336781,0.0,0.0,0.0,94.982456
Coverage-U,comm_limited,17,17000,,,,1,0.0,0.364876,3153.75,64.221053,,original,5.0,0.05,6,,1433,741,,0.754583,0.0,0.809806,975,0.995158,35.260424,,0.021941,0.36938,0.002421,0.0,0.0,137.519221
Coverage-U,comm_limited,19,19000,,,,1,0.0,0.230897,2112.0,77.768421,,original,5.0,0.05,6,,1491,852,,0.766458,0.0,0.817076,1450,0.994105,40.580947,,0.017904,0.380062,0.002842,0.0,0.0,132.856149
Coverage-U,comm_limited,20,20000,,,,1,0.0,0.31751,2944.0,69.010526,,original,5.0,0.05,6,,669,589,,0.7425,0.0,0.873304,425,0.996211,37.319026,,0.018176,0.362285,0.0,0.0,0.0,113.275498
Coverage-U,comm_limited,21,21000,,,,1,0.0,0.421299,2084.726184,58.515789,,original,5.0,0.05,6,,1107,655,,0.740729,0.0,0.75582,1350,0.982842,31.559806,,0.027623,0.367617,0.008421,0.0,0.0,126.016855
Coverage-U,comm_limited,22,22000,,,,1,0.0,0.293462,2713.0,71.442105,,original,5.0,0.05,6,,765,613,,0.725625,0.0,0.907826,350,0.999789,40.418451,,0.013306,0.360656,0.0,0.0,0.0,104.617886
Coverage-U,comm_limited,23,23000,,,,1,0.0,0.358734,3340.0,64.842105,,original,5.0,0.05,6,,1026,735,,0.774479,0.0,0.823862,625,0.992,36.909671,,0.020229,0.382314,0.000632,0.0,0.0,118.97232
