method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.26827,2471.0,73.989474,,original,5.0,0.05,6,,787,623,,0.774271,0.0,0.886234,300,0.997158,40.268168,,0.018949,0.383367,0.0,0.0,0.0,,106.449796
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.325838,3024.0,68.168421,,original,5.0,0.05,6,,716,508,,0.774479,0.0,0.807568,775,0.984105,38.656454,,0.021479,0.386962,0.012842,0.0,0.0,,109.187677
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.301999,2795.0,70.578947,,original,5.0,0.05,6,,1080,642,,0.701458,0.0,0.872581,375,0.964737,39.700082,,0.019247,0.366399,0.031895,0.0,0.0,,125.986612
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.312305,2894.0,69.536842,,original,5.0,0.05,6,,1267,864,,0.757396,0.0,0.794212,975,0.990737,37.148849,,0.023922,0.391987,0.003684,0.0,0.0,,129.201487
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.369665,2871.221525,63.736842,,original,5.0,0.05,6,,491,427,,0.687604,0.0,0.844095,625,0.995684,36.491924,,0.017473,0.344634,0.0,0.0,0.0,,111.536472
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.312825,2899.0,69.484211,,original,5.0,0.05,6,,784,584,,0.724479,0.0,0.906182,325,0.998842,40.135359,,0.014852,0.353695,0.0,0.0,0.0,,115.979743
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.410993,3715.083681,59.557895,,original,5.0,0.05,6,,572,489,,0.733958,0.0,0.9085,375,0.997895,36.812461,,0.018091,0.351054,0.000842,0.0,0.0,,112.876209
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.27233,2510.0,73.578947,,original,5.0,0.05,6,,948,756,,0.693958,0.0,0.88461,350,0.999789,40.602,,0.011923,0.339142,0.0,0.0,0.0,,123.859116
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.347283,2866.129941,66.0,,original,5.0,0.05,6,,548,504,,0.694688,0.0,0.893173,325,1.0,37.977184,,0.014477,0.338827,0.0,0.0,0.0,,112.629937
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.272434,2511.0,73.568421,,original,5.0,0.05,6,,890,724,,0.720938,0.0,0.908684,300,0.994737,39.946174,,0.015397,0.363857,0.002421,0.0,0.0,,136.761521
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.356756,3321.0,65.042105,,original,5.0,0.05,6,,1778,1011,,0.726875,0.0,0.87355,350,0.975263,36.485852,,0.022895,0.380246,0.016316,0.0,0.0,,161.234219
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.327608,3041.0,67.989474,,original,5.0,0.05,6,,1008,746,,0.737292,0.0,0.890814,325,0.970526,36.801951,,0.022626,0.364474,0.024105,0.0,0.0,,137.636487
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.330939,3073.0,67.652632,,original,5.0,0.05,6,,872,639,,0.700417,0.0,0.907839,400,0.997474,38.159188,,0.014476,0.36034,0.0,0.0,0.0,,120.467626
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.239538,2195.0,76.894737,,original,5.0,0.05,6,,1408,926,,0.776875,0.0,0.87149,450,0.996211,40.815865,,0.017349,0.387251,0.002105,0.0,0.0,,141.070003
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.270976,2497.0,73.715789,,original,5.0,0.05,6,,1465,814,,0.719375,0.0,0.912218,275,0.996737,39.894431,,0.01509,0.361857,0.001053,0.0,0.0,,150.333691
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.361024,3094.244898,64.610526,,original,5.0,0.05,6,,1169,650,,0.703854,0.0,0.907908,350,0.998105,36.887408,,0.016592,0.358579,0.0,0.0,0.0,,148.164534
Richness-Angular,comm_limited,16,16000,,,,1,0.0,0.302727,2802.0,70.505263,,original,5.0,0.05,6,,535,504,,0.751771,0.0,0.8566,625,0.999789,38.625724,,0.013791,0.364886,0.0,0.0,0.0,,113.122021
Richness-Angular,comm_limited,18,18000,,,,1,0.0,0.269311,2481.0,73.884211,,original,5.0,0.05,6,,807,644,,0.722604,0.0,0.886436,400,0.996,40.434253,,0.019682,0.357132,0.000316,0.0,0.0,,118.217609
Richness-Angular,comm_limited,17,17000,,,,1,0.0,0.29138,2693.0,71.652632,,original,5.0,0.05,6,,1807,928,,0.766771,0.0,0.861284,550,0.971684,38.900464,,0.021581,0.391055,0.023158,0.0,0.0,,156.742908
Richness-Angular,comm_limited,19,19000,,,,1,0.0,0.32615,3027.0,68.136842,,original,5.0,0.05,6,,1513,894,,0.77875,0.0,0.88593,300,0.986211,37.393102,,0.021476,0.389027,0.010632,0.0,0.0,,147.059222
Richness-Angular,comm_limited,20,20000,,,,1,0.0,0.353113,3286.0,65.410526,,original,5.0,0.05,6,,632,456,,0.680729,0.0,0.857909,425,0.965579,37.035342,,0.017112,0.334726,0.033158,0.0,0.0,,112.836277
Richness-Angular,comm_limited,22,22000,,,,1,0.0,0.395274,3691.0,61.147368,,original,5.0,0.05,6,,706,616,,0.73625,0.0,0.89384,375,0.993053,35.691188,,0.021426,0.364797,0.003895,0.0,0.0,,121.978257
