method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.313138,2902.0,69.452632,,original,5.0,0.05,6,2.5,187,186,,0.69875,0.0,0.877111,400,0.999263,38.271954,,0.014072,0.363563,0.000421,0.0,0.0,87.869951
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.369977,3313.030534,63.705263,,original,5.0,0.05,6,2.5,509,404,,0.616354,0.0,0.88078,350,0.985684,35.72727,,0.017309,0.294367,0.012526,0.0,0.0,90.81868
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.307308,2846.0,70.042105,,original,5.0,0.05,6,2.5,585,442,,0.685625,0.0,0.898139,325,0.997368,37.993125,,0.013842,0.364121,0.0,0.0,0.0,95.323113
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.412659,1707.34015,59.389474,,original,5.0,0.05,6,2.5,303,279,,0.701667,0.0,0.850471,400,0.943263,35.997421,,0.026176,0.359795,0.048947,0.0,0.0,100.444208
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.38351,3578.0,62.336842,,original,5.0,0.05,6,2.5,831,588,,0.627292,0.0,0.889854,525,0.999158,36.550842,,0.014485,0.335434,0.0,0.0,0.0,84.10381
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.469811,1533.352014,53.610526,,original,5.0,0.05,6,2.5,518,433,,0.707812,0.0,0.840527,450,0.938632,34.120641,,0.023897,0.364594,0.053895,0.0,0.0,77.920537
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.389132,3460.955056,61.768421,,original,5.0,0.05,6,2.5,591,459,,0.657292,0.0,0.812792,775,0.981368,34.877197,,0.01805,0.333944,0.015684,0.0,0.0,90.110666
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.398085,3256.01956,60.863158,,original,5.0,0.05,6,2.5,357,301,,0.571667,0.0,0.900852,400,0.999158,35.1345,,0.013749,0.288333,0.0,0.0,0.0,92.597634
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.432646,4050.0,57.368421,,original,5.0,0.05,6,2.5,254,235,,0.745625,0.0,0.898869,275,0.985158,35.739145,,0.01923,0.367652,0.011579,0.0,0.0,83.642909
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.367687,3093.8696,63.936842,,original,5.0,0.05,6,2.5,281,260,,0.649271,0.0,0.881273,400,0.986526,35.557322,,0.017137,0.343978,0.009474,0.0,0.0,82.989698
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.392463,3064.894242,61.431579,,original,5.0,0.05,6,2.5,312,306,,0.631667,0.0,0.85469,575,0.999053,35.109618,,0.015288,0.334683,0.0,0.0,0.0,99.84571
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.423798,3465.370933,58.263158,,original,5.0,0.05,6,2.5,352,282,,0.635938,0.0,0.898227,425,0.997895,34.474556,,0.017305,0.348515,0.000105,0.0,0.0,103.511411
Richness-Angular,comm_limited,12,12000,,,,1,0.0,0.424214,2457.184257,58.221053,,original,5.0,0.05,6,2.5,373,342,,0.551354,0.0,0.868155,550,0.996211,32.399431,,0.018034,0.303352,0.000421,0.0,0.0,84.651324
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.423589,2401.796068,58.284211,,original,5.0,0.05,6,2.5,528,491,,0.732812,0.0,0.883192,475,0.990632,34.386536,,0.02314,0.382368,0.004947,0.0,0.0,82.880174
Richness-Angular,comm_limited,14,14000,,,,1,0.0,0.39746,3028.518551,60.926316,,original,5.0,0.05,6,2.5,330,330,,0.682708,0.0,0.810759,1025,0.996316,33.073053,,0.015723,0.348144,0.0,0.0,0.0,94.046611
Richness-Angular,comm_limited,15,15000,,,,1,0.0,0.337081,3132.0,67.031579,,original,5.0,0.05,6,2.5,170,169,,0.648021,0.0,0.893662,350,0.998842,35.560697,,0.014503,0.332991,0.000211,0.0,0.0,87.632046
Richness-Angular,comm_limited,16,16000,,,,1,0.0,0.421924,1749.139228,58.452632,,original,5.0,0.05,6,2.5,450,384,,0.776979,0.0,0.846641,775,0.983263,34.626023,,0.022554,0.371487,0.005158,0.0,0.0,86.420808
Richness-Angular,comm_limited,17,17000,,,,1,0.0,0.412138,3112.130208,59.442105,,original,5.0,0.05,6,2.5,759,586,,0.757812,0.0,0.766715,1400,0.971789,32.067957,,0.028234,0.364547,0.020737,0.0,0.0,99.390404
Richness-Angular,comm_limited,18,18000,,,,1,0.0,0.420362,2248.754153,58.610526,,original,5.0,0.05,6,2.5,390,364,,0.678854,0.0,0.903021,300,0.986947,34.97173,,0.020058,0.344486,0.005789,0.0,0.0,92.354319
Richness-Angular,comm_limited,19,19000,,,,1,0.0,0.427753,2778.740189,57.863158,,original,5.0,0.05,6,2.5,105,105,,0.608125,0.0,0.883201,450,0.983895,34.18703,,0.020761,0.30387,0.013368,0.0,0.0,100.331991
Richness-Angular,comm_limited,20,20000,,,,1,0.0,0.33198,3083.0,67.547368,,original,5.0,0.05,6,2.5,369,328,,0.652813,0.0,0.878504,400,0.998632,35.836148,,0.015011,0.340797,0.0,0.0,0.0,93.092342
Richness-Angular,comm_limited,21,21000,,,,1,0.0,0.373725,3484.0,63.326316,,original,5.0,0.05,6,2.5,533,409,,0.591875,0.0,0.895273,375,0.997474,35.276612,,0.015196,0.314702,0.001579,0.0,0.0,93.886324
Richness-Angular,comm_limited,22,22000,,,,1,0.0,0.341661,3176.0,66.568421,,original,5.0,0.05,6,2.5,172,172,,0.676354,0.0,0.888715,425,0.988947,37.452237,,0.016797,0.349743,0.007684,0.0,0.0,81.985895
Richness-Angular,comm_limited,23,23000,,,,1,0.0,0.353841,3293.0,65.336842,,original,5.0,0.05,6,2.5,509,453,,0.684896,0.0,0.898734,325,0.998737,37.638306,,0.015158,0.340213,0.0,0.0,0.0,79.587656
Richness-Angular,comm_limited,24,24000,,,,1,0.0,0.379346,2857.119073,62.757895,,original,5.0,0.05,6,2.5,374,365,,0.617917,0.0,0.857345,525,0.995263,35.384138,,0.014086,0.324652,0.0,0.0,0.0,80.02961
Richness-Angular,comm_limited,25,25000,,,,1,0.0,0.371018,3458.0,63.6,,original,5.0,0.05,6,2.5,751,561,,0.707083,0.0,0.764349,1375,0.994105,32.157776,,0.021517,0.364924,0.001684,0.0,0.0,88.200263
Richness-Angular,comm_limited,26,26000,,,,1,0.0,0.403186,2152.743083,60.347368,,original,5.0,0.05,6,2.5,571,360,,0.731667,0.0,0.866417,350,0.938632,34.767516,,0.024666,0.387366,0.056211,0.0,0.0,99.716433
Richness-Angular,comm_limited,27,27000,,,,1,0.0,0.323548,3002.0,68.4,,original,5.0,0.05,6,2.5,726,457,,0.691354,0.0,0.904058,325,0.995053,38.075289,,0.016482,0.352428,0.003684,0.0,0.0,101.976441
Richness-Angular,comm_limited,28,28000,,,,1,0.0,0.359671,3349.0,64.747368,,original,5.0,0.05,6,2.5,285,268,,0.625313,0.0,0.891314,400,0.997895,35.758003,,0.015537,0.31738,0.000842,0.0,0.0,97.263333
Richness-Angular,comm_limited,29,29000,,,,1,0.0,0.402457,2650.273729,60.421053,,original,5.0,0.05,6,2.5,345,345,,0.603854,0.0,0.869464,725,0.996632,34.171651,,0.017374,0.304546,0.002632,0.0,0.0,92.210788
Richness-Angular,comm_limited,30,30000,,,,1,0.0,0.413387,2952.262989,59.315789,,original,5.0,0.05,6,2.5,399,326,,0.71125,0.0,0.873948,375,0.97,34.567766,,0.01972,0.365538,0.026316,0.0,0.0,100.140224
Richness-Angular,comm_limited,31,31000,,,,1,0.0,0.412451,3440.360729,59.410526,,original,5.0,0.05,6,2.5,287,283,,0.563438,0.0,0.888498,425,0.986842,34.531822,,0.01598,0.287522,0.010842,0.0,0.0,93.503538
Richness-Angular,comm_limited,32,32000,,,,1,0.0,0.346346,3221.0,66.094737,,original,5.0,0.05,6,2.5,354,324,,0.586875,0.0,0.829632,725,0.999895,35.983049,,0.014338,0.303846,0.0,0.0,0.0,90.162147
Richness-Angular,comm_limited,33,33000,,,,1,0.0,0.466375,1775.275862,53.957895,,original,5.0,0.05,6,2.5,397,378,,0.660104,0.0,0.892075,450,0.995684,33.759836,,0.019262,0.328126,0.0,0.0,0.0,85.84275
Richness-Angular,comm_limited,34,34000,,,,1,0.0,0.431189,2088.596476,57.515789,,original,5.0,0.05,6,2.5,474,372,,0.665521,0.0,0.854986,425,0.953158,32.405303,,0.024934,0.327729,0.042947,0.0,0.0,92.072726
Richness-Angular,comm_limited,35,35000,,,,1,0.0,0.422757,2978.196587,58.368421,,original,5.0,0.05,6,2.5,590,484,,0.642813,0.0,0.901637,350,0.998211,35.07801,,0.015848,0.344096,0.000421,0.0,0.0,96.434395
Richness-Angular,comm_limited,36,36000,,,,1,0.0,0.458255,2612.01372,54.778947,,original,5.0,0.05,6,2.5,468,426,,0.575729,0.0,0.895476,325,0.998842,33.179026,,0.017697,0.287552,0.000105,0.0,0.0,97.290791
Richness-Angular,comm_limited,37,37000,,,,1,0.0,0.417656,2827.395647,58.884211,,original,5.0,0.05,6,2.5,487,392,,0.687396,0.0,0.842784,450,0.931474,33.078829,,0.01718,0.336948,0.063158,0.0,0.0,100.15822
