method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U-norm,comm_limited,2,2000,,,,1,0.0,0.471255,1502.712121,69.4375,,original,5.0,0.2,6,,621,494,,0.764571,0.0,0.893318,325,0.98025,40.638832,,0.021858,0.395422,0.016,0.0,0.0,68.62612
Coverage-U-norm,comm_limited,1,1000,,,,1,0.0,0.473158,1857.317927,69.1875,,original,5.0,0.2,6,,866,654,,0.780095,0.0,0.875929,350,0.96675,39.430368,,0.02624,0.381642,0.02725,0.0,0.0,69.09749
Coverage-U-norm,comm_limited,0,0,,,,1,0.0,0.471921,1823.893078,69.35,,original,5.0,0.2,6,,931,712,,0.716381,0.0,0.813855,1525,0.953,37.388436,,0.02164,0.357859,0.0445,0.0,0.0,70.04643
Coverage-U-norm,comm_limited,3,3000,,,,1,0.0,0.467923,1982.252548,69.875,,original,5.0,0.2,6,,1117,729,,0.7,0.0,0.884036,500,0.9825,37.9867,,0.018681,0.343406,0.012,0.0,0.0,74.159206
Coverage-U-norm,comm_limited,4,4000,,,,1,0.0,0.485913,2520.732066,67.5125,,original,5.0,0.2,6,,778,658,,0.718476,0.0,0.864187,450,0.976875,36.508146,,0.029426,0.367294,0.018,0.0,0.0,69.567779
Coverage-U-norm,comm_limited,5,5000,,,,1,0.0,0.50495,1358.81538,65.0125,,original,5.0,0.2,6,,591,549,,0.684,0.0,0.889738,350,0.992375,40.813954,,0.01836,0.34216,0.0045,0.0,0.0,69.213469
Coverage-U-norm,comm_limited,6,6000,,,,1,0.0,0.498953,1046.62751,65.8,,original,5.0,0.2,6,,1015,730,,0.767429,0.0,0.864071,325,0.952,39.051907,,0.028217,0.360582,0.04125,0.0,0.0,73.155253
Coverage-U-norm,comm_limited,7,7000,,,,1,0.0,0.522463,2139.847861,62.7125,,original,5.0,0.2,6,,764,610,,0.74219,0.0,0.846106,575,0.964625,39.766054,,0.021746,0.372654,0.03175,0.0,0.0,70.557599
Coverage-U-norm,comm_limited,9,9000,,,,1,0.0,0.499143,1257.569475,65.775,,original,5.0,0.2,6,,1009,734,,0.754952,0.0,0.759302,,0.8925,36.807514,,0.021419,0.375939,0.096375,0.0,0.0,69.350643
Coverage-U-norm,comm_limited,8,8000,,,,1,0.0,0.510946,1125.066185,64.225,,original,5.0,0.2,6,,618,455,,0.636762,0.0,0.847753,825,0.986375,36.816471,,0.024044,0.331213,0.003,0.0,0.0,69.980282
