method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,0,0,,,,1,0.0,0.485913,1606.887106,67.5125,,original,5.0,0.2,6,,792,623,,0.772476,0.0,0.786184,1625,0.98625,39.128104,,0.028944,0.398851,0.01025,0.0,0.0,17.749697
Frontier-Bounded,comm_limited,1,1000,,,,1,0.0,0.489339,1390.297216,67.0625,,original,5.0,0.2,6,,555,499,,0.721238,0.0,0.890296,300,0.96025,38.892604,,0.024534,0.348759,0.0355,0.0,0.0,16.758328
Frontier-Bounded,comm_limited,2,2000,,,,1,0.0,0.504188,1350.366328,65.1125,,original,5.0,0.2,6,,916,755,,0.737905,0.0,0.881338,425,0.980125,38.950275,,0.028218,0.358082,0.0155,0.0,0.0,17.827605
Frontier-Bounded,comm_limited,3,3000,,,,1,0.0,0.414811,1852.0,76.85,,original,5.0,0.2,6,,962,681,,0.782095,0.0,0.89908,325,0.991,43.157643,,0.020681,0.386422,0.005875,0.0,0.0,18.420346
Frontier-Bounded,comm_limited,4,4000,,,,1,0.0,0.547592,1635.653846,59.4125,,original,5.0,0.2,6,,767,667,,0.792762,0.0,0.880729,300,0.9515,38.772825,,0.034083,0.406034,0.041875,0.0,0.0,17.097281
Frontier-Bounded,comm_limited,5,5000,,,,1,0.0,0.452123,2179.03027,71.95,,original,5.0,0.2,6,,940,690,,0.729238,0.0,0.885698,425,0.9905,41.257714,,0.019401,0.370641,0.00725,0.0,0.0,18.556877
Frontier-Bounded,comm_limited,6,6000,,,,1,0.0,0.499619,1050.787941,65.7125,,original,5.0,0.2,6,,688,533,,0.751333,0.0,0.870843,750,0.9885,39.620961,,0.02287,0.35541,0.0085,0.0,0.0,16.971968
Frontier-Bounded,comm_limited,7,7000,,,,1,0.0,0.457263,2245.871082,71.275,,original,5.0,0.2,6,,862,681,,0.741429,0.0,0.842271,1475,0.981375,39.905971,,0.027035,0.362516,0.014,0.0,0.0,17.867739
Frontier-Bounded,comm_limited,8,8000,,,,1,0.0,0.502951,1444.453154,65.275,,original,5.0,0.2,6,,921,728,,0.728476,0.0,0.856664,450,0.95475,38.95685,,0.028617,0.354405,0.040625,0.0,0.0,18.26532
Frontier-Bounded,comm_limited,9,9000,,,,1,0.0,0.476966,1573.846423,68.6875,,original,5.0,0.2,6,,948,730,,0.751524,0.0,0.802999,1275,0.951375,40.823404,,0.025978,0.382632,0.044,0.0,0.0,17.486091
Frontier-Bounded,comm_limited,10,10000,,,,1,0.0,0.459071,2317.0,71.0375,,original,5.0,0.2,6,,1373,907,,0.768381,0.0,0.907283,375,0.997875,43.036175,,0.017551,0.366731,0.001,0.0,0.0,56.451434
Frontier-Bounded,comm_limited,11,11000,,,,1,0.0,0.394917,1643.0,79.4625,,original,5.0,0.2,6,,900,580,,0.784762,0.0,0.901709,325,0.9985,42.850725,,0.015227,0.375578,0.0005,0.0,0.0,52.003026
Frontier-Bounded,comm_limited,12,12000,,,,1,0.0,0.476109,2496.0,68.8,,original,5.0,0.2,6,,711,567,,0.790667,0.0,0.886547,325,0.964625,38.90005,,0.031721,0.381096,0.028,0.0,0.0,50.027196
Frontier-Bounded,comm_limited,13,13000,,,,1,0.0,0.482772,1540.955794,67.925,,original,5.0,0.2,6,,803,634,,0.758286,0.0,0.877001,500,0.978625,40.4076,,0.028239,0.365748,0.01625,0.0,0.0,49.469861
Frontier-Bounded,comm_limited,14,14000,,,,1,0.0,0.486389,1480.31413,67.45,,original,5.0,0.2,6,,696,606,,0.770952,0.0,0.88729,425,0.990625,39.019379,,0.019849,0.378189,0.00675,0.0,0.0,47.891165
Frontier-Bounded,comm_limited,15,15000,,,,1,0.0,0.451932,2242.0,71.975,,original,5.0,0.2,6,,789,644,,0.785048,0.0,0.842,625,0.97975,43.216314,,0.025428,0.37899,0.015,0.0,0.0,50.699262
Frontier-Bounded,comm_limited,16,16000,,,,1,0.0,0.479631,2188.056119,68.3375,,original,5.0,0.2,6,,1297,734,,0.746095,0.0,0.845143,500,0.9375,42.840375,,0.026826,0.375337,0.05775,0.0,0.0,56.004902
Frontier-Bounded,comm_limited,17,17000,,,,1,0.0,0.461831,2249.243306,70.675,,original,5.0,0.2,6,,544,458,,0.766762,0.0,0.776437,1400,0.987375,40.883871,,0.022266,0.379461,0.007875,0.0,0.0,49.291572
Frontier-Bounded,comm_limited,18,18000,,,,1,0.0,0.473729,1858.910227,69.1125,,original,5.0,0.2,6,,596,486,,0.769333,0.0,0.83869,650,0.982625,40.224268,,0.028108,0.375186,0.01125,0.0,0.0,50.481521
Frontier-Bounded,comm_limited,19,19000,,,,1,0.0,0.497811,1643.338235,65.95,,original,5.0,0.2,6,,1057,698,,0.722857,0.0,0.891345,375,0.96675,40.745671,,0.02637,0.352663,0.027375,0.0,0.0,55.054195
Frontier-Bounded,comm_limited,20,20000,,,,1,0.0,0.463545,2364.0,70.45,,original,5.0,0.2,6,,771,679,,0.792,0.0,0.844562,675,0.947375,41.757936,,0.022986,0.386253,0.046375,0.0,0.0,48.824129
Frontier-Bounded,comm_limited,21,21000,,,,1,0.0,0.411384,1816.0,77.3,,original,5.0,0.2,6,,1145,845,,0.797619,0.0,0.859554,450,0.99275,41.611307,,0.022523,0.399273,0.004125,0.0,0.0,51.847033
Frontier-Bounded,comm_limited,22,22000,,,,1,0.0,0.479726,1451.739948,68.325,,original,5.0,0.2,6,,891,735,,0.767333,0.0,0.801892,1550,0.955125,39.33765,,0.026144,0.389557,0.041125,0.0,0.0,51.354904
Frontier-Bounded,comm_limited,23,23000,,,,1,0.0,0.383019,1518.0,81.025,,original,5.0,0.2,6,,976,715,,0.773048,0.0,0.872452,500,0.99775,44.762907,,0.016376,0.380654,0.001375,0.0,0.0,52.614717
Frontier-Bounded,comm_limited,24,24000,,,,1,0.0,0.451551,1733.362035,72.025,,original,5.0,0.2,6,,902,735,,0.756381,0.0,0.868413,550,0.987125,41.612686,,0.020042,0.372144,0.009,0.0,0.0,52.012949
Frontier-Bounded,comm_limited,25,25000,,,,1,0.0,0.471255,2445.0,69.4375,,original,5.0,0.2,6,,959,789,,0.73381,0.0,0.849865,1075,0.994875,40.475175,,0.021067,0.348224,0.003125,0.0,0.0,51.578267
Frontier-Bounded,comm_limited,26,26000,,,,1,0.0,0.434609,2060.0,74.25,,original,5.0,0.2,6,,1080,841,,0.803524,0.0,0.841021,900,0.987125,42.648443,,0.02361,0.401874,0.009125,0.0,0.0,52.389464
Frontier-Bounded,comm_limited,27,27000,,,,1,0.0,0.419284,1899.0,76.2625,,original,5.0,0.2,6,,1288,805,,0.808,0.0,0.851853,725,0.969125,43.586354,,0.029097,0.398968,0.026,0.0,0.0,55.902446
Frontier-Bounded,comm_limited,28,28000,,,,1,0.0,0.452408,1928.97964,71.9125,,original,5.0,0.2,6,,1353,840,,0.754476,0.0,0.86661,400,0.948625,41.097961,,0.026848,0.373152,0.046,0.0,0.0,58.182055
Frontier-Bounded,comm_limited,29,29000,,,,1,0.0,0.448791,2209.0,72.3875,,original,5.0,0.2,6,,1173,805,,0.756762,0.0,0.909425,425,0.99575,42.975532,,0.021122,0.376133,0.0025,0.0,0.0,61.931505
Frontier-Bounded,comm_limited,30,30000,,,,1,0.0,0.397011,1665.0,79.1875,,original,5.0,0.2,6,,1168,712,,0.781429,0.0,0.761072,1275,0.991375,43.163296,,0.01623,0.386077,0.007125,0.0,0.0,61.799462
Frontier-Bounded,comm_limited,31,31000,,,,1,0.0,0.459928,1927.812398,70.925,,original,5.0,0.2,6,,823,713,,0.717524,0.0,0.913158,350,0.993125,43.9837,,0.020342,0.356508,0.004875,0.0,0.0,57.977676
Frontier-Bounded,comm_limited,32,32000,,,,1,0.0,0.386255,1552.0,80.6,,original,5.0,0.2,6,,1121,751,,0.806667,0.0,0.853512,425,0.987375,45.505421,,0.017936,0.401272,0.0105,0.0,0.0,56.271178
Frontier-Bounded,comm_limited,33,33000,,,,1,0.0,0.446507,2042.186677,72.6875,,original,5.0,0.2,6,,1169,763,,0.840571,0.0,0.794643,850,0.9495,40.660218,,0.023422,0.415486,0.047125,0.0,0.0,36.082088
Frontier-Bounded,comm_limited,34,34000,,,,1,0.0,0.41957,1902.0,76.225,,original,5.0,0.2,6,,1015,809,,0.80619,0.0,0.876785,450,0.991125,42.586879,,0.017452,0.377855,0.006875,0.0,0.0,18.332191
Frontier-Bounded,comm_limited,35,35000,,,,1,0.0,0.477822,2004.59343,68.575,,original,5.0,0.2,6,,791,538,,0.738095,0.0,0.840429,825,0.98425,40.389057,,0.021258,0.365603,0.01375,0.0,0.0,17.868964
Frontier-Bounded,comm_limited,36,36000,,,,1,0.0,0.45079,2036.541426,72.125,,original,5.0,0.2,6,,623,548,,0.734762,0.0,0.919428,275,0.994375,43.511414,,0.018971,0.371482,0.0035,0.0,0.0,17.910697
Frontier-Bounded,comm_limited,37,37000,,,,1,0.0,0.470969,1847.221647,69.475,,original,5.0,0.2,6,,1138,831,,0.769238,0.0,0.824742,1000,0.982125,39.964671,,0.025708,0.373774,0.012875,0.0,0.0,18.101445
Frontier-Bounded,comm_limited,38,38000,,,,1,0.0,0.403389,1732.0,78.35,,original,5.0,0.2,6,,1680,1017,,0.77,0.0,0.879941,950,0.99375,41.921529,,0.01645,0.373654,0.004875,0.0,0.0,20.282769
Frontier-Bounded,comm_limited,39,39000,,,,1,0.0,0.465163,1955.455468,70.2375,,original,5.0,0.2,6,,821,655,,0.778667,0.0,0.903901,350,0.988625,40.728854,,0.028546,0.385437,0.0065,0.0,0.0,18.260934
