method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
GDOP,comm_limited,3,3000,,,,1,0.0,0.497049,1253.778261,66.05,,original,5.0,0.2,6,,1236,765,,0.724286,0.0,0.815062,1025,0.960125,37.507779,,0.018609,0.371265,0.033125,0.0,0.0,,56.365786
GDOP,comm_limited,0,0,,,,1,0.0,0.509614,909.5808,64.4,,original,5.0,0.2,6,,600,472,,0.688095,0.0,0.870988,525,0.998375,37.352486,,0.01592,0.354707,0.0,0.0,0.0,,59.436084
GDOP,comm_limited,2,2000,,,,1,0.0,0.503522,2784.0,65.2,,original,5.0,0.2,6,,934,664,,0.631048,0.0,0.842079,600,0.999375,35.797614,,0.01696,0.340795,0.0,0.0,0.0,,63.247959
GDOP,comm_limited,1,1000,,,,1,0.0,0.434133,2055.0,74.3125,,original,5.0,0.2,6,,917,527,,0.618,0.0,0.896547,500,0.999625,40.527482,,0.013058,0.323015,0.0,0.0,0.0,,67.716187
GDOP,comm_limited,4,4000,,,,1,0.0,0.5,1448.275102,65.6625,,original,5.0,0.2,6,,805,664,,0.757524,0.0,0.874244,475,0.977625,36.296304,,0.022976,0.378795,0.017375,0.0,0.0,,54.267929
GDOP,comm_limited,6,6000,,,,1,0.0,0.432705,2040.0,74.5,,original,5.0,0.2,6,,1034,836,,0.782857,0.0,0.791735,1300,0.973875,43.2923,,0.019399,0.381548,0.023875,0.0,0.0,,55.627911
GDOP,comm_limited,7,7000,,,,1,0.0,0.45574,2282.0,71.475,,original,5.0,0.2,6,,910,660,,0.759143,0.0,0.878973,525,0.99525,41.949314,,0.016311,0.391306,0.00125,0.0,0.0,,55.004784
GDOP,comm_limited,5,5000,,,,1,0.0,0.505616,1344.795417,64.925,,original,5.0,0.2,6,,449,420,,0.597238,0.0,0.850823,650,0.998,34.633221,,0.017059,0.324584,0.00075,0.0,0.0,,66.088723
GDOP,comm_limited,8,8000,,,,1,0.0,0.465163,1607.878733,70.2375,,original,5.0,0.2,6,,601,497,,0.733429,0.0,0.807522,725,0.981125,38.814196,,0.017775,0.372073,0.0145,0.0,0.0,,59.069253
GDOP,comm_limited,9,9000,,,,1,0.0,0.512659,1036.12199,64.0,,original,5.0,0.2,6,,592,498,,0.69019,0.0,0.827238,775,0.964875,35.084579,,0.022741,0.362976,0.029125,0.0,0.0,,57.548527
GDOP,comm_limited,11,11000,,,,1,0.0,0.466019,1979.150472,70.125,,original,5.0,0.2,6,,625,479,,0.695905,0.0,0.879629,575,0.991125,39.004779,,0.017519,0.356774,0.006375,0.0,0.0,,59.549955
GDOP,comm_limited,10,10000,,,,1,0.0,0.442033,2138.0,73.275,,original,5.0,0.2,6,,882,757,,0.640571,0.0,0.844187,700,0.9965,40.502357,,0.012206,0.32324,0.0,0.0,0.0,,66.122295
GDOP,comm_limited,12,12000,,,,1,0.0,0.475823,1971.600481,68.8375,,original,5.0,0.2,6,,629,569,,0.722857,0.0,0.864064,525,0.99175,40.366146,,0.018358,0.376804,0.00425,0.0,0.0,,58.55115
GDOP,comm_limited,14,14000,,,,1,0.0,0.466115,1979.637065,70.1125,,original,5.0,0.2,6,,1042,752,,0.791714,0.0,0.845062,800,0.98825,39.365154,,0.022716,0.409643,0.008875,0.0,0.0,,52.442453
GDOP,comm_limited,13,13000,,,,1,0.0,0.472968,2463.0,69.2125,,original,5.0,0.2,6,,929,680,,0.685143,0.0,0.87355,500,0.99375,38.559675,,0.017573,0.359298,0.00425,0.0,0.0,,62.495869
GDOP,comm_limited,15,15000,,,,1,0.0,0.454597,2270.0,71.625,,original,5.0,0.2,6,,1175,778,,0.717619,0.0,0.836312,500,0.989375,38.930393,,0.019806,0.363952,0.003875,0.0,0.0,,60.051208
