method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Hybrid,comm_limited,0,0,,,,1,0.0,0.502284,2400.38659,65.3625,,original,5.0,0.2,6,,698,603,,0.708095,0.0,0.863812,500,0.964375,37.946511,,0.018385,0.364568,0.031125,0.0,0.0,0.415334,32.694669
Hybrid,comm_limited,1,1000,,,,1,0.0,0.471826,2245.561344,69.3625,,original,5.0,0.2,6,,1305,845,,0.793429,0.0,0.88186,350,0.951125,39.795768,,0.025972,0.388963,0.042375,0.0,0.0,0.474873,34.330882
Hybrid,comm_limited,2,2000,,,,1,0.0,0.497525,1762.798818,65.9875,,original,5.0,0.2,6,,1055,721,,0.74581,0.0,0.879679,400,0.97425,37.323675,,0.024593,0.371359,0.022,0.0,0.0,0.469464,35.164001
Hybrid,comm_limited,3,3000,,,,1,0.0,0.541595,1565.430296,60.2,,original,5.0,0.2,6,,799,429,,0.73181,0.0,0.87184,350,0.968625,36.998257,,0.025055,0.37993,0.024,0.0,0.0,0.481889,35.727049
Hybrid,comm_limited,5,5000,,,,1,0.0,0.419284,1899.0,76.2625,,original,5.0,0.2,6,,667,620,,0.794857,0.0,0.805542,1025,0.993375,43.091918,,0.020043,0.387234,0.004,0.0,0.0,0.392293,31.160764
Hybrid,comm_limited,4,4000,,,,1,0.0,0.470683,2439.0,69.5125,,original,5.0,0.2,6,,1185,909,,0.739048,0.0,0.799763,1325,0.9775,36.510232,,0.022434,0.35909,0.01625,0.0,0.0,0.441971,33.898698
Hybrid,comm_limited,6,6000,,,,1,0.0,0.440796,2125.0,73.4375,,original,5.0,0.2,6,,1033,708,,0.750095,0.0,0.82593,1025,0.97775,40.193611,,0.021076,0.368381,0.018625,0.0,0.0,0.452744,34.206532
Hybrid,comm_limited,7,7000,,,,1,0.0,0.428517,1996.0,75.05,,original,5.0,0.2,6,,831,699,,0.691048,0.0,0.86007,475,0.99925,42.037986,,0.013747,0.346743,0.00025,0.0,0.0,0.479038,34.859684
Hybrid,comm_limited,8,8000,,,,1,0.0,0.475823,2493.0,68.8375,,original,5.0,0.2,6,,871,750,,0.680476,0.0,0.83633,675,0.98325,37.114139,,0.020854,0.360593,0.013625,0.0,0.0,0.476304,34.044683
Hybrid,comm_limited,9,9000,,,,1,0.0,0.50019,1488.446067,65.6375,,original,5.0,0.2,6,,593,474,,0.69419,0.0,0.875421,425,0.95475,40.248554,,0.020788,0.345844,0.035875,0.0,0.0,0.48583,33.622691
