method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Deploy-U,comm_limited,0,0,4160,4779,5032,0,100.0,0.397285,0.0,100.0,,original,5.0,0.05,3,,1930,1500,,0.829558,0.0,0.900556,1675,1.0,56.802424,4175,0.007822,0.424462,0.0,0.063519,0.010153,47.785902
Deploy-U,comm_limited,1,1000,4389,4714,5680,0,100.0,0.458504,0.0,100.0,,original,5.0,0.05,3,,1774,1060,,0.815404,0.0,0.906473,950,1.0,60.348795,4400,0.007437,0.43249,0.0,0.069038,0.011516,54.178466
Deploy-U,comm_limited,2,2000,4284,4634,5325,0,100.0,0.429635,0.0,100.0,,original,5.0,0.05,3,,1101,1089,,0.86639,0.0,0.917269,2025,1.0,59.69938,4300,0.007611,0.443743,0.0,0.056086,0.007326,49.811663
Deploy-U,comm_limited,3,3000,4335,4638,4998,0,100.0,0.422563,0.0,100.0,,original,5.0,0.05,3,,1657,1463,,0.845401,0.0,0.946982,525,1.0,60.855554,4350,0.007679,0.431974,0.0,0.056234,0.008998,48.143981
Deploy-U,comm_limited,4,4000,5183,5520,5975,0,100.0,0.496955,0.0,100.0,,original,5.0,0.05,3,,3424,1690,,0.830685,0.0,0.945312,725,1.0,57.245687,5200,0.007228,0.4351,0.0,0.049041,0.011281,70.278713
Deploy-U,comm_limited,5,5000,4968,5919,6289,0,100.0,0.5158,0.0,100.0,,original,5.0,0.05,3,,1061,1038,,0.820258,0.0,0.943767,850,1.0,62.199439,4975,0.007011,0.432886,0.0,0.062038,0.011164,56.751133
Deploy-U,comm_limited,6,6000,3997,4201,4848,0,100.0,0.375903,0.0,100.0,,original,5.0,0.05,3,,2200,1761,,0.852093,0.0,0.92501,800,1.0,57.625071,4000,0.00798,0.437274,0.0,0.054209,0.008673,48.598656
Deploy-U,comm_limited,7,7000,4424,4706,5375,0,100.0,0.439528,0.0,100.0,,original,5.0,0.05,3,,2963,1810,,0.81153,0.0,0.927741,950,1.0,58.396529,4425,0.00757,0.425859,0.0,0.066088,0.011506,57.922813
Deploy-U,comm_limited,8,8000,4842,5099,5479,0,100.0,0.445417,0.0,100.0,,original,5.0,0.05,3,,2117,1571,,0.849361,0.0,0.917763,775,1.0,55.171553,4850,0.007506,0.443588,0.0,0.069831,0.007707,54.872246
Deploy-U,comm_limited,9,9000,4191,4451,4990,0,100.0,0.408873,0.0,100.0,,original,5.0,0.05,3,,3419,1737,,0.821135,0.0,0.931158,700,1.0,56.851265,4200,0.007778,0.421855,0.0,0.060804,0.010642,58.208881
