method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Frontier-Bounded,comm_limited,0,0,2416,2609,2811,0,100.0,0.83375,19.0,99.7625,,original,5.0,0.2,6,,11182,4428,,0.945229,0.599125,0.952914,1625,1.0,84.464468,2425,0.006065,0.492672,0.0,0.0,0.0,118.578321
Frontier-Bounded,comm_limited,1,1000,2585,3010,3214,0,100.0,0.833687,16.0,99.8,,original,5.0,0.2,6,,8507,3483,,0.936083,0.527,0.974679,300,1.0,83.877158,2600,0.005819,0.447813,0.0,0.0,0.0,114.516534
Frontier-Bounded,comm_limited,2,2000,2463,2592,2812,0,100.0,0.83375,19.0,99.7625,,original,5.0,0.2,6,,10099,4417,,0.941146,0.586979,0.972957,425,1.0,84.136238,2475,0.006162,0.440604,0.0,0.0,0.0,106.447811
Frontier-Bounded,comm_limited,3,3000,2241,2502,2718,0,100.0,0.833458,5.0,99.9375,,original,5.0,0.2,6,,6659,2226,,0.951396,0.565792,0.977502,325,1.0,86.208968,2250,0.00547,0.4813,0.0,0.0,0.0,100.425026
Frontier-Bounded,comm_limited,4,4000,2647,2784,3165,0,100.0,0.83375,19.0,99.7625,,original,5.0,0.2,6,,4297,3096,,0.950937,0.534771,0.970436,300,1.0,83.114548,2650,0.00521,0.468556,0.0,0.0,0.0,77.674706
Frontier-Bounded,comm_limited,5,5000,2541,2726,3027,0,100.0,0.833771,20.0,99.75,,original,5.0,0.2,6,,4776,2607,,0.939917,0.570792,0.974096,425,1.0,84.825147,2550,0.005601,0.485101,0.0,0.0,0.0,86.263229
Frontier-Bounded,comm_limited,6,6000,2726,2922,3214,0,100.0,0.833687,16.0,99.8,,original,5.0,0.2,6,,7289,4002,,0.940583,0.549375,0.970905,750,1.0,83.513364,2725,0.005882,0.474143,0.0,0.0,0.0,90.430095
Frontier-Bounded,comm_limited,7,7000,2757,2893,3289,0,100.0,0.833625,13.0,99.8375,,original,5.0,0.2,6,,5769,3119,,0.934771,0.511062,0.964295,1475,1.0,84.292898,2775,0.005499,0.453478,0.0,0.0,0.0,90.517128
Frontier-Bounded,comm_limited,8,8000,2474,2671,2853,0,100.0,0.833562,10.0,99.875,,original,5.0,0.2,6,,6389,3293,,0.936063,0.539083,0.965319,450,1.0,84.158953,2475,0.005436,0.478655,0.0,0.0,0.0,95.303693
Frontier-Bounded,comm_limited,9,9000,2431,2585,3011,0,100.0,0.833604,12.0,99.85,,original,5.0,0.2,6,,9131,3386,,0.939229,0.528021,0.955712,1275,1.0,84.87407,2450,0.005526,0.464971,0.0,0.0,0.0,114.703865
