variant,num_agents,obstacle_ratio,run,coverage,quality_final,f0_frac,f1_frac,f2plus_frac,cap_hit_frac,wall_time_s
A3_obs005,3,0.05,0,96.673684,1.0,0.0,0.0,1.0,0.42134,33.208116
A3_obs005,3,0.05,1,93.221053,0.998632,0.000947,0.000842,0.998211,0.42716,31.949322
A3_obs005,3,0.05,2,88.642105,0.999684,0.0,0.001158,0.998842,0.419599,31.665041
A3_obs005,3,0.05,3,96.631579,1.0,0.0,0.0,1.0,0.421076,32.854211
A3_obs005,3,0.05,4,95.010526,1.0,0.0,0.0,1.0,0.417796,32.768378
A3_obs005,3,0.05,5,89.694737,0.999789,0.0,0.001158,0.998842,0.431073,33.196342
A3_obs005,3,0.05,6,89.252632,0.997579,0.001474,0.002211,0.996316,0.419425,31.081896
A3_obs005,3,0.05,7,81.578947,0.999684,0.0,0.000737,0.999263,0.410018,30.116819
A3_obs005,3,0.05,8,87.484211,0.999053,0.000105,0.001579,0.998316,0.43208,31.064515
A3_obs005,3,0.05,9,70.936842,0.964842,0.029368,0.010737,0.959895,0.43654,30.413236
A6_obs020,6,0.2,0,99.7625,1.0,0.0,0.0,1.0,0.456221,150.163964
A6_obs020,6,0.2,1,99.8,1.0,0.0,0.0,1.0,0.422091,224.549174
A6_obs020,6,0.2,2,99.7625,1.0,0.0,0.0,1.0,0.425088,204.215584
A6_obs020,6,0.2,3,99.9375,1.0,0.0,0.0,1.0,0.452113,109.458298
A6_obs020,6,0.2,4,99.7625,1.0,0.0,0.0,1.0,0.448156,62.709841
A6_obs020,6,0.2,5,99.75,1.0,0.0,0.0,1.0,0.454072,78.380632
A6_obs020,6,0.2,6,99.8,1.0,0.0,0.0,1.0,0.445683,74.640218
A6_obs020,6,0.2,7,99.8375,1.0,0.0,0.0,1.0,0.437516,111.691967
A6_obs020,6,0.2,8,99.875,1.0,0.0,0.0,1.0,0.445281,100.061374
A6_obs020,6,0.2,9,99.85,1.0,0.0,0.0,1.0,0.443057,69.719481
A2_obs005,2,0.05,0,65.073684,0.994316,0.002947,0.006316,0.990737,0.405705,15.914326
A2_obs005,2,0.05,1,67.242105,0.983684,0.014211,0.004211,0.981579,0.364479,15.924965
A2_obs005,2,0.05,2,66.284211,0.988842,0.009474,0.004105,0.986421,0.393651,15.909854
A2_obs005,2,0.05,3,77.778947,0.987579,0.006316,0.009895,0.983789,0.424433,15.690383
A2_obs005,2,0.05,4,59.547368,0.956,0.032,0.021158,0.946842,0.412672,15.031554
A2_obs005,2,0.05,5,70.452632,0.986842,0.007684,0.009474,0.982842,0.411538,16.46047
A2_obs005,2,0.05,6,77.231579,0.960737,0.034947,0.006947,0.958105,0.420933,14.857541
A2_obs005,2,0.05,7,75.905263,0.966947,0.028105,0.009474,0.962421,0.411658,14.85766
A2_obs005,2,0.05,8,68.063158,0.988632,0.005895,0.011789,0.982316,0.412993,15.753538
A2_obs005,2,0.05,9,71.694737,0.987684,0.006947,0.011158,0.981895,0.42169,15.144865
