method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,wall_time_s
Coverage-U,comm_limited,0,0,,,,1,0.0,0.313554,2906.0,69.410526,,original,5.0,0.05,6,,1484,1000,,0.731354,0.0,0.888994,325,0.997579,35.906678,,0.016997,0.360694,0.000421,0.0,0.0,25.636895
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.273579,2522.0,73.452632,,original,5.0,0.05,6,,673,558,,0.784792,0.0,0.902062,300,0.987263,39.384855,,0.017152,0.38317,0.008421,0.0,0.0,19.356214
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.306787,2841.0,70.094737,,original,5.0,0.05,6,,1569,816,,0.708438,0.0,0.886888,525,1.0,35.60974,,0.01386,0.342625,0.0,0.0,0.0,23.224549
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.333958,3102.0,67.347368,,original,5.0,0.05,6,,1144,728,,0.774375,0.0,0.86383,625,0.995053,37.152007,,0.020242,0.363742,0.000316,0.0,0.0,20.768612
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.348428,3241.0,65.884211,,original,5.0,0.05,6,,870,628,,0.772188,0.0,0.886987,375,0.995789,36.783859,,0.019582,0.378651,0.0,0.0,0.0,21.039873
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.316677,2936.0,69.094737,,original,5.0,0.05,6,,1997,943,,0.763542,0.0,0.805026,750,0.989263,35.039217,,0.021778,0.372454,0.006105,0.0,0.0,25.618402
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.388299,2871.599837,61.852632,,original,5.0,0.05,6,,1019,855,,0.661667,0.0,0.861757,600,0.996632,31.039862,,0.014778,0.309909,0.0,0.0,0.0,37.771924
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.334166,3104.0,67.326316,,original,5.0,0.05,6,,1495,926,,0.755313,0.0,0.857233,625,0.975263,35.623112,,0.020621,0.366019,0.014632,0.0,0.0,43.335641
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.315844,2928.0,69.178947,,original,5.0,0.05,6,,1709,957,,0.712604,0.0,0.898891,300,0.997053,36.882211,,0.01559,0.336539,0.0,0.0,0.0,44.358964
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.355611,3310.0,65.157895,,original,5.0,0.05,6,,1909,1067,,0.804583,0.0,0.844451,600,0.976211,37.222645,,0.022986,0.376388,0.014211,0.0,0.0,44.438242
