method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,cluster_cap_hit_frac,undetermined_final,wall_time_s
Random,comm_limited,0,0,,,,1,0.0,0.862882,267.958763,38.978947,,original,5.0,0.05,6,,676,614,,0.0,0.001704,0.481305,,0.597053,0.33205,0.397579,21.363137
Random,comm_limited,1,1000,,,,1,0.0,0.863882,285.690372,38.694737,,original,5.0,0.05,6,,1347,1192,,0.0,0.003333,0.477559,,0.634947,0.365916,0.351789,22.472645
Random,comm_limited,2,2000,,,,1,0.0,0.840332,389.881956,45.389474,,original,5.0,0.05,6,,262,261,,0.0,0.001111,0.572349,,0.811789,0.333612,0.180737,20.479939
Random,comm_limited,3,3000,,,,1,0.0,0.837407,386.856128,46.221053,,original,5.0,0.05,6,,745,676,,0.0,0.002593,0.621064,,0.746632,0.311549,0.244632,21.083444
Random,comm_limited,4,4000,,,,1,0.0,0.827335,475.004637,49.084211,,original,5.0,0.05,6,,144,144,,0.0,0.000296,0.649283,4150,0.907789,0.309739,0.077474,18.471956
Random,comm_limited,5,5000,,,,1,0.0,0.842776,530.322004,44.694737,,original,5.0,0.05,6,,667,664,,0.0,0.002,0.627699,,0.835684,0.347246,0.154105,24.699384
Random,comm_limited,6,6000,,,,1,0.0,0.842516,366.532801,44.768421,,original,5.0,0.05,6,,736,736,,0.0,0.001778,0.528911,,0.789684,0.356854,0.196105,25.961186
Random,comm_limited,7,7000,,,,1,0.0,0.818189,476.412214,51.684211,,original,5.0,0.05,6,,330,330,,0.0,0.001111,0.659931,,0.881053,0.336294,0.107579,22.620848
Random,comm_limited,8,8000,,,,1,0.0,0.845368,361.157509,43.957895,,original,5.0,0.05,6,,446,440,,0.0,0.001185,0.52993,,0.750526,0.350817,0.236316,24.684658
Random,comm_limited,9,9000,,,,1,0.0,0.873213,337.775735,36.042105,,original,5.0,0.05,6,,640,611,,0.0,0.001704,0.457589,,0.587895,0.344789,0.403158,24.665475
