method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,cluster_cap_hit_frac,undetermined_final,wall_time_s
Random,comm_limited,0,0,,,,1,0.0,0.862882,267.958763,38.978947,,original,3.0,0.05,6,,676,614,,0.0,0.001704,0.414327,,0.551263,0.352487,0.439895,24.710889
Random,comm_limited,1,1000,,,,1,0.0,0.863882,285.690372,38.694737,,original,3.0,0.05,6,,1347,1192,,0.0,0.003333,0.404416,,0.561263,0.372131,0.424421,28.407089
Random,comm_limited,2,2000,,,,1,0.0,0.840332,389.881956,45.389474,,original,3.0,0.05,6,,262,261,,0.0,0.001111,0.480055,,0.725684,0.340533,0.262316,26.595864
Random,comm_limited,3,3000,,,,1,0.0,0.837407,386.856128,46.221053,,original,3.0,0.05,6,,745,676,,0.0,0.002593,0.540122,,0.692211,0.325922,0.297789,27.267384
Random,comm_limited,4,4000,,,,1,0.0,0.827335,475.004637,49.084211,,original,3.0,0.05,6,,144,144,,0.0,0.000296,0.533378,,0.809579,0.324153,0.170211,25.979331
Random,comm_limited,5,5000,,,,1,0.0,0.842776,530.322004,44.694737,,original,3.0,0.05,6,,667,664,,0.0,0.002,0.525649,,0.745053,0.349802,0.239895,26.660825
Random,comm_limited,6,6000,,,,1,0.0,0.842516,366.532801,44.768421,,original,3.0,0.05,6,,736,736,,0.0,0.001778,0.447302,,0.705895,0.358005,0.276632,25.433545
Random,comm_limited,7,7000,,,,1,0.0,0.818189,476.412214,51.684211,,original,3.0,0.05,6,,330,330,,0.0,0.001111,0.549228,,0.792316,0.355942,0.189158,24.249425
Random,comm_limited,8,8000,,,,1,0.0,0.845368,361.157509,43.957895,,original,3.0,0.05,6,,446,440,,0.0,0.001185,0.45262,,0.674421,0.365053,0.310211,14.056068
Random,comm_limited,9,9000,,,,1,0.0,0.873213,337.775735,36.042105,,original,3.0,0.05,6,,640,611,,0.0,0.001704,0.392548,,0.531579,0.354927,0.457263,13.879213
