pair,CU_ms_per_decision,RA_ms_per_decision,ratio_RA_over_CU,CU_policy_cpu_s,RA_policy_cpu_s
1,3.369140625,3.6637369791666665,1.08743961352657,32.34375,35.171875
2,2.4186197916666665,3.4342447916666665,1.4199192462987886,23.21875,32.96875
3,2.2672526041666665,3.4000651041666665,1.4996410624551328,21.765625,32.640625
4,2.3746744791666665,3.4261067708333335,1.442769019876628,22.796875,32.890625
5,3.7434895833333335,7.412109375,1.98,35.9375,71.15625
6,5.040690104166667,7.4853515625,1.4849854698094929,48.390625,71.859375
7,4.9658203125,5.984700520833333,1.205178629957391,47.671875,57.453125
8,2.2884114583333335,3.7158203125,1.62375533428165,21.96875,35.671875
9,2.3421223958333335,3.2698567708333335,1.3961084086170952,22.484375,31.390625
10,2.2770182291666665,3.359375,1.4753395282344532,21.859375,32.25

MEDIAN,2.3966,3.5490,1.4591,,1.4591
