step,ambiguous_frac
0,0.00000000
1,0.00770673
2,0.01103937
3,0.01270569
4,0.01208082
5,0.01228911
6,0.01312227
7,0.01416372
8,0.01478859
9,0.01791293
10,0.01749635
11,0.01937096
12,0.01874609
13,0.01999583
14,0.01978754
15,0.02041241
16,0.01978754
17,0.02145386
18,0.02124557
19,0.02228702
20,0.02187044
21,0.02353676
22,0.02353676
23,0.02332847
24,0.02395334
25,0.02478650
26,0.02395334
27,0.02436992
28,0.02395334
29,0.02436992
30,0.02395334
31,0.02395334
32,0.02499479
33,0.02561966
34,0.02520308
35,0.02645282
36,0.02603624
37,0.02603624
38,0.02686940
39,0.02874401
40,0.02811914
41,0.02874401
42,0.02811914
43,0.02853572
44,0.02811914
45,0.02770256
46,0.02770256
47,0.02770256
48,0.02853572
49,0.02853572
50,0.02770256
51,0.02791085
52,0.02936888
53,0.03166007
54,0.03145178
55,0.03207665
56,0.03415955
57,0.03499271
58,0.03540929
59,0.03624245
60,0.03790877
61,0.03895022
62,0.03957509
63,0.03895022
64,0.03790877
65,0.04019996
66,0.03957509
67,0.04082483
68,0.04061654
69,0.04040825
70,0.04103312
71,0.04103312
72,0.04019996
73,0.03978338
74,0.03978338
75,0.04124141
76,0.04207457
77,0.04228286
78,0.04165799
79,0.04311602
80,0.04374089
81,0.04374089
82,0.04436576
83,0.04519892
84,0.04478234
85,0.04603208
86,0.04728182
87,0.04728182
88,0.04728182
89,0.04624037
90,0.04603208
91,0.04603208
92,0.04644866
93,0.04686524
94,0.04644866
95,0.04873985
96,0.04873985
97,0.04894814
98,0.04811498
99,0.04915643
100,0.04915643
101,0.04894814
102,0.04894814
103,0.04957301
104,0.05040617
105,0.05165591
106,0.05165591
107,0.05103104
108,0.05103104
109,0.05061446
110,0.05123933
111,0.05082275
112,0.05144762
113,0.05123933
114,0.05248906
115,0.05332222
116,0.05311393
117,0.05373880
118,0.05353051
119,0.05415538
120,0.05436367
121,0.05498854
122,0.05457196
123,0.05436367
124,0.05394709
125,0.05373880
126,0.05373880
127,0.05373880
128,0.05373880
129,0.05436367
130,0.05394709
131,0.05457196
132,0.05394709
133,0.05457196
134,0.05436367
135,0.05457196
136,0.05436367
137,0.05561341
138,0.05519683
139,0.05519683
140,0.05582170
141,0.05540512
142,0.05540512
143,0.05498854
144,0.05436367
145,0.05415538
146,0.05415538
147,0.05415538
148,0.05478025
