step,ambiguous_frac
0,0.00000000
1,0.00770673
2,0.01020621
3,0.01145595
4,0.01145595
5,0.01270569
6,0.01333056
7,0.01312227
8,0.01353885
9,0.01458030
10,0.01437201
11,0.01499688
12,0.01478859
13,0.01416372
14,0.01395543
15,0.01624662
16,0.01541346
17,0.01562175
18,0.01520517
19,0.01583004
20,0.01583004
21,0.01583004
22,0.01541346
23,0.01645491
24,0.01728806
25,0.01749635
26,0.01666320
27,0.01707978
28,0.01645491
29,0.01687149
30,0.01666320
31,0.01645491
32,0.01624662
33,0.01770464
34,0.01728806
35,0.01812122
36,0.01853780
37,0.01916267
38,0.01853780
39,0.01832951
40,0.01832951
41,0.01895438
42,0.01978754
43,0.02020412
44,0.02020412
45,0.02145386
46,0.02124557
47,0.02207873
48,0.02249531
49,0.02291189
50,0.02228702
51,0.02291189
52,0.02249531
53,0.02312018
54,0.02291189
55,0.02457821
56,0.02457821
57,0.02416163
58,0.02416163
59,0.02436992
60,0.02436992
61,0.02561966
62,0.02541137
63,0.02666111
64,0.02624453
65,0.02728598
66,0.02832743
67,0.02874401
68,0.02916059
69,0.02978546
70,0.02936888
71,0.02936888
72,0.02874401
73,0.02916059
74,0.02895230
75,0.02895230
76,0.02874401
77,0.02895230
78,0.02895230
79,0.02895230
80,0.02832743
81,0.02811914
82,0.03020204
83,0.03228494
84,0.03228494
85,0.03228494
86,0.03290981
87,0.03311810
88,0.03228494
89,0.03270152
90,0.03207665
91,0.03228494
92,0.03249323
93,0.03311810
94,0.03374297
95,0.03457613
96,0.03520100
97,0.03707561
98,0.03645074
99,0.03561758
100,0.03540929
101,0.03540929
102,0.03540929
103,0.03665903
104,0.03665903
105,0.03707561
106,0.03832535
107,0.03915851
108,0.03895022
109,0.03853364
110,0.04019996
111,0.04082483
112,0.04061654
113,0.04124141
114,0.04165799
115,0.04269944
116,0.04249115
117,0.04186628
118,0.04124141
119,0.04207457
120,0.04144970
121,0.04124141
122,0.04228286
123,0.04269944
124,0.04374089
125,0.04457405
126,0.04499063
127,0.04478234
128,0.04499063
129,0.04457405
130,0.04415747
131,0.04394918
132,0.04478234
133,0.04478234
134,0.04457405
135,0.04561550
136,0.04540721
137,0.04561550
138,0.04561550
139,0.04665695
140,0.04624037
141,0.04603208
142,0.04540721
143,0.04603208
144,0.04603208
145,0.04707353
146,0.04790669
147,0.04769840
148,0.04728182
