step,ambiguous_frac
0,0.00000000
1,0.06736842
2,0.06010526
3,0.04242105
4,0.03989474
5,0.03947368
6,0.03831579
7,0.03736842
8,0.03831579
9,0.03915789
10,0.03905263
11,0.03810526
12,0.03747368
13,0.03747368
14,0.03789474
15,0.03778947
16,0.03789474
17,0.03726316
18,0.03757895
19,0.03800000
20,0.03800000
21,0.03810526
22,0.03747368
23,0.03747368
24,0.03736842
25,0.03726316
26,0.03705263
27,0.03663158
28,0.03705263
29,0.03684211
30,0.03621053
31,0.03621053
32,0.03547368
33,0.03463158
34,0.03505263
35,0.03547368
36,0.03536842
37,0.03431579
38,0.03305263
39,0.03189474
40,0.03315789
41,0.03410526
42,0.03505263
43,0.03515789
44,0.03463158
45,0.03505263
46,0.03505263
47,0.03568421
48,0.03557895
49,0.03684211
50,0.03778947
51,0.03852632
52,0.03800000
53,0.03768421
54,0.03705263
55,0.03652632
56,0.03536842
57,0.03505263
58,0.03684211
59,0.03884211
60,0.03915789
61,0.03768421
62,0.03515789
63,0.03515789
64,0.03621053
65,0.03642105
66,0.03684211
67,0.03715789
68,0.03768421
69,0.03926316
70,0.04021053
71,0.04073684
72,0.04052632
73,0.04094737
74,0.04010526
75,0.03915789
76,0.03810526
77,0.03789474
78,0.03789474
79,0.03642105
80,0.03442105
81,0.03336842
82,0.03168421
83,0.02926316
84,0.02957895
85,0.03052632
86,0.03094737
87,0.03136842
88,0.03147368
89,0.03157895
90,0.03210526
91,0.03221053
92,0.03221053
93,0.03178947
94,0.03252632
95,0.03231579
96,0.03147368
97,0.03010526
98,0.02915789
99,0.02884211
100,0.02936842
101,0.02905263
102,0.02989474
103,0.03031579
104,0.03084211
105,0.03073684
106,0.03105263
107,0.03126316
108,0.03136842
109,0.03031579
110,0.02968421
111,0.02894737
112,0.02757895
113,0.02705263
114,0.02694737
115,0.02705263
116,0.02715789
117,0.02726316
118,0.02736842
119,0.02736842
120,0.02768421
121,0.02800000
122,0.02831579
123,0.02821053
124,0.02800000
125,0.02800000
126,0.02810526
127,0.02831579
128,0.02810526
129,0.02800000
130,0.02789474
131,0.02800000
132,0.02800000
133,0.02789474
134,0.02778947
135,0.02778947
136,0.02778947
137,0.02789474
138,0.02789474
139,0.02800000
140,0.02789474
141,0.02778947
142,0.02747368
143,0.02726316
144,0.02778947
145,0.02768421
146,0.02831579
147,0.02800000
148,0.02800000
149,0.02789474
150,0.02831579
151,0.02873684
152,0.02873684
153,0.02915789
154,0.02905263
155,0.02936842
156,0.02989474
157,0.02957895
158,0.03010526
159,0.02989474
160,0.02957895
161,0.02957895
162,0.03000000
163,0.03000000
164,0.03042105
165,0.03021053
166,0.03010526
167,0.03021053
168,0.03031579
169,0.03052632
170,0.03052632
171,0.03052632
172,0.03042105
173,0.03052632
174,0.03052632
175,0.03052632
176,0.03042105
177,0.03031579
178,0.03031579
179,0.03042105
180,0.03052632
181,0.03052632
182,0.03042105
183,0.03042105
184,0.03052632
185,0.03063158
186,0.03063158
187,0.03042105
188,0.03042105
189,0.03042105
190,0.03063158
191,0.03063158
192,0.03052632
193,0.03052632
194,0.03052632
195,0.03063158
196,0.03052632
197,0.03052632
198,0.03094737
199,0.03157895
200,0.03242105
201,0.03189474
202,0.03273684
203,0.03284211
204,0.03305263
205,0.03273684
206,0.03357895
207,0.03294737
208,0.03200000
209,0.03126316
210,0.03147368
211,0.03157895
212,0.03178947
213,0.03178947
214,0.03189474
215,0.03189474
216,0.03189474
217,0.03168421
218,0.03178947
219,0.03189474
220,0.03200000
221,0.03200000
222,0.03200000
223,0.03210526
224,0.03200000
225,0.03242105
226,0.03284211
227,0.03326316
228,0.03305263
229,0.03357895
230,0.03347368
231,0.03284211
232,0.03136842
233,0.03115789
234,0.03073684
235,0.03073684
236,0.02989474
237,0.02968421
238,0.02968421
239,0.02968421
240,0.02894737
241,0.02810526
242,0.02726316
243,0.02768421
244,0.02789474
245,0.02789474
246,0.02757895
247,0.02821053
248,0.02884211
249,0.02894737
250,0.02768421
251,0.02652632
252,0.02610526
253,0.02684211
254,0.02778947
255,0.02821053
256,0.02873684
257,0.02863158
258,0.02852632
259,0.02842105
260,0.02852632
261,0.02842105
262,0.02705263
263,0.02568421
264,0.02463158
265,0.02431579
266,0.02484211
267,0.02557895
268,0.02642105
269,0.02663158
270,0.02673684
271,0.02673684
272,0.02663158
273,0.02642105
274,0.02631579
275,0.02568421
276,0.02621053
277,0.02600000
278,0.02568421
279,0.02600000
280,0.02589474
281,0.02600000
282,0.02526316
283,0.02452632
284,0.02378947
285,0.02347368
286,0.02336842
287,0.02305263
288,0.02305263
289,0.02294737
290,0.02305263
291,0.02305263
292,0.02305263
293,0.02315789
294,0.02315789
295,0.02315789
296,0.02315789
297,0.02305263
298,0.02284211
299,0.02273684
300,0.02273684
301,0.02294737
302,0.02294737
303,0.02294737
304,0.02305263
305,0.02294737
306,0.02347368
307,0.02336842
308,0.02315789
309,0.02315789
310,0.02315789
311,0.02326316
312,0.02315789
313,0.02315789
314,0.02326316
315,0.02336842
316,0.02326316
317,0.02326316
318,0.02315789
319,0.02326316
320,0.02326316
321,0.02326316
322,0.02326316
323,0.02326316
324,0.02336842
325,0.02326316
326,0.02326316
327,0.02294737
328,0.02305263
329,0.02231579
330,0.02157895
331,0.02052632
332,0.02210526
333,0.02294737
334,0.02305263
335,0.02315789
336,0.02315789
337,0.02336842
338,0.02315789
339,0.02210526
340,0.02210526
341,0.02168421
342,0.02315789
343,0.02326316
344,0.02315789
345,0.02263158
346,0.02231579
347,0.02210526
348,0.02210526
349,0.02147368
350,0.02168421
351,0.02168421
352,0.02178947
353,0.02189474
354,0.02189474
355,0.02200000
356,0.02200000
357,0.02200000
358,0.02178947
359,0.02178947
360,0.02178947
361,0.02178947
362,0.02178947
363,0.02178947
364,0.02168421
365,0.02147368
366,0.02126316
367,0.02105263
368,0.02084211
369,0.02063158
370,0.02052632
371,0.02031579
372,0.02000000
373,0.01989474
374,0.01978947
375,0.01989474
376,0.01926316
377,0.01873684
378,0.01831579
379,0.01831579
380,0.01810526
381,0.01810526
382,0.01810526
383,0.01810526
384,0.01810526
385,0.01810526
386,0.01800000
387,0.01915789
388,0.02042105
389,0.02084211
390,0.02200000
391,0.02210526
392,0.02221053
393,0.02231579
394,0.02231579
395,0.02231579
396,0.02231579
397,0.02200000
398,0.02189474
399,0.02200000
400,0.02210526
401,0.02231579
402,0.02231579
403,0.02157895
404,0.02178947
405,0.02189474
406,0.02210526
407,0.02252632
408,0.02231579
409,0.02178947
410,0.02168421
411,0.02147368
412,0.02126316
413,0.02084211
414,0.02021053
415,0.01915789
416,0.01831579
417,0.01800000
418,0.01800000
419,0.01778947
420,0.01800000
421,0.01800000
422,0.01810526
423,0.01789474
424,0.01778947
425,0.01778947
426,0.01936842
427,0.02031579
428,0.02168421
429,0.02178947
430,0.02168421
431,0.02063158
432,0.02021053
433,0.01978947
434,0.01957895
435,0.01884211
436,0.01757895
437,0.01652632
438,0.01600000
439,0.01578947
440,0.01621053
441,0.01663158
442,0.01684211
443,0.01621053
444,0.01484211
445,0.01452632
446,0.01421053
447,0.01484211
448,0.01494737
449,0.01515789
450,0.01505263
451,0.01515789
452,0.01473684
453,0.01421053
454,0.01315789
455,0.01242105
456,0.01168421
457,0.01147368
458,0.01147368
459,0.01147368
460,0.01147368
461,0.01147368
462,0.01147368
463,0.01147368
464,0.01147368
465,0.01147368
466,0.01147368
467,0.01147368
468,0.01147368
469,0.01147368
470,0.01147368
471,0.01147368
472,0.01147368
473,0.01147368
474,0.01147368
475,0.01147368
476,0.01147368
477,0.01147368
478,0.01147368
479,0.01147368
480,0.01147368
481,0.01147368
482,0.01147368
483,0.01147368
484,0.01147368
485,0.01147368
486,0.01136842
487,0.01126316
488,0.01126316
489,0.01115789
490,0.01105263
491,0.01094737
492,0.01094737
493,0.01094737
494,0.01094737
495,0.01094737
496,0.01094737
497,0.01094737
498,0.01094737
499,0.01094737
500,0.01094737
501,0.01094737
502,0.01094737
503,0.01094737
504,0.01094737
505,0.01094737
506,0.01094737
507,0.01094737
508,0.01094737
509,0.01094737
510,0.01094737
511,0.01094737
512,0.01094737
513,0.01094737
514,0.01094737
515,0.01094737
516,0.01094737
517,0.01094737
518,0.01094737
519,0.01094737
520,0.01094737
521,0.01094737
522,0.01094737
523,0.01094737
524,0.01094737
525,0.01094737
526,0.01094737
527,0.01094737
528,0.01094737
529,0.01094737
530,0.01094737
531,0.01094737
532,0.01094737
533,0.01094737
534,0.01094737
535,0.01094737
536,0.01094737
537,0.01094737
538,0.01094737
539,0.01094737
540,0.01084211
541,0.01073684
542,0.01063158
543,0.01105263
544,0.01157895
545,0.01189474
546,0.01200000
547,0.01210526
548,0.01221053
549,0.01221053
550,0.01210526
551,0.01200000
552,0.01147368
553,0.01094737
554,0.01042105
555,0.01031579
556,0.01021053
557,0.01010526
558,0.01010526
559,0.01010526
560,0.01010526
561,0.01010526
562,0.01010526
563,0.01021053
564,0.01031579
565,0.01042105
566,0.01073684
567,0.01073684
568,0.01073684
569,0.01073684
570,0.01073684
571,0.01084211
572,0.01105263
573,0.01126316
574,0.01063158
575,0.01042105
576,0.01084211
577,0.01084211
578,0.01084211
579,0.01073684
580,0.00968421
581,0.00947368
582,0.00947368
583,0.00947368
584,0.00926316
585,0.00915789
586,0.00915789
587,0.00915789
588,0.00915789
589,0.00915789
590,0.00915789
591,0.00915789
592,0.00915789
593,0.00915789
594,0.00915789
595,0.00915789
596,0.00915789
597,0.00915789
598,0.00915789
599,0.00915789
600,0.00915789
601,0.00915789
602,0.00915789
603,0.00915789
604,0.00915789
605,0.00978947
606,0.01042105
607,0.01105263
608,0.01115789
609,0.01115789
610,0.01063158
611,0.01063158
612,0.01052632
613,0.01063158
614,0.01021053
615,0.00978947
616,0.00936842
617,0.00926316
618,0.00915789
619,0.00905263
620,0.00905263
621,0.00905263
622,0.00905263
623,0.00905263
624,0.00905263
625,0.00905263
626,0.00905263
627,0.00905263
628,0.00905263
629,0.00905263
630,0.00905263
631,0.00905263
632,0.00905263
633,0.00905263
634,0.00905263
635,0.00905263
636,0.00905263
637,0.00936842
638,0.00947368
639,0.00884211
640,0.00873684
641,0.00863158
642,0.00863158
643,0.00863158
644,0.00863158
645,0.00863158
646,0.00863158
647,0.00842105
648,0.00810526
649,0.00810526
650,0.00800000
651,0.00800000
652,0.00800000
653,0.00800000
654,0.00831579
655,0.00842105
656,0.00905263
657,0.00915789
658,0.00936842
659,0.00926316
660,0.00905263
661,0.00884211
662,0.00873684
663,0.00873684
664,0.00936842
665,0.00978947
666,0.01031579
667,0.01031579
668,0.01052632
669,0.01084211
