step,ambiguous_frac
0,0.00000000
1,0.06736842
2,0.06136842
3,0.04726316
4,0.03957895
5,0.03789474
6,0.03926316
7,0.04010526
8,0.04210526
9,0.04357895
10,0.04463158
11,0.04536842
12,0.04494737
13,0.04621053
14,0.04631579
15,0.04789474
16,0.04821053
17,0.04905263
18,0.04915789
19,0.05031579
20,0.04684211
21,0.04505263
22,0.04515789
23,0.04652632
24,0.04757895
25,0.04884211
26,0.04852632
27,0.04736842
28,0.04568421
29,0.04526316
30,0.04421053
31,0.04663158
32,0.04473684
33,0.04631579
34,0.04631579
35,0.04715789
36,0.04884211
37,0.04905263
38,0.04894737
39,0.04989474
40,0.04894737
41,0.04863158
42,0.04957895
43,0.04968421
44,0.04884211
45,0.04926316
46,0.04957895
47,0.04863158
48,0.04736842
49,0.04526316
50,0.04642105
51,0.04705263
52,0.04726316
53,0.04747368
54,0.04600000
55,0.04642105
56,0.04726316
57,0.04726316
58,0.04663158
59,0.04621053
60,0.04642105
61,0.04747368
62,0.04747368
63,0.04757895
64,0.04610526
65,0.04610526
66,0.04610526
67,0.04621053
68,0.04568421
69,0.04642105
70,0.04673684
71,0.04663158
72,0.04778947
73,0.04726316
74,0.04757895
75,0.04778947
76,0.04726316
77,0.04642105
78,0.04726316
79,0.04747368
80,0.04705263
81,0.04610526
82,0.04642105
83,0.04578947
84,0.04578947
85,0.04357895
86,0.04284211
87,0.04252632
88,0.04294737
89,0.04347368
90,0.04442105
91,0.04357895
92,0.04442105
93,0.04442105
94,0.04494737
95,0.04442105
96,0.04515789
97,0.04536842
98,0.04515789
99,0.04526316
100,0.04621053
101,0.04684211
102,0.04631579
103,0.04631579
104,0.04768421
105,0.04852632
106,0.04736842
107,0.04842105
108,0.04936842
109,0.04957895
110,0.05042105
111,0.04957895
112,0.05063158
113,0.05147368
114,0.05305263
115,0.05284211
116,0.05221053
117,0.05115789
118,0.05221053
119,0.05357895
120,0.05515789
121,0.05578947
122,0.05557895
123,0.05400000
124,0.05336842
125,0.05368421
126,0.05389474
127,0.05494737
128,0.05526316
129,0.05410526
130,0.05126316
131,0.05021053
132,0.05000000
133,0.04884211
134,0.04757895
135,0.04726316
136,0.04610526
137,0.04684211
138,0.04726316
139,0.04726316
140,0.04831579
141,0.04842105
142,0.04821053
143,0.04778947
144,0.04873684
145,0.04978947
146,0.04684211
147,0.04547368
148,0.04515789
149,0.04473684
150,0.04315789
151,0.04315789
152,0.04326316
153,0.04273684
154,0.04189474
155,0.04105263
156,0.04000000
157,0.04126316
158,0.04105263
159,0.04126316
160,0.03978947
161,0.04052632
162,0.04000000
163,0.04031579
164,0.04031579
165,0.04031579
166,0.03978947
167,0.03884211
168,0.03915789
169,0.03873684
170,0.03926316
171,0.03947368
172,0.03905263
173,0.03968421
174,0.03947368
175,0.03968421
176,0.03926316
177,0.03978947
178,0.03978947
179,0.04021053
180,0.04021053
181,0.03978947
182,0.04042105
183,0.04115789
184,0.04115789
185,0.04052632
186,0.04094737
187,0.04168421
188,0.04105263
189,0.04168421
190,0.04178947
191,0.04031579
192,0.04042105
193,0.04031579
194,0.04042105
195,0.03957895
196,0.04052632
197,0.04010526
198,0.04115789
199,0.04200000
200,0.04200000
201,0.04242105
202,0.04178947
203,0.04284211
204,0.04231579
205,0.04273684
206,0.04410526
207,0.04389474
208,0.04368421
209,0.04431579
210,0.04452632
211,0.04410526
212,0.04515789
213,0.04557895
214,0.04526316
215,0.04463158
216,0.04536842
217,0.04547368
218,0.04463158
219,0.04442105
220,0.04505263
221,0.04515789
222,0.04378947
223,0.04315789
224,0.04284211
225,0.04273684
226,0.04347368
227,0.04284211
228,0.04347368
229,0.04315789
230,0.04378947
231,0.04421053
232,0.04378947
233,0.04347368
234,0.04200000
235,0.04273684
236,0.04326316
237,0.04305263
238,0.04157895
239,0.04157895
240,0.04210526
241,0.04263158
242,0.04189474
243,0.04115789
244,0.04084211
245,0.04073684
246,0.04063158
247,0.04052632
248,0.04042105
249,0.04042105
250,0.04042105
251,0.04042105
252,0.04042105
253,0.04042105
254,0.04042105
255,0.04042105
256,0.04042105
257,0.04042105
258,0.04042105
259,0.04031579
260,0.04010526
261,0.03989474
262,0.03978947
263,0.03978947
264,0.03978947
265,0.03978947
266,0.03957895
267,0.03957895
268,0.03957895
269,0.03915789
270,0.03821053
271,0.03821053
272,0.03810526
273,0.03789474
274,0.03789474
275,0.03789474
276,0.03789474
277,0.03789474
278,0.03789474
279,0.03789474
280,0.03789474
281,0.03789474
282,0.03789474
283,0.03789474
284,0.03778947
285,0.03778947
286,0.03757895
287,0.03757895
288,0.03757895
289,0.03757895
290,0.03757895
291,0.03757895
292,0.03757895
293,0.03757895
294,0.03757895
295,0.03757895
296,0.03757895
297,0.03757895
298,0.03757895
299,0.03757895
300,0.03757895
301,0.03757895
302,0.03757895
303,0.03757895
304,0.03757895
305,0.03757895
306,0.03757895
307,0.03757895
308,0.03768421
309,0.03789474
310,0.03810526
311,0.03789474
312,0.03789474
313,0.03789474
314,0.03768421
315,0.03747368
316,0.03852632
317,0.03831579
318,0.03905263
319,0.03926316
320,0.04000000
321,0.04010526
322,0.03978947
323,0.04031579
324,0.04010526
325,0.03989474
326,0.03989474
327,0.04010526
328,0.04042105
329,0.04052632
330,0.04021053
331,0.04084211
332,0.04031579
333,0.04031579
334,0.04031579
335,0.03989474
336,0.03978947
337,0.03989474
338,0.03936842
339,0.03936842
340,0.03905263
341,0.03894737
342,0.03873684
343,0.03873684
344,0.03873684
345,0.03873684
346,0.03863158
347,0.03842105
348,0.03831579
349,0.03821053
350,0.03800000
351,0.03821053
352,0.03821053
353,0.03810526
354,0.03789474
355,0.03789474
356,0.03768421
357,0.03747368
358,0.03705263
359,0.03642105
360,0.03610526
361,0.03600000
362,0.03600000
363,0.03600000
364,0.03621053
365,0.03631579
366,0.03589474
367,0.03536842
368,0.03526316
369,0.03568421
370,0.03557895
371,0.03589474
372,0.03568421
373,0.03526316
374,0.03526316
375,0.03526316
376,0.03557895
377,0.03578947
378,0.03610526
379,0.03568421
380,0.03536842
381,0.03568421
382,0.03568421
383,0.03568421
384,0.03557895
385,0.03547368
386,0.03547368
387,0.03536842
388,0.03578947
389,0.03642105
390,0.03610526
391,0.03600000
392,0.03557895
393,0.03589474
394,0.03568421
395,0.03536842
396,0.03536842
397,0.03536842
398,0.03578947
399,0.03578947
400,0.03568421
401,0.03568421
402,0.03568421
403,0.03578947
404,0.03578947
405,0.03621053
406,0.03578947
407,0.03547368
408,0.03547368
409,0.03547368
410,0.03547368
411,0.03557895
412,0.03568421
413,0.03557895
414,0.03557895
415,0.03557895
416,0.03557895
417,0.03536842
418,0.03557895
419,0.03589474
420,0.03610526
421,0.03547368
422,0.03557895
423,0.03484211
424,0.03442105
425,0.03400000
426,0.03442105
427,0.03421053
428,0.03378947
429,0.03347368
430,0.03421053
431,0.03431579
432,0.03336842
433,0.03231579
434,0.03284211
435,0.03389474
436,0.03494737
437,0.03421053
438,0.03315789
439,0.03273684
440,0.03263158
441,0.03242105
442,0.03221053
443,0.03221053
444,0.03273684
445,0.03273684
446,0.03210526
447,0.03221053
448,0.03221053
449,0.03200000
450,0.03221053
451,0.03210526
452,0.03210526
453,0.03210526
454,0.03200000
455,0.03178947
456,0.03157895
457,0.03157895
458,0.03157895
459,0.03157895
460,0.03157895
461,0.03157895
462,0.03157895
463,0.03157895
464,0.03157895
465,0.03157895
466,0.03157895
467,0.03157895
468,0.03157895
469,0.03094737
470,0.03189474
471,0.03252632
472,0.03315789
473,0.03252632
474,0.03273684
475,0.03336842
476,0.03326316
477,0.03221053
478,0.03147368
479,0.03115789
480,0.03094737
481,0.03084211
482,0.03063158
483,0.03042105
484,0.02957895
485,0.02894737
486,0.02873684
487,0.02905263
488,0.02915789
489,0.03010526
490,0.03147368
491,0.03157895
492,0.03168421
493,0.03210526
494,0.03094737
495,0.03000000
496,0.03178947
497,0.03189474
498,0.03115789
499,0.02831579
500,0.02757895
501,0.02631579
502,0.02621053
503,0.02610526
504,0.02547368
505,0.02526316
506,0.02515789
507,0.02473684
508,0.02442105
509,0.02421053
510,0.02410526
511,0.02378947
512,0.02347368
513,0.02326316
514,0.02326316
515,0.02326316
516,0.02326316
517,0.02326316
518,0.02326316
519,0.02315789
520,0.02284211
521,0.02252632
522,0.02273684
523,0.02252632
524,0.02231579
525,0.02200000
526,0.02200000
527,0.02178947
528,0.02168421
529,0.02157895
530,0.02157895
531,0.02136842
532,0.02063158
533,0.02063158
534,0.02021053
535,0.02000000
536,0.01989474
537,0.01978947
538,0.01968421
539,0.01957895
540,0.01936842
541,0.01905263
542,0.01884211
543,0.01863158
544,0.01863158
545,0.01831579
546,0.01810526
547,0.01810526
548,0.01810526
549,0.01810526
550,0.01810526
551,0.01810526
552,0.01810526
553,0.01810526
554,0.01810526
555,0.01810526
556,0.01810526
557,0.01810526
558,0.01810526
559,0.01810526
560,0.01810526
561,0.01810526
562,0.01810526
563,0.01810526
564,0.01810526
565,0.01810526
566,0.01810526
567,0.01810526
568,0.01810526
569,0.01810526
570,0.01810526
571,0.01810526
572,0.01810526
573,0.01810526
574,0.01810526
575,0.01810526
576,0.01810526
577,0.01810526
578,0.01810526
579,0.01810526
580,0.01810526
581,0.01810526
582,0.01800000
583,0.01800000
584,0.01800000
585,0.01800000
586,0.01789474
587,0.01789474
588,0.01789474
589,0.01778947
590,0.01778947
591,0.01768421
592,0.01831579
593,0.01884211
594,0.01905263
595,0.01821053
596,0.01800000
597,0.01778947
598,0.01757895
599,0.01789474
600,0.01831579
601,0.01894737
602,0.01831579
603,0.01831579
604,0.01852632
605,0.01894737
606,0.01842105
607,0.01810526
608,0.01810526
609,0.01810526
610,0.01821053
611,0.01831579
612,0.01842105
613,0.01842105
614,0.01842105
615,0.01842105
616,0.01842105
617,0.01842105
618,0.01842105
619,0.01842105
620,0.01842105
621,0.01842105
622,0.01842105
623,0.01842105
624,0.01842105
625,0.01842105
626,0.01842105
627,0.01842105
628,0.01842105
629,0.01842105
630,0.01842105
631,0.01842105
632,0.01842105
633,0.01842105
634,0.01842105
635,0.01842105
636,0.01842105
637,0.01842105
638,0.01842105
639,0.01842105
640,0.01842105
641,0.01842105
642,0.01842105
643,0.01842105
644,0.01842105
645,0.01842105
646,0.01842105
647,0.01842105
648,0.01842105
649,0.01842105
650,0.01842105
651,0.01842105
652,0.01842105
653,0.01842105
654,0.01842105
655,0.01842105
656,0.01842105
657,0.01842105
658,0.01842105
659,0.01842105
660,0.01842105
661,0.01842105
662,0.01842105
663,0.01842105
664,0.01842105
665,0.01842105
666,0.01842105
667,0.01842105
668,0.01842105
669,0.01842105
