regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A2_obs005,0,1000,0,7190.0,0.259368,0.950721,-0.760536,0.493506,0.061688,137.436047
A2_obs005,0,1000,1,7190.0,0.259368,0.987661,-0.808072,0.527778,0.061688,126.773006
A2_obs005,0,2500,0,8899.0,0.034632,0.834469,-0.685486,0.3125,0.182371,71.069767
A2_obs005,0,2500,1,8043.0,0.034632,0.799825,-0.652272,0.205714,0.109422,63.702929
A2_obs005,0,4500,0,9472.0,0.005684,0.964246,-0.599251,0.42623,0.481481,17.596154
A2_obs005,0,4500,1,9472.0,0.005684,0.964867,-0.598761,0.42623,0.481481,17.596154
A2_obs005,1,1000,0,6596.0,0.124421,0.678958,-0.605565,0.232376,0.075296,196.647849
A2_obs005,1,1000,1,5572.0,0.124421,0.619051,-0.59659,0.202174,0.07868,282.272727
A2_obs005,1,2500,0,8304.0,0.069053,0.595616,-0.635782,0.144,0.054878,99.440895
A2_obs005,1,2500,1,7664.0,0.069053,0.555724,-0.668531,0.121795,0.057927,162.26087
A2_obs005,1,4500,0,9003.0,0.016316,0.482768,-0.564252,0.017857,0.019355,72.683938
A2_obs005,1,4500,1,9075.0,0.016316,0.477484,-0.552316,0.085859,0.109677,83.703863
A2_obs005,2,1000,0,7175.0,0.266842,0.986609,-0.819401,0.649842,0.081262,149.958084
A2_obs005,2,1000,1,7175.0,0.266842,0.991761,-0.815901,0.649842,0.081262,149.958084
A2_obs005,2,2500,0,7932.0,0.168211,0.898944,-0.743331,0.520468,0.055695,73.781726
A2_obs005,2,2500,1,7795.0,0.168211,0.855954,-0.734566,0.421801,0.055695,98.90625
A2_obs005,2,4500,0,9410.0,0.011158,0.963453,-0.587113,0.432432,0.150943,8.88
A2_obs005,2,4500,1,9410.0,0.011158,0.96407,-0.586182,0.421053,0.150943,8.08046
A2_obs005,3,1000,0,6803.0,0.299368,0.979744,-0.780777,0.610895,0.055204,120.058394
A2_obs005,3,1000,1,6823.0,0.299368,0.987527,-0.782677,0.640927,0.058368,123.287823
A2_obs005,3,2500,0,9043.0,0.061158,0.989819,-0.739369,0.576744,0.213425,105.527523
A2_obs005,3,2500,1,9043.0,0.061158,0.990115,-0.739064,0.576744,0.213425,105.045662
A2_obs005,3,4500,0,9438.0,0.012421,0.861276,-0.542211,0.461538,0.40678,43.901639
A2_obs005,3,4500,1,9211.0,0.012421,0.774606,-0.55899,0.327869,0.338983,73.81
A2_obs005,4,1000,0,7535.0,0.100421,0.920777,-0.758913,0.496,0.194969,168.165468
A2_obs005,4,1000,1,8425.0,0.100421,0.850133,-0.690415,0.462054,0.216981,194.046512
A2_obs005,4,2500,0,8922.0,0.055579,0.811567,-0.597336,0.455172,0.25,141.570946
A2_obs005,4,2500,1,9112.0,0.055579,0.84326,-0.593718,0.546559,0.255682,102.638514
A2_obs005,4,4500,0,9136.0,0.044,0.943422,-0.693872,0.517413,0.248804,103.076923
A2_obs005,4,4500,1,9196.0,0.044,0.967472,-0.684551,0.537313,0.258373,96.172249
A2_obs005,5,1000,0,8234.0,0.145474,0.984499,-0.74591,0.558974,0.078871,66.837456
A2_obs005,5,1000,1,8234.0,0.145474,0.984499,-0.74591,0.558974,0.078871,66.837456
A2_obs005,5,2500,0,9281.0,0.030947,0.885614,-0.653062,0.487562,0.333333,78.210117
A2_obs005,5,2500,1,9307.0,0.030947,0.933834,-0.699149,0.56,0.333333,65.343348
A2_obs005,5,4500,0,9427.0,0.013158,0.912148,-0.586914,0.556818,0.392,38.28
A2_obs005,5,4500,1,9421.0,0.013158,0.912044,-0.581744,0.5,0.392,40.623932
A2_obs005,6,1000,0,6907.0,0.290947,0.93824,-0.769198,0.561462,0.061143,123.69863
A2_obs005,6,1000,1,6901.0,0.290947,0.956349,-0.777196,0.557756,0.061143,130.722857
A2_obs005,6,2500,0,8924.0,0.075895,0.99082,-0.771985,0.600858,0.194175,109.869919
A2_obs005,6,2500,1,8898.0,0.075895,0.963248,-0.765686,0.520446,0.194175,133.01107
A2_obs005,6,4500,0,9024.0,0.039263,0.710494,-0.602984,0.271523,0.10992,88.476562
A2_obs005,6,4500,1,9134.0,0.039263,0.829508,-0.53301,0.450549,0.10992,40.544554
A2_obs005,7,1000,0,8840.0,0.093053,0.990203,-0.788356,0.564433,0.247738,175.415888
A2_obs005,7,1000,1,8840.0,0.093053,0.990203,-0.788356,0.564433,0.247738,175.415888
A2_obs005,7,2500,0,8970.0,0.068421,0.927326,-0.755683,0.479592,0.216923,130.914894
A2_obs005,7,2500,1,8919.0,0.068421,0.917501,-0.737041,0.479592,0.216923,134.17757
A2_obs005,7,4500,0,9233.0,0.033053,0.914714,-0.526998,0.505376,0.149682,40.358491
A2_obs005,7,4500,1,9233.0,0.033053,0.894988,-0.543106,0.522222,0.149682,37.783019
A2_obs005,8,1000,0,7489.0,0.238421,0.989418,-0.824113,0.576471,0.108168,231.025641
A2_obs005,8,1000,1,7489.0,0.238421,0.987246,-0.82665,0.576471,0.108168,231.025641
A2_obs005,8,2500,0,7904.0,0.190842,0.982235,-0.804645,0.5727,0.106453,182.045016
A2_obs005,8,2500,1,7902.0,0.190842,0.955365,-0.809951,0.534626,0.106453,192.818991
A2_obs005,8,4500,0,9251.0,0.011368,0.701133,-0.635357,0.201681,0.444444,108.057471
A2_obs005,8,4500,1,9282.0,0.011368,0.733968,-0.571306,0.213904,0.37037,96.082873
A2_obs005,9,1000,0,8183.0,0.161895,0.959976,-0.744354,0.557214,0.145644,203.025189
A2_obs005,9,1000,1,8188.0,0.161895,0.965799,-0.745977,0.562814,0.145644,198.5
A2_obs005,9,2500,0,8970.0,0.066526,0.962153,-0.713582,0.504132,0.193038,125.154506
A2_obs005,9,2500,1,8991.0,0.066526,0.968531,-0.720578,0.547085,0.193038,110.013333
A2_obs005,9,4500,0,9434.0,0.012316,0.990763,-0.597029,0.476636,0.435897,41.094203
A2_obs005,9,4500,1,9424.0,0.012316,0.973622,-0.600778,0.377778,0.435897,60.704698
A3_obs005,0,1000,0,9067.0,0.063158,0.988091,-0.779254,0.588,0.245,87.429775
A3_obs005,0,1000,1,8508.0,0.063158,0.942822,-0.773015,0.491228,0.233333,107.92
A3_obs005,0,1000,2,9067.0,0.063158,0.988335,-0.779342,0.588,0.245,87.429775
A3_obs005,0,2500,0,9334.0,0.022842,0.973749,-0.639792,0.554348,0.235023,27.539474
A3_obs005,0,2500,1,9334.0,0.022842,0.967873,-0.636141,0.554348,0.235023,27.539474
A3_obs005,0,2500,2,9334.0,0.022842,0.986693,-0.640056,0.554348,0.235023,27.539474
A3_obs005,0,4500,0,9500.0,0.0,0.344723,-0.076978,0.0,0.0,1.0
A3_obs005,0,4500,1,9500.0,0.0,0.344723,-0.076978,0.0,0.0,1.0
