regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A2_obs005,,1000,0,7190.0,0.259368,0.950721,-0.760536,0.493506,0.061688,137.436047
A2_obs005,,1000,1,7190.0,0.259368,0.987661,-0.808072,0.527778,0.061688,126.773006
A3_obs005,,1000,0,9067.0,0.063158,0.988091,-0.779254,0.588,0.245,87.429775
A3_obs005,,1000,1,8508.0,0.063158,0.942822,-0.773015,0.491228,0.233333,107.92
A3_obs005,,1000,2,9067.0,0.063158,0.988335,-0.779342,0.588,0.245,87.429775
A6_obs005,,1000,0,9347.0,0.022737,0.914523,-0.579823,0.484375,0.287037,66.081301
A6_obs005,,1000,1,9008.0,0.022737,0.616942,-0.518729,0.145215,0.203704,143.426332
A6_obs005,,1000,2,9344.0,0.022737,0.948811,-0.600547,0.462687,0.287037,66.5
A6_obs005,,1000,3,9347.0,0.022737,0.910628,-0.583608,0.484375,0.287037,63.5
A6_obs005,,1000,4,9344.0,0.022737,0.894644,-0.572571,0.462687,0.287037,65.043796
A6_obs005,,1000,5,9344.0,0.022737,0.948811,-0.600547,0.462687,0.287037,66.5
A6_obs020,,1000,0,6704.0,0.168375,0.936625,-0.681394,0.458716,0.03712,41.450704
A6_obs020,,1000,1,6704.0,0.168375,0.95518,-0.683491,0.458716,0.03712,41.744681
A6_obs020,,1000,2,6704.0,0.168375,0.955728,-0.683073,0.458716,0.03712,41.744681
A6_obs020,,1000,3,6220.0,0.168375,0.708567,-0.58829,0.117021,0.016333,82.525822
A6_obs020,,1000,4,6666.0,0.168375,0.847663,-0.619256,0.390625,0.03712,50.17284
A6_obs020,,1000,5,6298.0,0.168375,0.737749,-0.657306,0.131737,0.016333,69.653266
